municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Abdon Batista,27-03-2020,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Abdon Batista,28-03-2020,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Abdon Batista,29-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,30-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,31-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,01-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,02-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,03-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,04-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,05-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,06-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,07-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,08-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,09-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,10-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,11-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,12-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,13-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,14-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,15-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,16-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,17-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,18-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,19-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,20-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,21-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,22-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,23-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,24-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,25-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,26-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,27-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,28-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,29-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,30-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,01-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,02-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,03-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,04-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,05-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,06-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,07-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,08-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,09-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,10-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,11-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,12-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,13-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,14-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,15-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,16-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,17-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,18-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,19-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,20-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,21-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,22-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,23-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,24-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,25-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,26-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,27-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,28-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Abdon Batista,29-05-2020,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,30-05-2020,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,31-05-2020,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,01-06-2020,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,02-06-2020,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,03-06-2020,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,04-06-2020,2,1,0,0,0.2857142857142857,0.0,2.0,0.0
Abdon Batista,05-06-2020,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,06-06-2020,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,07-06-2020,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,08-06-2020,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,09-06-2020,8,6,0,0,1.0,0.0,7.0,0.0
Abdon Batista,10-06-2020,8,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,11-06-2020,9,1,0,0,1.0,0.0,7.0,0.0
Abdon Batista,12-06-2020,9,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,13-06-2020,9,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,14-06-2020,9,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,15-06-2020,9,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,16-06-2020,9,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,17-06-2020,8,-1,0,0,0.0,0.0,0.0,0.0
Abdon Batista,18-06-2020,10,2,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,19-06-2020,12,2,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,20-06-2020,12,0,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,21-06-2020,12,0,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,22-06-2020,13,1,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,23-06-2020,17,4,0,0,1.1428571428571428,0.0,8.0,0.0
Abdon Batista,24-06-2020,24,7,0,0,2.2857142857142856,0.0,16.0,0.0
Abdon Batista,25-06-2020,24,0,0,0,2.0,0.0,14.0,0.0
Abdon Batista,26-06-2020,24,0,0,0,1.7142857142857142,0.0,12.0,0.0
Abdon Batista,27-06-2020,24,0,0,0,1.7142857142857142,0.0,12.0,0.0
Abdon Batista,28-06-2020,25,1,0,0,1.8571428571428572,0.0,13.0,0.0
Abdon Batista,29-06-2020,26,1,0,0,1.8571428571428572,0.0,13.0,0.0
Abdon Batista,30-06-2020,29,3,0,0,1.7142857142857142,0.0,12.0,0.0
Abdon Batista,01-07-2020,29,0,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,02-07-2020,28,-1,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,03-07-2020,34,6,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,04-07-2020,39,5,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,05-07-2020,40,1,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,06-07-2020,42,2,0,0,2.2857142857142856,0.0,16.0,0.0
Abdon Batista,07-07-2020,44,2,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,08-07-2020,46,2,0,0,2.4285714285714284,0.0,17.0,0.0
Abdon Batista,09-07-2020,46,0,0,0,2.5714285714285716,0.0,18.0,0.0
Abdon Batista,10-07-2020,47,1,0,0,1.8571428571428572,0.0,13.0,0.0
Abdon Batista,11-07-2020,49,2,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,12-07-2020,49,0,0,0,1.2857142857142858,0.0,9.0,0.0
Abdon Batista,13-07-2020,49,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,14-07-2020,49,0,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,15-07-2020,51,2,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,16-07-2020,50,-1,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,17-07-2020,50,0,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,18-07-2020,50,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,19-07-2020,50,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,20-07-2020,50,0,0,0,0.14285714285714285,0.0,1.0,0.0
Abdon Batista,21-07-2020,59,9,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,22-07-2020,60,1,0,0,1.2857142857142858,0.0,9.0,0.0
Abdon Batista,23-07-2020,65,5,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,24-07-2020,65,0,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,25-07-2020,65,0,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,26-07-2020,65,0,0,0,2.142857142857143,0.0,15.0,0.0
Abdon Batista,27-07-2020,69,4,0,0,2.7142857142857144,0.0,19.0,0.0
Abdon Batista,28-07-2020,70,1,0,0,1.5714285714285714,0.0,11.0,0.0
Abdon Batista,29-07-2020,70,0,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,30-07-2020,75,5,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,31-07-2020,75,0,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,01-08-2020,76,1,0,0,1.5714285714285714,0.0,11.0,0.0
Abdon Batista,02-08-2020,76,0,0,0,1.5714285714285714,0.0,11.0,0.0
Abdon Batista,03-08-2020,76,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,04-08-2020,79,3,0,0,1.2857142857142858,0.0,9.0,0.0
Abdon Batista,05-08-2020,80,1,0,0,1.4285714285714286,0.0,10.0,0.0
Abdon Batista,06-08-2020,80,0,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,07-08-2020,80,0,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,08-08-2020,83,3,0,0,1.0,0.0,7.0,0.0
Abdon Batista,09-08-2020,83,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,10-08-2020,83,0,0,0,1.0,0.0,7.0,0.0
Abdon Batista,11-08-2020,83,0,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,12-08-2020,85,2,0,0,0.7142857142857143,0.0,5.0,0.0
Abdon Batista,13-08-2020,84,-1,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,14-08-2020,83,-1,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,15-08-2020,82,-1,0,0,-0.14285714285714285,0.0,-1.0,0.0
Abdon Batista,16-08-2020,82,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Abdon Batista,17-08-2020,82,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Abdon Batista,18-08-2020,82,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Abdon Batista,19-08-2020,82,0,0,0,-0.42857142857142855,0.0,-3.0,0.0
Abdon Batista,20-08-2020,87,5,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,21-08-2020,87,0,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,22-08-2020,88,1,0,0,0.8571428571428571,0.0,6.0,0.0
Abdon Batista,23-08-2020,88,0,0,0,0.8571428571428571,0.0,6.0,0.0
Abdon Batista,24-08-2020,88,0,0,0,0.8571428571428571,0.0,6.0,0.0
Abdon Batista,25-08-2020,88,0,0,0,0.8571428571428571,0.0,6.0,0.0
Abdon Batista,26-08-2020,89,1,0,0,1.0,0.0,7.0,0.0
Abdon Batista,27-08-2020,89,0,0,0,0.2857142857142857,0.0,2.0,0.0
Abdon Batista,28-08-2020,91,2,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,29-08-2020,91,0,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,30-08-2020,91,0,0,0,0.42857142857142855,0.0,3.0,0.0
Abdon Batista,31-08-2020,115,24,0,0,3.857142857142857,0.0,27.0,0.0
Abdon Batista,01-09-2020,117,2,0,0,4.142857142857143,0.0,29.0,0.0
Abdon Batista,02-09-2020,117,0,0,0,4.0,0.0,28.0,0.0
Abdon Batista,03-09-2020,117,0,0,0,4.0,0.0,28.0,0.0
Abdon Batista,04-09-2020,121,4,0,0,4.285714285714286,0.0,30.0,0.0
Abdon Batista,05-09-2020,121,0,0,0,4.285714285714286,0.0,30.0,0.0
Abdon Batista,06-09-2020,121,0,0,0,4.285714285714286,0.0,30.0,0.0
Abdon Batista,07-09-2020,121,0,0,0,0.8571428571428571,0.0,6.0,0.0
Abdon Batista,08-09-2020,121,0,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,09-09-2020,121,0,0,0,0.5714285714285714,0.0,4.0,0.0
Abdon Batista,10-09-2020,121,0,0,0,0.5714285714285714,0.0,4.0,0.0
