index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
47347,Alto Caparaó,2020-03-27,0.0,0,0,0,5.571428571428571,0.14285714285714285,39.0,1.0
47348,Alto Caparaó,2020-03-28,0.0,0,0,0,5.285714285714286,0.14285714285714285,37.0,1.0
47349,Alto Caparaó,2020-03-29,0.0,0,0,0,5.285714285714286,0.0,37.0,0.0
47350,Alto Caparaó,2020-03-30,0.0,0,0,0,5.285714285714286,0.0,37.0,0.0
47351,Alto Caparaó,2020-03-31,0.0,0,0,0,5.285714285714286,0.0,37.0,0.0
47352,Alto Caparaó,2020-04-01,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
47353,Alto Caparaó,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
47354,Alto Caparaó,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
47355,Alto Caparaó,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
47356,Alto Caparaó,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
47357,Alto Caparaó,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
47358,Alto Caparaó,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
47359,Alto Caparaó,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
47360,Alto Caparaó,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
47361,Alto Caparaó,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
47362,Alto Caparaó,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
47363,Alto Caparaó,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
47364,Alto Caparaó,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
47365,Alto Caparaó,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
47366,Alto Caparaó,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
47367,Alto Caparaó,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
47368,Alto Caparaó,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
47369,Alto Caparaó,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
47370,Alto Caparaó,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
47371,Alto Caparaó,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
47372,Alto Caparaó,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
47373,Alto Caparaó,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
47374,Alto Caparaó,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
47375,Alto Caparaó,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
47376,Alto Caparaó,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
47377,Alto Caparaó,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
47378,Alto Caparaó,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
47379,Alto Caparaó,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
47380,Alto Caparaó,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
47381,Alto Caparaó,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
47382,Alto Caparaó,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
47383,Alto Caparaó,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
47384,Alto Caparaó,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
47385,Alto Caparaó,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
47386,Alto Caparaó,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
47387,Alto Caparaó,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
47388,Alto Caparaó,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
47389,Alto Caparaó,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
47390,Alto Caparaó,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
47391,Alto Caparaó,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
47392,Alto Caparaó,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
47393,Alto Caparaó,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
47394,Alto Caparaó,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
47395,Alto Caparaó,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
47396,Alto Caparaó,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
47397,Alto Caparaó,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
47398,Alto Caparaó,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
47399,Alto Caparaó,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
47400,Alto Caparaó,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
47401,Alto Caparaó,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
47402,Alto Caparaó,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
47403,Alto Caparaó,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
47404,Alto Caparaó,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
47405,Alto Caparaó,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
47406,Alto Caparaó,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
47407,Alto Caparaó,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
47408,Alto Caparaó,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
47409,Alto Caparaó,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
47410,Alto Caparaó,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
47411,Alto Caparaó,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
47412,Alto Caparaó,2020-05-31,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
47413,Alto Caparaó,2020-06-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47414,Alto Caparaó,2020-06-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47415,Alto Caparaó,2020-06-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47416,Alto Caparaó,2020-06-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47417,Alto Caparaó,2020-06-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47418,Alto Caparaó,2020-06-06,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
47419,Alto Caparaó,2020-06-07,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47420,Alto Caparaó,2020-06-08,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47421,Alto Caparaó,2020-06-09,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47422,Alto Caparaó,2020-06-10,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47423,Alto Caparaó,2020-06-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47424,Alto Caparaó,2020-06-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47425,Alto Caparaó,2020-06-13,2.0,0,0,0,0.0,0.0,0.0,0.0
47426,Alto Caparaó,2020-06-14,2.0,0,0,0,0.0,0.0,0.0,0.0
47427,Alto Caparaó,2020-06-15,2.0,0,0,0,0.0,0.0,0.0,0.0
47428,Alto Caparaó,2020-06-16,2.0,0,0,0,0.0,0.0,0.0,0.0
47429,Alto Caparaó,2020-06-17,2.0,0,0,0,0.0,0.0,0.0,0.0
47430,Alto Caparaó,2020-06-18,2.0,0,0,0,0.0,0.0,0.0,0.0
47431,Alto Caparaó,2020-06-19,2.0,0,0,0,0.0,0.0,0.0,0.0
47432,Alto Caparaó,2020-06-20,2.0,0,0,0,0.0,0.0,0.0,0.0
47433,Alto Caparaó,2020-06-21,2.0,0,0,0,0.0,0.0,0.0,0.0
47434,Alto Caparaó,2020-06-22,2.0,0,0,0,0.0,0.0,0.0,0.0
47435,Alto Caparaó,2020-06-23,2.0,0,0,0,0.0,0.0,0.0,0.0
47436,Alto Caparaó,2020-06-24,2.0,0,0,0,0.0,0.0,0.0,0.0
47437,Alto Caparaó,2020-06-25,2.0,0,0,0,0.0,0.0,0.0,0.0
47438,Alto Caparaó,2020-06-26,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
47439,Alto Caparaó,2020-06-27,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47440,Alto Caparaó,2020-06-28,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47441,Alto Caparaó,2020-06-29,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47442,Alto Caparaó,2020-06-30,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47443,Alto Caparaó,2020-07-01,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
47444,Alto Caparaó,2020-07-02,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47445,Alto Caparaó,2020-07-03,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47446,Alto Caparaó,2020-07-04,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47447,Alto Caparaó,2020-07-05,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
47448,Alto Caparaó,2020-07-06,6.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
47449,Alto Caparaó,2020-07-07,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
47450,Alto Caparaó,2020-07-08,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47451,Alto Caparaó,2020-07-09,7.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
47452,Alto Caparaó,2020-07-10,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
47453,Alto Caparaó,2020-07-11,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
47454,Alto Caparaó,2020-07-12,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47455,Alto Caparaó,2020-07-13,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47456,Alto Caparaó,2020-07-14,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47457,Alto Caparaó,2020-07-15,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47458,Alto Caparaó,2020-07-16,7.0,0,0,0,0.0,0.0,0.0,0.0
47459,Alto Caparaó,2020-07-17,7.0,0,0,0,0.0,0.0,0.0,0.0
47460,Alto Caparaó,2020-07-18,7.0,0,0,0,0.0,0.0,0.0,0.0
47461,Alto Caparaó,2020-07-19,7.0,0,0,0,0.0,0.0,0.0,0.0
47462,Alto Caparaó,2020-07-20,7.0,0,0,0,0.0,0.0,0.0,0.0
47463,Alto Caparaó,2020-07-21,8.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
47464,Alto Caparaó,2020-07-22,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47465,Alto Caparaó,2020-07-23,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47466,Alto Caparaó,2020-07-24,9.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
47467,Alto Caparaó,2020-07-25,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47468,Alto Caparaó,2020-07-26,10.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
47469,Alto Caparaó,2020-07-27,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
47470,Alto Caparaó,2020-07-28,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47471,Alto Caparaó,2020-07-29,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47472,Alto Caparaó,2020-07-30,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
47473,Alto Caparaó,2020-07-31,10.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47474,Alto Caparaó,2020-08-01,11.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
47475,Alto Caparaó,2020-08-02,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47476,Alto Caparaó,2020-08-03,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47477,Alto Caparaó,2020-08-04,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47478,Alto Caparaó,2020-08-05,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47479,Alto Caparaó,2020-08-06,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47480,Alto Caparaó,2020-08-07,11.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47481,Alto Caparaó,2020-08-08,11.0,0,0,0,0.0,0.0,0.0,0.0
47482,Alto Caparaó,2020-08-09,11.0,0,0,0,0.0,0.0,0.0,0.0
47483,Alto Caparaó,2020-08-10,11.0,0,0,0,0.0,0.0,0.0,0.0
47484,Alto Caparaó,2020-08-11,12.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
47485,Alto Caparaó,2020-08-12,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47486,Alto Caparaó,2020-08-13,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47487,Alto Caparaó,2020-08-14,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47488,Alto Caparaó,2020-08-15,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47489,Alto Caparaó,2020-08-16,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47490,Alto Caparaó,2020-08-17,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
47491,Alto Caparaó,2020-08-18,12.0,0,0,0,0.0,0.0,0.0,0.0
47492,Alto Caparaó,2020-08-19,12.0,0,0,0,0.0,0.0,0.0,0.0
47493,Alto Caparaó,2020-08-20,12.0,0,0,0,0.0,0.0,0.0,0.0
47494,Alto Caparaó,2020-08-21,12.0,0,0,0,0.0,0.0,0.0,0.0
47495,Alto Caparaó,2020-08-22,12.0,0,0,0,0.0,0.0,0.0,0.0
47496,Alto Caparaó,2020-08-23,12.0,0,0,0,0.0,0.0,0.0,0.0
47497,Alto Caparaó,2020-08-24,12.0,0,0,0,0.0,0.0,0.0,0.0
47498,Alto Caparaó,2020-08-25,12.0,0,0,0,0.0,0.0,0.0,0.0
47499,Alto Caparaó,2020-08-26,12.0,0,0,0,0.0,0.0,0.0,0.0
47500,Alto Caparaó,2020-08-27,12.0,0,0,0,0.0,0.0,0.0,0.0
47501,Alto Caparaó,2020-08-28,12.0,0,0,0,0.0,0.0,0.0,0.0
47502,Alto Caparaó,2020-08-29,12.0,0,0,0,0.0,0.0,0.0,0.0
47503,Alto Caparaó,2020-08-30,12.0,0,0,0,0.0,0.0,0.0,0.0
47504,Alto Caparaó,2020-08-31,12.0,0,0,0,0.0,0.0,0.0,0.0
47505,Alto Caparaó,2020-09-01,12.0,0,0,0,0.0,0.0,0.0,0.0
