index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
52432,Alto Horizonte,2020-03-27,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
52433,Alto Horizonte,2020-03-28,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
52434,Alto Horizonte,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
52435,Alto Horizonte,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
52436,Alto Horizonte,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
52437,Alto Horizonte,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
52438,Alto Horizonte,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
52439,Alto Horizonte,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
52440,Alto Horizonte,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
52441,Alto Horizonte,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
52442,Alto Horizonte,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
52443,Alto Horizonte,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
52444,Alto Horizonte,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
52445,Alto Horizonte,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
52446,Alto Horizonte,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
52447,Alto Horizonte,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
52448,Alto Horizonte,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
52449,Alto Horizonte,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
52450,Alto Horizonte,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
52451,Alto Horizonte,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
52452,Alto Horizonte,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
52453,Alto Horizonte,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
52454,Alto Horizonte,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
52455,Alto Horizonte,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
52456,Alto Horizonte,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
