index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
53250,Alto Rio Doce,2020-03-27,0.0,0,0,0,4.857142857142857,0.14285714285714285,34.0,1.0
53251,Alto Rio Doce,2020-03-28,0.0,0,0,0,3.142857142857143,0.14285714285714285,22.0,1.0
53252,Alto Rio Doce,2020-03-29,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
53253,Alto Rio Doce,2020-03-30,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
53254,Alto Rio Doce,2020-03-31,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
53255,Alto Rio Doce,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
53256,Alto Rio Doce,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
53257,Alto Rio Doce,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
53258,Alto Rio Doce,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
53259,Alto Rio Doce,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
53260,Alto Rio Doce,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
53261,Alto Rio Doce,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
53262,Alto Rio Doce,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
53263,Alto Rio Doce,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
53264,Alto Rio Doce,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
53265,Alto Rio Doce,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
53266,Alto Rio Doce,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
53267,Alto Rio Doce,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
53268,Alto Rio Doce,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
53269,Alto Rio Doce,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
53270,Alto Rio Doce,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
53271,Alto Rio Doce,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
53272,Alto Rio Doce,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
53273,Alto Rio Doce,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
53274,Alto Rio Doce,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
53275,Alto Rio Doce,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
53276,Alto Rio Doce,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
53277,Alto Rio Doce,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
53278,Alto Rio Doce,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
53279,Alto Rio Doce,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
53280,Alto Rio Doce,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
53281,Alto Rio Doce,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
53282,Alto Rio Doce,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
53283,Alto Rio Doce,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
53284,Alto Rio Doce,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
53285,Alto Rio Doce,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
53286,Alto Rio Doce,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
53287,Alto Rio Doce,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
53288,Alto Rio Doce,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
53289,Alto Rio Doce,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
53290,Alto Rio Doce,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
53291,Alto Rio Doce,2020-05-07,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
53292,Alto Rio Doce,2020-05-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
