index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
79524,Andrelândia,2020-03-27,0.0,0,0,0,27.285714285714285,1.0,191.0,7.0
79525,Andrelândia,2020-03-28,0.0,0,0,0,18.0,0.5714285714285714,126.0,4.0
79526,Andrelândia,2020-03-29,0.0,0,0,0,12.142857142857142,0.5714285714285714,85.0,4.0
79527,Andrelândia,2020-03-30,0.0,0,0,0,8.428571428571429,0.2857142857142857,59.0,2.0
79528,Andrelândia,2020-03-31,0.0,0,0,0,6.0,0.14285714285714285,42.0,1.0
79529,Andrelândia,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
79530,Andrelândia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
79531,Andrelândia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
79532,Andrelândia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
79533,Andrelândia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
79534,Andrelândia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
79535,Andrelândia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
79536,Andrelândia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
79537,Andrelândia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
79538,Andrelândia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
79539,Andrelândia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
79540,Andrelândia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
79541,Andrelândia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
79542,Andrelândia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
79543,Andrelândia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
79544,Andrelândia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
