index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
88596,Anori,2020-03-27,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88597,Anori,2020-03-28,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88598,Anori,2020-03-29,1.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
88599,Anori,2020-03-30,1.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88600,Anori,2020-03-31,1.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88601,Anori,2020-04-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
88602,Anori,2020-04-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
88603,Anori,2020-04-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
88604,Anori,2020-04-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
88605,Anori,2020-04-05,1.0,0,0,0,0.0,0.0,0.0,0.0
88606,Anori,2020-04-06,1.0,0,0,0,0.0,0.0,0.0,0.0
88607,Anori,2020-04-07,1.0,0,0,0,0.0,0.0,0.0,0.0
88608,Anori,2020-04-08,1.0,0,0,0,0.0,0.0,0.0,0.0
88609,Anori,2020-04-09,1.0,0,0,0,0.0,0.0,0.0,0.0
88610,Anori,2020-04-10,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
88611,Anori,2020-04-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
88612,Anori,2020-04-12,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
88613,Anori,2020-04-13,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
88614,Anori,2020-04-14,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
88615,Anori,2020-04-15,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
88616,Anori,2020-04-16,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
88617,Anori,2020-04-17,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
88618,Anori,2020-04-18,6.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
88619,Anori,2020-04-19,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88620,Anori,2020-04-20,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
88621,Anori,2020-04-21,7.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
88622,Anori,2020-04-22,8.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
88623,Anori,2020-04-23,10.0,2,0,0,1.0,0.0,7.0,0.0
88624,Anori,2020-04-24,17.0,7,0,0,1.8571428571428572,0.0,13.0,0.0
88625,Anori,2020-04-25,18.0,1,0,0,1.7142857142857142,0.0,12.0,0.0
88626,Anori,2020-04-26,18.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
88627,Anori,2020-04-27,18.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
88628,Anori,2020-04-28,25.0,7,0,0,2.5714285714285716,0.0,18.0,0.0
88629,Anori,2020-04-29,27.0,2,0,0,2.7142857142857144,0.0,19.0,0.0
88630,Anori,2020-04-30,32.0,5,0,0,3.142857142857143,0.0,22.0,0.0
88631,Anori,2020-05-01,37.0,5,0,0,2.857142857142857,0.0,20.0,0.0
88632,Anori,2020-05-02,37.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
88633,Anori,2020-05-03,37.0,0,1,1,2.7142857142857144,0.14285714285714285,19.0,1.0
88634,Anori,2020-05-04,40.0,3,1,0,3.142857142857143,0.14285714285714285,22.0,1.0
88635,Anori,2020-05-05,47.0,7,1,0,3.142857142857143,0.14285714285714285,22.0,1.0
88636,Anori,2020-05-06,56.0,9,1,0,4.142857142857143,0.14285714285714285,29.0,1.0
88637,Anori,2020-05-07,56.0,0,1,0,3.4285714285714284,0.14285714285714285,24.0,1.0
88638,Anori,2020-05-08,78.0,22,1,0,5.857142857142857,0.14285714285714285,41.0,1.0
88639,Anori,2020-05-09,87.0,9,1,0,7.142857142857143,0.14285714285714285,50.0,1.0
88640,Anori,2020-05-10,87.0,0,1,0,7.142857142857143,0.0,50.0,0.0
88641,Anori,2020-05-11,91.0,4,1,0,7.285714285714286,0.0,51.0,0.0
88642,Anori,2020-05-12,104.0,13,1,0,8.142857142857142,0.0,57.0,0.0
88643,Anori,2020-05-13,107.0,3,1,0,7.285714285714286,0.0,51.0,0.0
88644,Anori,2020-05-14,109.0,2,1,0,7.571428571428571,0.0,53.0,0.0
88645,Anori,2020-05-15,114.0,5,1,0,5.142857142857143,0.0,36.0,0.0
88646,Anori,2020-05-16,130.0,16,2,1,6.142857142857143,0.14285714285714285,43.0,1.0
88647,Anori,2020-05-17,140.0,10,2,0,7.571428571428571,0.14285714285714285,53.0,1.0
88648,Anori,2020-05-18,140.0,0,3,1,7.0,0.2857142857142857,49.0,2.0
88649,Anori,2020-05-19,150.0,10,3,0,6.571428571428571,0.2857142857142857,46.0,2.0
88650,Anori,2020-05-20,176.0,26,3,0,9.857142857142858,0.2857142857142857,69.0,2.0
88651,Anori,2020-05-21,187.0,11,3,0,11.142857142857142,0.2857142857142857,78.0,2.0
88652,Anori,2020-05-22,194.0,7,3,0,11.428571428571429,0.2857142857142857,80.0,2.0
88653,Anori,2020-05-23,208.0,14,3,0,11.142857142857142,0.14285714285714285,78.0,1.0
88654,Anori,2020-05-24,210.0,2,3,0,10.0,0.14285714285714285,70.0,1.0
88655,Anori,2020-05-25,212.0,2,3,0,10.285714285714286,0.0,72.0,0.0
88656,Anori,2020-05-26,270.0,58,3,0,17.142857142857142,0.0,120.0,0.0
88657,Anori,2020-05-27,299.0,29,3,0,17.571428571428573,0.0,123.0,0.0
88658,Anori,2020-05-28,326.0,27,3,0,19.857142857142858,0.0,139.0,0.0
88659,Anori,2020-05-29,336.0,10,3,0,20.285714285714285,0.0,142.0,0.0
