index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
93294,Antônio Olinto,2020-03-27,0.0,0,0,0,7.0,0.0,49.0,0.0
93295,Antônio Olinto,2020-03-28,0.0,0,0,0,7.0,0.0,49.0,0.0
93296,Antônio Olinto,2020-03-29,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
93297,Antônio Olinto,2020-03-30,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
93298,Antônio Olinto,2020-03-31,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
93299,Antônio Olinto,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
93300,Antônio Olinto,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
93301,Antônio Olinto,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
93302,Antônio Olinto,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
93303,Antônio Olinto,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
93304,Antônio Olinto,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
93305,Antônio Olinto,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
93306,Antônio Olinto,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
93307,Antônio Olinto,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
93308,Antônio Olinto,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
93309,Antônio Olinto,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
93310,Antônio Olinto,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
93311,Antônio Olinto,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
93312,Antônio Olinto,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
93313,Antônio Olinto,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
93314,Antônio Olinto,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
93315,Antônio Olinto,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
93316,Antônio Olinto,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
93317,Antônio Olinto,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
93318,Antônio Olinto,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
93319,Antônio Olinto,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
93320,Antônio Olinto,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
93321,Antônio Olinto,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
93322,Antônio Olinto,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
93323,Antônio Olinto,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
93324,Antônio Olinto,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
93325,Antônio Olinto,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
93326,Antônio Olinto,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
93327,Antônio Olinto,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
93328,Antônio Olinto,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
