index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
103508,Aparecida do Taboado,2020-03-27,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
103509,Aparecida do Taboado,2020-03-28,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
103510,Aparecida do Taboado,2020-03-29,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
103511,Aparecida do Taboado,2020-03-30,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
103512,Aparecida do Taboado,2020-03-31,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
103513,Aparecida do Taboado,2020-04-01,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
103514,Aparecida do Taboado,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
103515,Aparecida do Taboado,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
103516,Aparecida do Taboado,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
103517,Aparecida do Taboado,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
103518,Aparecida do Taboado,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
103519,Aparecida do Taboado,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
103520,Aparecida do Taboado,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
103521,Aparecida do Taboado,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
103522,Aparecida do Taboado,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
103523,Aparecida do Taboado,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
103524,Aparecida do Taboado,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
103525,Aparecida do Taboado,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
103526,Aparecida do Taboado,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
103527,Aparecida do Taboado,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
103528,Aparecida do Taboado,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
103529,Aparecida do Taboado,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
103530,Aparecida do Taboado,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
