index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
133353,Aratiba,2020-03-27,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
133354,Aratiba,2020-03-28,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
133355,Aratiba,2020-03-29,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
133356,Aratiba,2020-03-30,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
133357,Aratiba,2020-03-31,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
133358,Aratiba,2020-04-01,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
133359,Aratiba,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
133360,Aratiba,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
133361,Aratiba,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
133362,Aratiba,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
133363,Aratiba,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
133364,Aratiba,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
133365,Aratiba,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
133366,Aratiba,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
133367,Aratiba,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
133368,Aratiba,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
133369,Aratiba,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
133370,Aratiba,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
133371,Aratiba,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
133372,Aratiba,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
133373,Aratiba,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
133374,Aratiba,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
133375,Aratiba,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
133376,Aratiba,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
133377,Aratiba,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
133378,Aratiba,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
133379,Aratiba,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
133380,Aratiba,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
133381,Aratiba,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
133382,Aratiba,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
133383,Aratiba,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
133384,Aratiba,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
133385,Aratiba,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
133386,Aratiba,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
133387,Aratiba,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
133388,Aratiba,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
133389,Aratiba,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
133390,Aratiba,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
133391,Aratiba,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
133392,Aratiba,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
133393,Aratiba,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
133394,Aratiba,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
133395,Aratiba,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
