index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
138908,Araçoiaba da Serra,2020-03-27,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
138909,Araçoiaba da Serra,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
138910,Araçoiaba da Serra,2020-03-29,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
138911,Araçoiaba da Serra,2020-03-30,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
138912,Araçoiaba da Serra,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
138913,Araçoiaba da Serra,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
138914,Araçoiaba da Serra,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
138915,Araçoiaba da Serra,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
138916,Araçoiaba da Serra,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
138917,Araçoiaba da Serra,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
138918,Araçoiaba da Serra,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
138919,Araçoiaba da Serra,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
138920,Araçoiaba da Serra,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
138921,Araçoiaba da Serra,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
138922,Araçoiaba da Serra,2020-04-10,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
138923,Araçoiaba da Serra,2020-04-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138924,Araçoiaba da Serra,2020-04-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138925,Araçoiaba da Serra,2020-04-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138926,Araçoiaba da Serra,2020-04-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138927,Araçoiaba da Serra,2020-04-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138928,Araçoiaba da Serra,2020-04-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138929,Araçoiaba da Serra,2020-04-17,1.0,0,0,0,0.0,0.0,0.0,0.0
138930,Araçoiaba da Serra,2020-04-18,1.0,0,0,0,0.0,0.0,0.0,0.0
138931,Araçoiaba da Serra,2020-04-19,1.0,0,0,0,0.0,0.0,0.0,0.0
138932,Araçoiaba da Serra,2020-04-20,1.0,0,0,0,0.0,0.0,0.0,0.0
138933,Araçoiaba da Serra,2020-04-21,1.0,0,0,0,0.0,0.0,0.0,0.0
138934,Araçoiaba da Serra,2020-04-22,1.0,0,0,0,0.0,0.0,0.0,0.0
138935,Araçoiaba da Serra,2020-04-23,1.0,0,0,0,0.0,0.0,0.0,0.0
138936,Araçoiaba da Serra,2020-04-24,1.0,0,0,0,0.0,0.0,0.0,0.0
138937,Araçoiaba da Serra,2020-04-25,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
138938,Araçoiaba da Serra,2020-04-26,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138939,Araçoiaba da Serra,2020-04-27,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138940,Araçoiaba da Serra,2020-04-28,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138941,Araçoiaba da Serra,2020-04-29,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138942,Araçoiaba da Serra,2020-04-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
138943,Araçoiaba da Serra,2020-05-01,4.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
138944,Araçoiaba da Serra,2020-05-02,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
138945,Araçoiaba da Serra,2020-05-03,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
138946,Araçoiaba da Serra,2020-05-04,6.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
138947,Araçoiaba da Serra,2020-05-05,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
138948,Araçoiaba da Serra,2020-05-06,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
138949,Araçoiaba da Serra,2020-05-07,8.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
138950,Araçoiaba da Serra,2020-05-08,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
138951,Araçoiaba da Serra,2020-05-09,9.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
138952,Araçoiaba da Serra,2020-05-10,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
138953,Araçoiaba da Serra,2020-05-11,9.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
138954,Araçoiaba da Serra,2020-05-12,9.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
138955,Araçoiaba da Serra,2020-05-13,15.0,6,0,0,1.2857142857142858,0.0,9.0,0.0
138956,Araçoiaba da Serra,2020-05-14,21.0,6,0,0,1.8571428571428572,0.0,13.0,0.0
138957,Araçoiaba da Serra,2020-05-15,22.0,1,0,0,2.0,0.0,14.0,0.0
138958,Araçoiaba da Serra,2020-05-16,22.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
138959,Araçoiaba da Serra,2020-05-17,22.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
138960,Araçoiaba da Serra,2020-05-18,23.0,1,0,0,2.0,0.0,14.0,0.0
138961,Araçoiaba da Serra,2020-05-19,25.0,2,0,0,2.2857142857142856,0.0,16.0,0.0
138962,Araçoiaba da Serra,2020-05-20,25.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
138963,Araçoiaba da Serra,2020-05-21,27.0,2,1,1,0.8571428571428571,0.14285714285714285,6.0,1.0
138964,Araçoiaba da Serra,2020-05-22,28.0,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
138965,Araçoiaba da Serra,2020-05-23,28.0,0,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
138966,Araçoiaba da Serra,2020-05-24,30.0,2,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
138967,Araçoiaba da Serra,2020-05-25,32.0,2,1,0,1.2857142857142858,0.14285714285714285,9.0,1.0
138968,Araçoiaba da Serra,2020-05-26,33.0,1,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
138969,Araçoiaba da Serra,2020-05-27,38.0,5,1,0,1.8571428571428572,0.14285714285714285,13.0,1.0
138970,Araçoiaba da Serra,2020-05-28,38.0,0,1,0,1.5714285714285714,0.0,11.0,0.0
138971,Araçoiaba da Serra,2020-05-29,38.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
138972,Araçoiaba da Serra,2020-05-30,40.0,2,1,0,1.7142857142857142,0.0,12.0,0.0
138973,Araçoiaba da Serra,2020-05-31,40.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
138974,Araçoiaba da Serra,2020-06-01,40.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
138975,Araçoiaba da Serra,2020-06-02,41.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
138976,Araçoiaba da Serra,2020-06-03,42.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
138977,Araçoiaba da Serra,2020-06-04,43.0,1,1,0,0.7142857142857143,0.0,5.0,0.0
138978,Araçoiaba da Serra,2020-06-05,45.0,2,1,0,1.0,0.0,7.0,0.0
138979,Araçoiaba da Serra,2020-06-06,48.0,3,1,0,1.1428571428571428,0.0,8.0,0.0
138980,Araçoiaba da Serra,2020-06-07,49.0,1,1,0,1.2857142857142858,0.0,9.0,0.0
138981,Araçoiaba da Serra,2020-06-08,49.0,0,1,0,1.2857142857142858,0.0,9.0,0.0
138982,Araçoiaba da Serra,2020-06-09,51.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
