index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
135880,Arcoverde,2020-03-27,0.0,0,0,0,13.142857142857142,0.0,92.0,0.0
135881,Arcoverde,2020-03-28,0.0,0,0,0,9.285714285714286,0.0,65.0,0.0
135882,Arcoverde,2020-03-29,0.0,0,0,0,6.428571428571429,0.0,45.0,0.0
135883,Arcoverde,2020-03-30,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
135884,Arcoverde,2020-03-31,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
135885,Arcoverde,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
135886,Arcoverde,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
135887,Arcoverde,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
135888,Arcoverde,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
135889,Arcoverde,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
135890,Arcoverde,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
135891,Arcoverde,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
135892,Arcoverde,2020-04-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
135893,Arcoverde,2020-04-09,3.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
135894,Arcoverde,2020-04-10,3.0,0,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
135895,Arcoverde,2020-04-11,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
135896,Arcoverde,2020-04-12,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
135897,Arcoverde,2020-04-13,4.0,1,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
135898,Arcoverde,2020-04-14,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
135899,Arcoverde,2020-04-15,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
135900,Arcoverde,2020-04-16,7.0,3,2,1,0.5714285714285714,0.2857142857142857,4.0,2.0
135901,Arcoverde,2020-04-17,7.0,0,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
135902,Arcoverde,2020-04-18,7.0,0,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
135903,Arcoverde,2020-04-19,10.0,3,2,0,1.0,0.14285714285714285,7.0,1.0
135904,Arcoverde,2020-04-20,10.0,0,2,0,0.8571428571428571,0.14285714285714285,6.0,1.0
135905,Arcoverde,2020-04-21,11.0,1,2,0,1.0,0.14285714285714285,7.0,1.0
135906,Arcoverde,2020-04-22,12.0,1,2,0,1.1428571428571428,0.14285714285714285,8.0,1.0
135907,Arcoverde,2020-04-23,12.0,0,3,1,0.7142857142857143,0.14285714285714285,5.0,1.0
135908,Arcoverde,2020-04-24,11.0,-1,3,0,0.5714285714285714,0.14285714285714285,4.0,1.0
135909,Arcoverde,2020-04-25,12.0,1,3,0,0.7142857142857143,0.14285714285714285,5.0,1.0
135910,Arcoverde,2020-04-26,12.0,0,3,0,0.2857142857142857,0.14285714285714285,2.0,1.0
135911,Arcoverde,2020-04-27,13.0,1,3,0,0.42857142857142855,0.14285714285714285,3.0,1.0
135912,Arcoverde,2020-04-28,13.0,0,4,1,0.2857142857142857,0.2857142857142857,2.0,2.0
135913,Arcoverde,2020-04-29,13.0,0,4,0,0.14285714285714285,0.2857142857142857,1.0,2.0
135914,Arcoverde,2020-04-30,14.0,1,4,0,0.2857142857142857,0.14285714285714285,2.0,1.0
135915,Arcoverde,2020-05-01,14.0,0,4,0,0.42857142857142855,0.14285714285714285,3.0,1.0
135916,Arcoverde,2020-05-02,27.0,13,4,0,2.142857142857143,0.14285714285714285,15.0,1.0
135917,Arcoverde,2020-05-03,27.0,0,4,0,2.142857142857143,0.14285714285714285,15.0,1.0
135918,Arcoverde,2020-05-04,27.0,0,4,0,2.0,0.14285714285714285,14.0,1.0
135919,Arcoverde,2020-05-05,28.0,1,4,0,2.142857142857143,0.0,15.0,0.0
135920,Arcoverde,2020-05-06,28.0,0,5,1,2.142857142857143,0.14285714285714285,15.0,1.0
