index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
139520,Areia,2020-03-27,0.0,0,0,0,9.571428571428571,0.0,67.0,0.0
139521,Areia,2020-03-28,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
139522,Areia,2020-03-29,0.0,0,0,0,4.142857142857143,0.0,29.0,0.0
139523,Areia,2020-03-30,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
139524,Areia,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
139525,Areia,2020-04-01,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
139526,Areia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
139527,Areia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
139528,Areia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
139529,Areia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
139530,Areia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
139531,Areia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
139532,Areia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
139533,Areia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
139534,Areia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
139535,Areia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
139536,Areia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
139537,Areia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
139538,Areia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
139539,Areia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
139540,Areia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
139541,Areia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
139542,Areia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
139543,Areia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
139544,Areia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
139545,Areia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
139546,Areia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
139547,Areia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
139548,Areia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
139549,Areia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
139550,Areia,2020-04-26,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
139551,Areia,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139552,Areia,2020-04-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139553,Areia,2020-04-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139554,Areia,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139555,Areia,2020-05-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139556,Areia,2020-05-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
139557,Areia,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
139558,Areia,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
139559,Areia,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
139560,Areia,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
139561,Areia,2020-05-07,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
139562,Areia,2020-05-08,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
139563,Areia,2020-05-09,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
139564,Areia,2020-05-10,4.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
139565,Areia,2020-05-11,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
139566,Areia,2020-05-12,5.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
139567,Areia,2020-05-13,6.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
139568,Areia,2020-05-14,8.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
139569,Areia,2020-05-15,13.0,5,0,0,1.4285714285714286,0.0,10.0,0.0
139570,Areia,2020-05-16,13.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
139571,Areia,2020-05-17,13.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
139572,Areia,2020-05-18,18.0,5,0,0,2.0,0.0,14.0,0.0
139573,Areia,2020-05-19,21.0,3,0,0,2.2857142857142856,0.0,16.0,0.0
139574,Areia,2020-05-20,26.0,5,0,0,2.857142857142857,0.0,20.0,0.0
139575,Areia,2020-05-21,30.0,4,0,0,3.142857142857143,0.0,22.0,0.0
139576,Areia,2020-05-22,37.0,7,0,0,3.4285714285714284,0.0,24.0,0.0
139577,Areia,2020-05-23,37.0,0,1,1,3.4285714285714284,0.14285714285714285,24.0,1.0
139578,Areia,2020-05-24,36.0,-1,1,0,3.2857142857142856,0.14285714285714285,23.0,1.0
139579,Areia,2020-05-25,36.0,0,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
139580,Areia,2020-05-26,40.0,4,1,0,2.7142857142857144,0.14285714285714285,19.0,1.0
139581,Areia,2020-05-27,43.0,3,1,0,2.4285714285714284,0.14285714285714285,17.0,1.0
139582,Areia,2020-05-28,44.0,1,1,0,2.0,0.14285714285714285,14.0,1.0
139583,Areia,2020-05-29,50.0,6,1,0,1.8571428571428572,0.14285714285714285,13.0,1.0
139584,Areia,2020-05-30,54.0,4,1,0,2.4285714285714284,0.0,17.0,0.0
139585,Areia,2020-05-31,55.0,1,1,0,2.7142857142857144,0.0,19.0,0.0
139586,Areia,2020-06-01,56.0,1,1,0,2.857142857142857,0.0,20.0,0.0
139587,Areia,2020-06-02,57.0,1,1,0,2.4285714285714284,0.0,17.0,0.0
139588,Areia,2020-06-03,59.0,2,1,0,2.2857142857142856,0.0,16.0,0.0
139589,Areia,2020-06-04,66.0,7,1,0,3.142857142857143,0.0,22.0,0.0
139590,Areia,2020-06-05,69.0,3,1,0,2.7142857142857144,0.0,19.0,0.0
139591,Areia,2020-06-06,73.0,4,1,0,2.7142857142857144,0.0,19.0,0.0
139592,Areia,2020-06-07,74.0,1,1,0,2.7142857142857144,0.0,19.0,0.0
139593,Areia,2020-06-08,74.0,0,1,0,2.5714285714285716,0.0,18.0,0.0
139594,Areia,2020-06-09,77.0,3,1,0,2.857142857142857,0.0,20.0,0.0
139595,Areia,2020-06-10,86.0,9,1,0,3.857142857142857,0.0,27.0,0.0
139596,Areia,2020-06-11,94.0,8,1,0,4.0,0.0,28.0,0.0
139597,Areia,2020-06-12,95.0,1,1,0,3.7142857142857144,0.0,26.0,0.0
139598,Areia,2020-06-13,103.0,8,1,0,4.285714285714286,0.0,30.0,0.0
139599,Areia,2020-06-14,103.0,0,1,0,4.142857142857143,0.0,29.0,0.0
139600,Areia,2020-06-15,105.0,2,1,0,4.428571428571429,0.0,31.0,0.0
139601,Areia,2020-06-16,109.0,4,1,0,4.571428571428571,0.0,32.0,0.0
139602,Areia,2020-06-17,112.0,3,1,0,3.7142857142857144,0.0,26.0,0.0
139603,Areia,2020-06-18,112.0,0,1,0,2.5714285714285716,0.0,18.0,0.0
139604,Areia,2020-06-19,115.0,3,1,0,2.857142857142857,0.0,20.0,0.0
139605,Areia,2020-06-20,119.0,4,1,0,2.2857142857142856,0.0,16.0,0.0
139606,Areia,2020-06-21,119.0,0,1,0,2.2857142857142856,0.0,16.0,0.0
139607,Areia,2020-06-22,119.0,0,1,0,2.0,0.0,14.0,0.0
139608,Areia,2020-06-23,123.0,4,1,0,2.0,0.0,14.0,0.0
139609,Areia,2020-06-24,136.0,13,1,0,3.4285714285714284,0.0,24.0,0.0
139610,Areia,2020-06-25,148.0,12,1,0,5.142857142857143,0.0,36.0,0.0
139611,Areia,2020-06-26,147.0,-1,1,0,4.571428571428571,0.0,32.0,0.0
139612,Areia,2020-06-27,149.0,2,1,0,4.285714285714286,0.0,30.0,0.0
139613,Areia,2020-06-28,150.0,1,1,0,4.428571428571429,0.0,31.0,0.0
139614,Areia,2020-06-29,150.0,0,1,0,4.428571428571429,0.0,31.0,0.0
139615,Areia,2020-06-30,161.0,11,1,0,5.428571428571429,0.0,38.0,0.0
139616,Areia,2020-07-01,161.0,0,1,0,3.5714285714285716,0.0,25.0,0.0
139617,Areia,2020-07-02,167.0,6,1,0,2.7142857142857144,0.0,19.0,0.0
