index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
137193,Aricanduva,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
137194,Aricanduva,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
137195,Aricanduva,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
137196,Aricanduva,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
137197,Aricanduva,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
137198,Aricanduva,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
137199,Aricanduva,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
137200,Aricanduva,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
137201,Aricanduva,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
137202,Aricanduva,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
137203,Aricanduva,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
137204,Aricanduva,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
137205,Aricanduva,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
137206,Aricanduva,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
137207,Aricanduva,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
137208,Aricanduva,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
137209,Aricanduva,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
137210,Aricanduva,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
137211,Aricanduva,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
137212,Aricanduva,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
137213,Aricanduva,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
137214,Aricanduva,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
137215,Aricanduva,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
137216,Aricanduva,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
137217,Aricanduva,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
137218,Aricanduva,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
137219,Aricanduva,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
137220,Aricanduva,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
137221,Aricanduva,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
137222,Aricanduva,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
137223,Aricanduva,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
137224,Aricanduva,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
137225,Aricanduva,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
137226,Aricanduva,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
137227,Aricanduva,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
137228,Aricanduva,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
137229,Aricanduva,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
137230,Aricanduva,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
137231,Aricanduva,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
137232,Aricanduva,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
137233,Aricanduva,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
137234,Aricanduva,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
137235,Aricanduva,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
137236,Aricanduva,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
137237,Aricanduva,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
137238,Aricanduva,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
137239,Aricanduva,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
137240,Aricanduva,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
137241,Aricanduva,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
137242,Aricanduva,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
137243,Aricanduva,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
137244,Aricanduva,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
137245,Aricanduva,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
137246,Aricanduva,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
137247,Aricanduva,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
137248,Aricanduva,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
137249,Aricanduva,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
137250,Aricanduva,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
137251,Aricanduva,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
137252,Aricanduva,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
137253,Aricanduva,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
137254,Aricanduva,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
137255,Aricanduva,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
137256,Aricanduva,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
137257,Aricanduva,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
137258,Aricanduva,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
137259,Aricanduva,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
137260,Aricanduva,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
137261,Aricanduva,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
137262,Aricanduva,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
137263,Aricanduva,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
137264,Aricanduva,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
137265,Aricanduva,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
137266,Aricanduva,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
137267,Aricanduva,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
137268,Aricanduva,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
137269,Aricanduva,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
137270,Aricanduva,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
137271,Aricanduva,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
137272,Aricanduva,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
137273,Aricanduva,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
137274,Aricanduva,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
137275,Aricanduva,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
137276,Aricanduva,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
137277,Aricanduva,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
137278,Aricanduva,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
137279,Aricanduva,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
137280,Aricanduva,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
137281,Aricanduva,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
137282,Aricanduva,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
137283,Aricanduva,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
137284,Aricanduva,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
137285,Aricanduva,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
137286,Aricanduva,2020-06-28,0.0,0,0,0,0.0,0.0,0.0,0.0
