index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
157885,Arroio do Padre,2020-03-27,0.0,0,0,0,4.0,0.14285714285714285,28.0,1.0
157886,Arroio do Padre,2020-03-28,0.0,0,0,0,3.0,0.14285714285714285,21.0,1.0
157887,Arroio do Padre,2020-03-29,0.0,0,0,0,2.857142857142857,0.14285714285714285,20.0,1.0
157888,Arroio do Padre,2020-03-30,0.0,0,0,0,2.857142857142857,0.14285714285714285,20.0,1.0
157889,Arroio do Padre,2020-03-31,0.0,0,0,0,1.7142857142857142,0.14285714285714285,12.0,1.0
157890,Arroio do Padre,2020-04-01,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
157891,Arroio do Padre,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
157892,Arroio do Padre,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
157893,Arroio do Padre,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
157894,Arroio do Padre,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
157895,Arroio do Padre,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
157896,Arroio do Padre,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
157897,Arroio do Padre,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
157898,Arroio do Padre,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
157899,Arroio do Padre,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
157900,Arroio do Padre,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
157901,Arroio do Padre,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
157902,Arroio do Padre,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
157903,Arroio do Padre,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
157904,Arroio do Padre,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
157905,Arroio do Padre,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
157906,Arroio do Padre,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
157907,Arroio do Padre,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
157908,Arroio do Padre,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
157909,Arroio do Padre,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
157910,Arroio do Padre,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
157911,Arroio do Padre,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
157912,Arroio do Padre,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
157913,Arroio do Padre,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
157914,Arroio do Padre,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
157915,Arroio do Padre,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
157916,Arroio do Padre,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
157917,Arroio do Padre,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
157918,Arroio do Padre,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
157919,Arroio do Padre,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
157920,Arroio do Padre,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
157921,Arroio do Padre,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
157922,Arroio do Padre,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
157923,Arroio do Padre,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
157924,Arroio do Padre,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
157925,Arroio do Padre,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
157926,Arroio do Padre,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
157927,Arroio do Padre,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
157928,Arroio do Padre,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
157929,Arroio do Padre,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
157930,Arroio do Padre,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
157931,Arroio do Padre,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
157932,Arroio do Padre,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
157933,Arroio do Padre,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
157934,Arroio do Padre,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
157935,Arroio do Padre,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
157936,Arroio do Padre,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
157937,Arroio do Padre,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
157938,Arroio do Padre,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
157939,Arroio do Padre,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
157940,Arroio do Padre,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
157941,Arroio do Padre,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
157942,Arroio do Padre,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
157943,Arroio do Padre,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
157944,Arroio do Padre,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
157945,Arroio do Padre,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
157946,Arroio do Padre,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
157947,Arroio do Padre,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
157948,Arroio do Padre,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
157949,Arroio do Padre,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
157950,Arroio do Padre,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
157951,Arroio do Padre,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
157952,Arroio do Padre,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
157953,Arroio do Padre,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
157954,Arroio do Padre,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
157955,Arroio do Padre,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
157956,Arroio do Padre,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
157957,Arroio do Padre,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
