municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Atalaia,27-03-2020,0,0,0,0,22.714285714285715,1.1428571428571428,137.0,14.0
Atalaia,28-03-2020,0,0,0,0,20.857142857142858,1.0714285714285714,92.0,10.0
Atalaia,29-03-2020,0,0,0,0,18.714285714285715,1.0,75.0,6.0
Atalaia,30-03-2020,0,0,0,0,16.714285714285715,1.0,63.0,6.0
Atalaia,31-03-2020,0,0,0,0,15.428571428571429,1.0,30.0,5.0
Atalaia,01-04-2020,0,0,0,0,14.714285714285714,1.0,21.0,5.0
Atalaia,02-04-2020,0,0,0,0,12.071428571428571,1.0,0.0,0.0
Atalaia,03-04-2020,0,0,0,0,9.785714285714286,1.0,0.0,0.0
Atalaia,04-04-2020,0,0,0,0,6.571428571428571,0.7142857142857143,0.0,0.0
Atalaia,05-04-2020,0,0,0,0,5.357142857142857,0.42857142857142855,0.0,0.0
Atalaia,06-04-2020,0,0,0,0,4.5,0.42857142857142855,0.0,0.0
Atalaia,07-04-2020,0,0,0,0,2.142857142857143,0.35714285714285715,0.0,0.0
Atalaia,08-04-2020,0,0,0,0,1.5,0.35714285714285715,0.0,0.0
Atalaia,09-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,10-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,11-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,12-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,13-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,14-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,15-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,16-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,17-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,18-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,19-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,20-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,21-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,22-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,23-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,24-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,25-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Atalaia,26-04-2020,1,1,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,27-04-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,28-04-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,29-04-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,30-04-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,01-05-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,02-05-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
Atalaia,03-05-2020,1,0,0,0,0.07142857142857142,0.0,0.0,0.0
Atalaia,04-05-2020,1,0,0,0,0.07142857142857142,0.0,0.0,0.0
Atalaia,05-05-2020,1,0,0,0,0.07142857142857142,0.0,0.0,0.0
Atalaia,06-05-2020,1,0,0,0,0.07142857142857142,0.0,0.0,0.0
Atalaia,07-05-2020,2,1,0,0,0.14285714285714285,0.0,1.0,0.0
Atalaia,08-05-2020,7,5,0,0,0.5,0.0,6.0,0.0
Atalaia,09-05-2020,8,1,0,0,0.5714285714285714,0.0,7.0,0.0
Atalaia,10-05-2020,10,2,0,0,0.6428571428571429,0.0,9.0,0.0
Atalaia,11-05-2020,11,1,0,0,0.7142857142857143,0.0,10.0,0.0
Atalaia,12-05-2020,12,1,0,0,0.7857142857142857,0.0,11.0,0.0
Atalaia,13-05-2020,12,0,0,0,0.7857142857142857,0.0,11.0,0.0
Atalaia,14-05-2020,19,7,1,1,1.2857142857142858,0.07142857142857142,17.0,1.0
Atalaia,15-05-2020,19,0,1,0,1.2857142857142858,0.07142857142857142,12.0,1.0
Atalaia,16-05-2020,25,6,1,0,1.7142857142857142,0.07142857142857142,17.0,1.0
Atalaia,17-05-2020,29,4,1,0,2.0,0.07142857142857142,19.0,1.0
Atalaia,18-05-2020,31,2,2,1,2.142857142857143,0.14285714285714285,20.0,2.0
Atalaia,19-05-2020,36,5,2,0,2.5,0.14285714285714285,24.0,2.0
Atalaia,20-05-2020,36,0,2,0,2.5,0.14285714285714285,24.0,2.0
Atalaia,21-05-2020,36,0,2,0,2.4285714285714284,0.14285714285714285,17.0,1.0
Atalaia,22-05-2020,42,6,2,0,2.5,0.14285714285714285,23.0,1.0
Atalaia,23-05-2020,43,1,2,0,2.5,0.14285714285714285,18.0,1.0
Atalaia,24-05-2020,79,36,2,0,4.928571428571429,0.14285714285714285,50.0,1.0
Atalaia,25-05-2020,89,10,3,1,5.571428571428571,0.21428571428571427,58.0,1.0
Atalaia,26-05-2020,90,1,3,0,5.571428571428571,0.21428571428571427,54.0,1.0
Atalaia,27-05-2020,90,0,3,0,5.571428571428571,0.21428571428571427,54.0,1.0
Atalaia,28-05-2020,91,1,3,0,5.142857142857143,0.14285714285714285,55.0,1.0
Atalaia,29-05-2020,149,58,3,0,9.285714285714286,0.14285714285714285,107.0,1.0
Atalaia,30-05-2020,149,0,3,0,8.857142857142858,0.14285714285714285,106.0,1.0
Atalaia,31-05-2020,167,18,3,0,9.857142857142858,0.14285714285714285,88.0,1.0
Atalaia,01-06-2020,173,6,3,0,10.142857142857142,0.07142857142857142,84.0,0.0
Atalaia,02-06-2020,175,2,4,1,9.928571428571429,0.14285714285714285,85.0,1.0
Atalaia,03-06-2020,209,34,5,1,12.357142857142858,0.21428571428571427,119.0,2.0
Atalaia,04-06-2020,209,0,5,0,12.357142857142858,0.21428571428571427,118.0,2.0
Atalaia,05-06-2020,226,17,5,0,13.142857142857142,0.21428571428571427,77.0,2.0
