index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
172298,Bacabal,2020-03-27,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
172299,Bacabal,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
172300,Bacabal,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
172301,Bacabal,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
172302,Bacabal,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
172303,Bacabal,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
172304,Bacabal,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
172305,Bacabal,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
172306,Bacabal,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
172307,Bacabal,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
172308,Bacabal,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
172309,Bacabal,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
172310,Bacabal,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
172311,Bacabal,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
172312,Bacabal,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
172313,Bacabal,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
172314,Bacabal,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
172315,Bacabal,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
172316,Bacabal,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
172317,Bacabal,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
172318,Bacabal,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
172319,Bacabal,2020-04-17,4.0,4,0,0,0.5714285714285714,0.0,4.0,0.0
172320,Bacabal,2020-04-18,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
172321,Bacabal,2020-04-19,5.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
172322,Bacabal,2020-04-20,6.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
172323,Bacabal,2020-04-21,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
172324,Bacabal,2020-04-22,8.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
172325,Bacabal,2020-04-23,8.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
172326,Bacabal,2020-04-24,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
172327,Bacabal,2020-04-25,9.0,1,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
172328,Bacabal,2020-04-26,9.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
172329,Bacabal,2020-04-27,21.0,12,1,0,2.142857142857143,0.14285714285714285,15.0,1.0
172330,Bacabal,2020-04-28,21.0,0,1,0,2.142857142857143,0.14285714285714285,15.0,1.0
172331,Bacabal,2020-04-29,29.0,8,1,0,3.0,0.14285714285714285,21.0,1.0
172332,Bacabal,2020-04-30,30.0,1,1,0,3.142857142857143,0.14285714285714285,22.0,1.0
172333,Bacabal,2020-05-01,34.0,4,1,0,3.7142857142857144,0.14285714285714285,26.0,1.0
172334,Bacabal,2020-05-02,34.0,0,1,0,3.5714285714285716,0.0,25.0,0.0
172335,Bacabal,2020-05-03,35.0,1,1,0,3.7142857142857144,0.0,26.0,0.0
172336,Bacabal,2020-05-04,36.0,1,1,0,2.142857142857143,0.0,15.0,0.0
172337,Bacabal,2020-05-05,42.0,6,1,0,3.0,0.0,21.0,0.0
172338,Bacabal,2020-05-06,41.0,-1,1,0,1.7142857142857142,0.0,12.0,0.0
172339,Bacabal,2020-05-07,42.0,1,1,0,1.7142857142857142,0.0,12.0,0.0
172340,Bacabal,2020-05-08,66.0,24,1,0,4.571428571428571,0.0,32.0,0.0
172341,Bacabal,2020-05-09,69.0,3,1,0,5.0,0.0,35.0,0.0
172342,Bacabal,2020-05-10,69.0,0,1,0,4.857142857142857,0.0,34.0,0.0
172343,Bacabal,2020-05-11,70.0,1,1,0,4.857142857142857,0.0,34.0,0.0
172344,Bacabal,2020-05-12,67.0,-3,1,0,3.5714285714285716,0.0,25.0,0.0
172345,Bacabal,2020-05-13,87.0,20,1,0,6.571428571428571,0.0,46.0,0.0
172346,Bacabal,2020-05-14,87.0,0,1,0,6.428571428571429,0.0,45.0,0.0
172347,Bacabal,2020-05-15,87.0,0,1,0,3.0,0.0,21.0,0.0
172348,Bacabal,2020-05-16,111.0,24,1,0,6.0,0.0,42.0,0.0
172349,Bacabal,2020-05-17,111.0,0,1,0,6.0,0.0,42.0,0.0
172350,Bacabal,2020-05-18,111.0,0,1,0,5.857142857142857,0.0,41.0,0.0
172351,Bacabal,2020-05-19,112.0,1,1,0,6.428571428571429,0.0,45.0,0.0
172352,Bacabal,2020-05-20,146.0,34,1,0,8.428571428571429,0.0,59.0,0.0
172353,Bacabal,2020-05-21,146.0,0,1,0,8.428571428571429,0.0,59.0,0.0
172354,Bacabal,2020-05-22,177.0,31,1,0,12.857142857142858,0.0,90.0,0.0
172355,Bacabal,2020-05-23,177.0,0,1,0,9.428571428571429,0.0,66.0,0.0
