index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
190888,Bandeira do Sul,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
190889,Bandeira do Sul,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
190890,Bandeira do Sul,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
190891,Bandeira do Sul,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
190892,Bandeira do Sul,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
190893,Bandeira do Sul,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
190894,Bandeira do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
190895,Bandeira do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
190896,Bandeira do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
190897,Bandeira do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
190898,Bandeira do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
190899,Bandeira do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
190900,Bandeira do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
190901,Bandeira do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
190902,Bandeira do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
190903,Bandeira do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
190904,Bandeira do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
190905,Bandeira do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
190906,Bandeira do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
190907,Bandeira do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
190908,Bandeira do Sul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
190909,Bandeira do Sul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
190910,Bandeira do Sul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
190911,Bandeira do Sul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
190912,Bandeira do Sul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
190913,Bandeira do Sul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
190914,Bandeira do Sul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
190915,Bandeira do Sul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
190916,Bandeira do Sul,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
190917,Bandeira do Sul,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
190918,Bandeira do Sul,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
190919,Bandeira do Sul,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
190920,Bandeira do Sul,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
190921,Bandeira do Sul,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
190922,Bandeira do Sul,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
190923,Bandeira do Sul,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
190924,Bandeira do Sul,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
190925,Bandeira do Sul,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
190926,Bandeira do Sul,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
190927,Bandeira do Sul,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
190928,Bandeira do Sul,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
190929,Bandeira do Sul,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
190930,Bandeira do Sul,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
190931,Bandeira do Sul,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
190932,Bandeira do Sul,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
190933,Bandeira do Sul,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
190934,Bandeira do Sul,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
190935,Bandeira do Sul,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
190936,Bandeira do Sul,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
