index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
206488,Barrocas,2020-03-27,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
206489,Barrocas,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
206490,Barrocas,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
206491,Barrocas,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
206492,Barrocas,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
206493,Barrocas,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
206494,Barrocas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
206495,Barrocas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
206496,Barrocas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
206497,Barrocas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
206498,Barrocas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
206499,Barrocas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
206500,Barrocas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
206501,Barrocas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
206502,Barrocas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
206503,Barrocas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
206504,Barrocas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
206505,Barrocas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
206506,Barrocas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
206507,Barrocas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
206508,Barrocas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
206509,Barrocas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
206510,Barrocas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
206511,Barrocas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
206512,Barrocas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
206513,Barrocas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
206514,Barrocas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
206515,Barrocas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
206516,Barrocas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
206517,Barrocas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
206518,Barrocas,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
206519,Barrocas,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
206520,Barrocas,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
206521,Barrocas,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
206522,Barrocas,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
206523,Barrocas,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
206524,Barrocas,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
206525,Barrocas,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
206526,Barrocas,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
206527,Barrocas,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
206528,Barrocas,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
206529,Barrocas,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
206530,Barrocas,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
206531,Barrocas,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
206532,Barrocas,2020-05-10,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
