index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
220324,Barão de Antonina,2020-03-27,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
220325,Barão de Antonina,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
220326,Barão de Antonina,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
220327,Barão de Antonina,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
220328,Barão de Antonina,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
220329,Barão de Antonina,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
220330,Barão de Antonina,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
220331,Barão de Antonina,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
220332,Barão de Antonina,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
220333,Barão de Antonina,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
220334,Barão de Antonina,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
220335,Barão de Antonina,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
220336,Barão de Antonina,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
220337,Barão de Antonina,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
220338,Barão de Antonina,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
220339,Barão de Antonina,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
220340,Barão de Antonina,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
220341,Barão de Antonina,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
220342,Barão de Antonina,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
220343,Barão de Antonina,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
220344,Barão de Antonina,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
220345,Barão de Antonina,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
220346,Barão de Antonina,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
220347,Barão de Antonina,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
220348,Barão de Antonina,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
220349,Barão de Antonina,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
220350,Barão de Antonina,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
220351,Barão de Antonina,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
220352,Barão de Antonina,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
220353,Barão de Antonina,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
220354,Barão de Antonina,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
220355,Barão de Antonina,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
220356,Barão de Antonina,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
220357,Barão de Antonina,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
220358,Barão de Antonina,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
220359,Barão de Antonina,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
220360,Barão de Antonina,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
