index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
240312,Belo Jardim,2020-03-27,0.0,0,0,0,767.4285714285714,15.285714285714286,5372.0,107.0
240313,Belo Jardim,2020-03-28,1.0,1,0,0,767.5714285714286,11.857142857142858,5373.0,83.0
240314,Belo Jardim,2020-03-29,1.0,0,0,0,767.5714285714286,11.857142857142858,5373.0,83.0
240315,Belo Jardim,2020-03-30,1.0,0,0,0,528.7142857142857,11.857142857142858,3701.0,83.0
240316,Belo Jardim,2020-03-31,1.0,0,0,0,349.2857142857143,5.714285714285714,2445.0,40.0
240317,Belo Jardim,2020-04-01,1.0,0,0,0,155.57142857142858,3.4285714285714284,1089.0,24.0
240318,Belo Jardim,2020-04-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240319,Belo Jardim,2020-04-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240320,Belo Jardim,2020-04-04,1.0,0,0,0,0.0,0.0,0.0,0.0
240321,Belo Jardim,2020-04-05,1.0,0,0,0,0.0,0.0,0.0,0.0
240322,Belo Jardim,2020-04-06,1.0,0,0,0,0.0,0.0,0.0,0.0
240323,Belo Jardim,2020-04-07,1.0,0,0,0,0.0,0.0,0.0,0.0
240324,Belo Jardim,2020-04-08,1.0,0,0,0,0.0,0.0,0.0,0.0
240325,Belo Jardim,2020-04-09,1.0,0,0,0,0.0,0.0,0.0,0.0
240326,Belo Jardim,2020-04-10,1.0,0,0,0,0.0,0.0,0.0,0.0
240327,Belo Jardim,2020-04-11,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
240328,Belo Jardim,2020-04-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240329,Belo Jardim,2020-04-13,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240330,Belo Jardim,2020-04-14,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240331,Belo Jardim,2020-04-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240332,Belo Jardim,2020-04-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240333,Belo Jardim,2020-04-17,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240334,Belo Jardim,2020-04-18,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
240335,Belo Jardim,2020-04-19,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
240336,Belo Jardim,2020-04-20,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
240337,Belo Jardim,2020-04-21,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
240338,Belo Jardim,2020-04-22,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
240339,Belo Jardim,2020-04-23,4.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
240340,Belo Jardim,2020-04-24,7.0,3,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
240341,Belo Jardim,2020-04-25,5.0,-2,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
240342,Belo Jardim,2020-04-26,5.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
240343,Belo Jardim,2020-04-27,6.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
240344,Belo Jardim,2020-04-28,7.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
240345,Belo Jardim,2020-04-29,7.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
240346,Belo Jardim,2020-04-30,7.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
240347,Belo Jardim,2020-05-01,7.0,0,1,0,0.0,0.0,0.0,0.0
240348,Belo Jardim,2020-05-02,9.0,2,1,0,0.5714285714285714,0.0,4.0,0.0
240349,Belo Jardim,2020-05-03,9.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
240350,Belo Jardim,2020-05-04,9.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
240351,Belo Jardim,2020-05-05,9.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
240352,Belo Jardim,2020-05-06,9.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
240353,Belo Jardim,2020-05-07,10.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
240354,Belo Jardim,2020-05-08,10.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
240355,Belo Jardim,2020-05-09,10.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
240356,Belo Jardim,2020-05-10,10.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
240357,Belo Jardim,2020-05-11,11.0,1,1,0,0.2857142857142857,0.0,2.0,0.0
240358,Belo Jardim,2020-05-12,12.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
240359,Belo Jardim,2020-05-13,14.0,2,1,0,0.7142857142857143,0.0,5.0,0.0
240360,Belo Jardim,2020-05-14,14.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
240361,Belo Jardim,2020-05-15,16.0,2,1,0,0.8571428571428571,0.0,6.0,0.0
240362,Belo Jardim,2020-05-16,17.0,1,1,0,1.0,0.0,7.0,0.0
240363,Belo Jardim,2020-05-17,18.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
240364,Belo Jardim,2020-05-18,18.0,0,1,0,1.0,0.0,7.0,0.0
240365,Belo Jardim,2020-05-19,19.0,1,1,0,1.0,0.0,7.0,0.0
240366,Belo Jardim,2020-05-20,21.0,2,1,0,1.0,0.0,7.0,0.0
240367,Belo Jardim,2020-05-21,23.0,2,1,0,1.2857142857142858,0.0,9.0,0.0
240368,Belo Jardim,2020-05-22,24.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
240369,Belo Jardim,2020-05-23,26.0,2,1,0,1.2857142857142858,0.0,9.0,0.0
240370,Belo Jardim,2020-05-24,26.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
240371,Belo Jardim,2020-05-25,28.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
240372,Belo Jardim,2020-05-26,28.0,0,1,0,1.2857142857142858,0.0,9.0,0.0
240373,Belo Jardim,2020-05-27,28.0,0,1,0,1.0,0.0,7.0,0.0
240374,Belo Jardim,2020-05-28,29.0,1,1,0,0.8571428571428571,0.0,6.0,0.0
