index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
248501,Bernardino de Campos,2020-03-27,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
248502,Bernardino de Campos,2020-03-28,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
248503,Bernardino de Campos,2020-03-29,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
248504,Bernardino de Campos,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
248505,Bernardino de Campos,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
248506,Bernardino de Campos,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
248507,Bernardino de Campos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
248508,Bernardino de Campos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
248509,Bernardino de Campos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
248510,Bernardino de Campos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
248511,Bernardino de Campos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
248512,Bernardino de Campos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
248513,Bernardino de Campos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
248514,Bernardino de Campos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
248515,Bernardino de Campos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
248516,Bernardino de Campos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
248517,Bernardino de Campos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
248518,Bernardino de Campos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
248519,Bernardino de Campos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
248520,Bernardino de Campos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
248521,Bernardino de Campos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
248522,Bernardino de Campos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
248523,Bernardino de Campos,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
248524,Bernardino de Campos,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
248525,Bernardino de Campos,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
248526,Bernardino de Campos,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
248527,Bernardino de Campos,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
248528,Bernardino de Campos,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
248529,Bernardino de Campos,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
248530,Bernardino de Campos,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
248531,Bernardino de Campos,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
248532,Bernardino de Campos,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
248533,Bernardino de Campos,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
248534,Bernardino de Campos,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
248535,Bernardino de Campos,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
248536,Bernardino de Campos,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
248537,Bernardino de Campos,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
248538,Bernardino de Campos,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
248539,Bernardino de Campos,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
248540,Bernardino de Campos,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
248541,Bernardino de Campos,2020-05-06,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
248542,Bernardino de Campos,2020-05-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248543,Bernardino de Campos,2020-05-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248544,Bernardino de Campos,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248545,Bernardino de Campos,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248546,Bernardino de Campos,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248547,Bernardino de Campos,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
248548,Bernardino de Campos,2020-05-13,0.0,-1,0,0,-0.14285714285714285,0.0,-1.0,0.0
248549,Bernardino de Campos,2020-05-14,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248550,Bernardino de Campos,2020-05-15,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248551,Bernardino de Campos,2020-05-16,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248552,Bernardino de Campos,2020-05-17,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248553,Bernardino de Campos,2020-05-18,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248554,Bernardino de Campos,2020-05-19,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
248555,Bernardino de Campos,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
