index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
254800,Betânia do Piauí,2020-03-27,0.0,0,0,0,2.0,0.14285714285714285,14.0,1.0
254801,Betânia do Piauí,2020-03-28,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
254802,Betânia do Piauí,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
254803,Betânia do Piauí,2020-03-30,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
254804,Betânia do Piauí,2020-03-31,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
254805,Betânia do Piauí,2020-04-01,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
254806,Betânia do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
254807,Betânia do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
254808,Betânia do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
254809,Betânia do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
254810,Betânia do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
254811,Betânia do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
254812,Betânia do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
254813,Betânia do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
254814,Betânia do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
254815,Betânia do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
254816,Betânia do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
254817,Betânia do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
254818,Betânia do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
254819,Betânia do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
254820,Betânia do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
254821,Betânia do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
254822,Betânia do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
254823,Betânia do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
254824,Betânia do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
254825,Betânia do Piauí,2020-04-21,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
254826,Betânia do Piauí,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254827,Betânia do Piauí,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254828,Betânia do Piauí,2020-04-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254829,Betânia do Piauí,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254830,Betânia do Piauí,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254831,Betânia do Piauí,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
254832,Betânia do Piauí,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
254833,Betânia do Piauí,2020-04-29,1.0,0,0,0,0.0,0.0,0.0,0.0
254834,Betânia do Piauí,2020-04-30,1.0,0,0,0,0.0,0.0,0.0,0.0
254835,Betânia do Piauí,2020-05-01,1.0,0,0,0,0.0,0.0,0.0,0.0
254836,Betânia do Piauí,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
254837,Betânia do Piauí,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
254838,Betânia do Piauí,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
254839,Betânia do Piauí,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
254840,Betânia do Piauí,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
254841,Betânia do Piauí,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
254842,Betânia do Piauí,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
254843,Betânia do Piauí,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
254844,Betânia do Piauí,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
254845,Betânia do Piauí,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
254846,Betânia do Piauí,2020-05-12,1.0,0,0,0,0.0,0.0,0.0,0.0
254847,Betânia do Piauí,2020-05-13,1.0,0,0,0,0.0,0.0,0.0,0.0
254848,Betânia do Piauí,2020-05-14,1.0,0,0,0,0.0,0.0,0.0,0.0
254849,Betânia do Piauí,2020-05-15,1.0,0,0,0,0.0,0.0,0.0,0.0
254850,Betânia do Piauí,2020-05-16,1.0,0,0,0,0.0,0.0,0.0,0.0
254851,Betânia do Piauí,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
254852,Betânia do Piauí,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
254853,Betânia do Piauí,2020-05-19,1.0,0,0,0,0.0,0.0,0.0,0.0
254854,Betânia do Piauí,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
254855,Betânia do Piauí,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
254856,Betânia do Piauí,2020-05-22,1.0,0,0,0,0.0,0.0,0.0,0.0
254857,Betânia do Piauí,2020-05-23,1.0,0,0,0,0.0,0.0,0.0,0.0
254858,Betânia do Piauí,2020-05-24,1.0,0,0,0,0.0,0.0,0.0,0.0
254859,Betânia do Piauí,2020-05-25,1.0,0,0,0,0.0,0.0,0.0,0.0
254860,Betânia do Piauí,2020-05-26,1.0,0,0,0,0.0,0.0,0.0,0.0
254861,Betânia do Piauí,2020-05-27,1.0,0,0,0,0.0,0.0,0.0,0.0
254862,Betânia do Piauí,2020-05-28,1.0,0,0,0,0.0,0.0,0.0,0.0
254863,Betânia do Piauí,2020-05-29,1.0,0,0,0,0.0,0.0,0.0,0.0
254864,Betânia do Piauí,2020-05-30,1.0,0,0,0,0.0,0.0,0.0,0.0
254865,Betânia do Piauí,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
254866,Betânia do Piauí,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
254867,Betânia do Piauí,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
254868,Betânia do Piauí,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
254869,Betânia do Piauí,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
254870,Betânia do Piauí,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
254871,Betânia do Piauí,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
254872,Betânia do Piauí,2020-06-07,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
254873,Betânia do Piauí,2020-06-08,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254874,Betânia do Piauí,2020-06-09,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254875,Betânia do Piauí,2020-06-10,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254876,Betânia do Piauí,2020-06-11,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254877,Betânia do Piauí,2020-06-12,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254878,Betânia do Piauí,2020-06-13,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
254879,Betânia do Piauí,2020-06-14,3.0,0,0,0,0.0,0.0,0.0,0.0
254880,Betânia do Piauí,2020-06-15,3.0,0,0,0,0.0,0.0,0.0,0.0
254881,Betânia do Piauí,2020-06-16,3.0,0,0,0,0.0,0.0,0.0,0.0
254882,Betânia do Piauí,2020-06-17,3.0,0,0,0,0.0,0.0,0.0,0.0
254883,Betânia do Piauí,2020-06-18,3.0,0,0,0,0.0,0.0,0.0,0.0
254884,Betânia do Piauí,2020-06-19,3.0,0,0,0,0.0,0.0,0.0,0.0
254885,Betânia do Piauí,2020-06-20,3.0,0,0,0,0.0,0.0,0.0,0.0
254886,Betânia do Piauí,2020-06-21,3.0,0,0,0,0.0,0.0,0.0,0.0
254887,Betânia do Piauí,2020-06-22,3.0,0,0,0,0.0,0.0,0.0,0.0
254888,Betânia do Piauí,2020-06-23,3.0,0,0,0,0.0,0.0,0.0,0.0
254889,Betânia do Piauí,2020-06-24,3.0,0,0,0,0.0,0.0,0.0,0.0
254890,Betânia do Piauí,2020-06-25,3.0,0,0,0,0.0,0.0,0.0,0.0
254891,Betânia do Piauí,2020-06-26,3.0,0,0,0,0.0,0.0,0.0,0.0
