index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
252900,Bias Fortes,2020-03-27,0.0,0,0,0,5.142857142857143,0.14285714285714285,36.0,1.0
252901,Bias Fortes,2020-03-28,0.0,0,0,0,6.142857142857143,0.14285714285714285,43.0,1.0
252902,Bias Fortes,2020-03-29,0.0,0,0,0,3.7142857142857144,0.14285714285714285,26.0,1.0
252903,Bias Fortes,2020-03-30,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
252904,Bias Fortes,2020-03-31,0.0,0,0,0,2.0,0.0,14.0,0.0
252905,Bias Fortes,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
252906,Bias Fortes,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
252907,Bias Fortes,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
252908,Bias Fortes,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
252909,Bias Fortes,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
252910,Bias Fortes,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
252911,Bias Fortes,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
252912,Bias Fortes,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
252913,Bias Fortes,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
252914,Bias Fortes,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
252915,Bias Fortes,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
252916,Bias Fortes,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
252917,Bias Fortes,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
252918,Bias Fortes,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
252919,Bias Fortes,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
252920,Bias Fortes,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
252921,Bias Fortes,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
252922,Bias Fortes,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
252923,Bias Fortes,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
252924,Bias Fortes,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
252925,Bias Fortes,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
252926,Bias Fortes,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
252927,Bias Fortes,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
252928,Bias Fortes,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
252929,Bias Fortes,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
252930,Bias Fortes,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
252931,Bias Fortes,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
252932,Bias Fortes,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
252933,Bias Fortes,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
252934,Bias Fortes,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
252935,Bias Fortes,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
252936,Bias Fortes,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
252937,Bias Fortes,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
252938,Bias Fortes,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
252939,Bias Fortes,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
252940,Bias Fortes,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
252941,Bias Fortes,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
252942,Bias Fortes,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
252943,Bias Fortes,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
252944,Bias Fortes,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
252945,Bias Fortes,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
252946,Bias Fortes,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
252947,Bias Fortes,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
252948,Bias Fortes,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
252949,Bias Fortes,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
252950,Bias Fortes,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
252951,Bias Fortes,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
252952,Bias Fortes,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
252953,Bias Fortes,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
252954,Bias Fortes,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
252955,Bias Fortes,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
252956,Bias Fortes,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
252957,Bias Fortes,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
252958,Bias Fortes,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
252959,Bias Fortes,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
252960,Bias Fortes,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
252961,Bias Fortes,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
252962,Bias Fortes,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
252963,Bias Fortes,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
252964,Bias Fortes,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
252965,Bias Fortes,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
252966,Bias Fortes,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
252967,Bias Fortes,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
252968,Bias Fortes,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
252969,Bias Fortes,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
252970,Bias Fortes,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
252971,Bias Fortes,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
252972,Bias Fortes,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
252973,Bias Fortes,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
252974,Bias Fortes,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
252975,Bias Fortes,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
252976,Bias Fortes,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
252977,Bias Fortes,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
252978,Bias Fortes,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
252979,Bias Fortes,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
252980,Bias Fortes,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
252981,Bias Fortes,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
252982,Bias Fortes,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
252983,Bias Fortes,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
252984,Bias Fortes,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
252985,Bias Fortes,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
252986,Bias Fortes,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
252987,Bias Fortes,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
252988,Bias Fortes,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
252989,Bias Fortes,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
252990,Bias Fortes,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
252991,Bias Fortes,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
252992,Bias Fortes,2020-06-27,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
252993,Bias Fortes,2020-06-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
252994,Bias Fortes,2020-06-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
252995,Bias Fortes,2020-06-30,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
252996,Bias Fortes,2020-07-01,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
252997,Bias Fortes,2020-07-02,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
252998,Bias Fortes,2020-07-03,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
252999,Bias Fortes,2020-07-04,4.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
253000,Bias Fortes,2020-07-05,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253001,Bias Fortes,2020-07-06,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253002,Bias Fortes,2020-07-07,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
253003,Bias Fortes,2020-07-08,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
253004,Bias Fortes,2020-07-09,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
253005,Bias Fortes,2020-07-10,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
253006,Bias Fortes,2020-07-11,5.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
253007,Bias Fortes,2020-07-12,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253008,Bias Fortes,2020-07-13,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253009,Bias Fortes,2020-07-14,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253010,Bias Fortes,2020-07-15,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253011,Bias Fortes,2020-07-16,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253012,Bias Fortes,2020-07-17,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253013,Bias Fortes,2020-07-18,8.0,3,0,0,0.42857142857142855,0.0,3.0,0.0
253014,Bias Fortes,2020-07-19,8.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253015,Bias Fortes,2020-07-20,8.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253016,Bias Fortes,2020-07-21,8.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253017,Bias Fortes,2020-07-22,11.0,3,0,0,0.8571428571428571,0.0,6.0,0.0
253018,Bias Fortes,2020-07-23,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
253019,Bias Fortes,2020-07-24,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
253020,Bias Fortes,2020-07-25,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253021,Bias Fortes,2020-07-26,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253022,Bias Fortes,2020-07-27,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253023,Bias Fortes,2020-07-28,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
253024,Bias Fortes,2020-07-29,11.0,0,0,0,0.0,0.0,0.0,0.0
253025,Bias Fortes,2020-07-30,11.0,0,0,0,0.0,0.0,0.0,0.0
253026,Bias Fortes,2020-07-31,11.0,0,0,0,0.0,0.0,0.0,0.0
253027,Bias Fortes,2020-08-01,11.0,0,0,0,0.0,0.0,0.0,0.0
253028,Bias Fortes,2020-08-02,12.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
253029,Bias Fortes,2020-08-03,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253030,Bias Fortes,2020-08-04,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253031,Bias Fortes,2020-08-05,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
253032,Bias Fortes,2020-08-06,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
