index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
279169,Bom Jesus do Oeste,2020-03-27,0.0,0,0,0,3.0,0.0,21.0,0.0
279170,Bom Jesus do Oeste,2020-03-28,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
279171,Bom Jesus do Oeste,2020-03-29,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
279172,Bom Jesus do Oeste,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
279173,Bom Jesus do Oeste,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
279174,Bom Jesus do Oeste,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
279175,Bom Jesus do Oeste,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
279176,Bom Jesus do Oeste,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
279177,Bom Jesus do Oeste,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
279178,Bom Jesus do Oeste,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
279179,Bom Jesus do Oeste,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
279180,Bom Jesus do Oeste,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
279181,Bom Jesus do Oeste,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
279182,Bom Jesus do Oeste,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
279183,Bom Jesus do Oeste,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
279184,Bom Jesus do Oeste,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
279185,Bom Jesus do Oeste,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
279186,Bom Jesus do Oeste,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
279187,Bom Jesus do Oeste,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
279188,Bom Jesus do Oeste,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
279189,Bom Jesus do Oeste,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
279190,Bom Jesus do Oeste,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
279191,Bom Jesus do Oeste,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
279192,Bom Jesus do Oeste,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
279193,Bom Jesus do Oeste,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
279194,Bom Jesus do Oeste,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
279195,Bom Jesus do Oeste,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
