index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
273702,Boninal,2020-03-27,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
273703,Boninal,2020-03-28,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
273704,Boninal,2020-03-29,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
273705,Boninal,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
273706,Boninal,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
273707,Boninal,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
273708,Boninal,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
273709,Boninal,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
273710,Boninal,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
273711,Boninal,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
273712,Boninal,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
273713,Boninal,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
273714,Boninal,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
273715,Boninal,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
273716,Boninal,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
273717,Boninal,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
273718,Boninal,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
273719,Boninal,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
273720,Boninal,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
273721,Boninal,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
273722,Boninal,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
273723,Boninal,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
273724,Boninal,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
273725,Boninal,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
273726,Boninal,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
273727,Boninal,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
273728,Boninal,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
273729,Boninal,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
273730,Boninal,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
273731,Boninal,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
273732,Boninal,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
273733,Boninal,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
273734,Boninal,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
273735,Boninal,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
273736,Boninal,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
273737,Boninal,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
273738,Boninal,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
273739,Boninal,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
273740,Boninal,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
273741,Boninal,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
273742,Boninal,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
273743,Boninal,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
273744,Boninal,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
273745,Boninal,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
273746,Boninal,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
273747,Boninal,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
