index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
296205,Borda da Mata,2020-03-27,0.0,0,0,0,8.571428571428571,0.14285714285714285,60.0,1.0
296206,Borda da Mata,2020-03-28,0.0,0,0,0,7.142857142857143,0.14285714285714285,50.0,1.0
296207,Borda da Mata,2020-03-29,0.0,0,0,0,6.857142857142857,0.0,48.0,0.0
296208,Borda da Mata,2020-03-30,0.0,0,0,0,6.571428571428571,0.0,46.0,0.0
296209,Borda da Mata,2020-03-31,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
296210,Borda da Mata,2020-04-01,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
296211,Borda da Mata,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
296212,Borda da Mata,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
296213,Borda da Mata,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
296214,Borda da Mata,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
296215,Borda da Mata,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
296216,Borda da Mata,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
296217,Borda da Mata,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
296218,Borda da Mata,2020-04-09,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
296219,Borda da Mata,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296220,Borda da Mata,2020-04-11,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
296221,Borda da Mata,2020-04-12,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296222,Borda da Mata,2020-04-13,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296223,Borda da Mata,2020-04-14,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296224,Borda da Mata,2020-04-15,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296225,Borda da Mata,2020-04-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296226,Borda da Mata,2020-04-17,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296227,Borda da Mata,2020-04-18,2.0,0,0,0,0.0,0.0,0.0,0.0
296228,Borda da Mata,2020-04-19,2.0,0,0,0,0.0,0.0,0.0,0.0
296229,Borda da Mata,2020-04-20,2.0,0,0,0,0.0,0.0,0.0,0.0
296230,Borda da Mata,2020-04-21,2.0,0,0,0,0.0,0.0,0.0,0.0
296231,Borda da Mata,2020-04-22,2.0,0,0,0,0.0,0.0,0.0,0.0
296232,Borda da Mata,2020-04-23,2.0,0,0,0,0.0,0.0,0.0,0.0
296233,Borda da Mata,2020-04-24,2.0,0,0,0,0.0,0.0,0.0,0.0
296234,Borda da Mata,2020-04-25,2.0,0,0,0,0.0,0.0,0.0,0.0
296235,Borda da Mata,2020-04-26,2.0,0,0,0,0.0,0.0,0.0,0.0
296236,Borda da Mata,2020-04-27,2.0,0,0,0,0.0,0.0,0.0,0.0
296237,Borda da Mata,2020-04-28,2.0,0,0,0,0.0,0.0,0.0,0.0
296238,Borda da Mata,2020-04-29,2.0,0,0,0,0.0,0.0,0.0,0.0
296239,Borda da Mata,2020-04-30,2.0,0,0,0,0.0,0.0,0.0,0.0
296240,Borda da Mata,2020-05-01,2.0,0,0,0,0.0,0.0,0.0,0.0
296241,Borda da Mata,2020-05-02,2.0,0,0,0,0.0,0.0,0.0,0.0
296242,Borda da Mata,2020-05-03,2.0,0,0,0,0.0,0.0,0.0,0.0
296243,Borda da Mata,2020-05-04,2.0,0,0,0,0.0,0.0,0.0,0.0
296244,Borda da Mata,2020-05-05,2.0,0,0,0,0.0,0.0,0.0,0.0
296245,Borda da Mata,2020-05-06,2.0,0,0,0,0.0,0.0,0.0,0.0
296246,Borda da Mata,2020-05-07,2.0,0,0,0,0.0,0.0,0.0,0.0
296247,Borda da Mata,2020-05-08,2.0,0,0,0,0.0,0.0,0.0,0.0
296248,Borda da Mata,2020-05-09,2.0,0,0,0,0.0,0.0,0.0,0.0
296249,Borda da Mata,2020-05-10,2.0,0,0,0,0.0,0.0,0.0,0.0
296250,Borda da Mata,2020-05-11,2.0,0,0,0,0.0,0.0,0.0,0.0
296251,Borda da Mata,2020-05-12,2.0,0,0,0,0.0,0.0,0.0,0.0
296252,Borda da Mata,2020-05-13,2.0,0,0,0,0.0,0.0,0.0,0.0
296253,Borda da Mata,2020-05-14,2.0,0,0,0,0.0,0.0,0.0,0.0
296254,Borda da Mata,2020-05-15,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
296255,Borda da Mata,2020-05-16,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296256,Borda da Mata,2020-05-17,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296257,Borda da Mata,2020-05-18,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296258,Borda da Mata,2020-05-19,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296259,Borda da Mata,2020-05-20,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296260,Borda da Mata,2020-05-21,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296261,Borda da Mata,2020-05-22,3.0,0,0,0,0.0,0.0,0.0,0.0
296262,Borda da Mata,2020-05-23,3.0,0,0,0,0.0,0.0,0.0,0.0
296263,Borda da Mata,2020-05-24,3.0,0,0,0,0.0,0.0,0.0,0.0
296264,Borda da Mata,2020-05-25,3.0,0,0,0,0.0,0.0,0.0,0.0
296265,Borda da Mata,2020-05-26,3.0,0,0,0,0.0,0.0,0.0,0.0
296266,Borda da Mata,2020-05-27,3.0,0,0,0,0.0,0.0,0.0,0.0
296267,Borda da Mata,2020-05-28,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
296268,Borda da Mata,2020-05-29,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296269,Borda da Mata,2020-05-30,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296270,Borda da Mata,2020-05-31,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296271,Borda da Mata,2020-06-01,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296272,Borda da Mata,2020-06-02,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296273,Borda da Mata,2020-06-03,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
296274,Borda da Mata,2020-06-04,4.0,0,0,0,0.0,0.0,0.0,0.0
296275,Borda da Mata,2020-06-05,4.0,0,0,0,0.0,0.0,0.0,0.0
296276,Borda da Mata,2020-06-06,4.0,0,0,0,0.0,0.0,0.0,0.0
296277,Borda da Mata,2020-06-07,4.0,0,0,0,0.0,0.0,0.0,0.0
296278,Borda da Mata,2020-06-08,4.0,0,0,0,0.0,0.0,0.0,0.0
296279,Borda da Mata,2020-06-09,4.0,0,0,0,0.0,0.0,0.0,0.0
296280,Borda da Mata,2020-06-10,4.0,0,0,0,0.0,0.0,0.0,0.0
296281,Borda da Mata,2020-06-11,4.0,0,0,0,0.0,0.0,0.0,0.0
296282,Borda da Mata,2020-06-12,4.0,0,0,0,0.0,0.0,0.0,0.0
296283,Borda da Mata,2020-06-13,4.0,0,0,0,0.0,0.0,0.0,0.0
296284,Borda da Mata,2020-06-14,4.0,0,0,0,0.0,0.0,0.0,0.0
296285,Borda da Mata,2020-06-15,4.0,0,0,0,0.0,0.0,0.0,0.0
296286,Borda da Mata,2020-06-16,4.0,0,0,0,0.0,0.0,0.0,0.0
296287,Borda da Mata,2020-06-17,4.0,0,0,0,0.0,0.0,0.0,0.0
296288,Borda da Mata,2020-06-18,4.0,0,0,0,0.0,0.0,0.0,0.0
296289,Borda da Mata,2020-06-19,4.0,0,0,0,0.0,0.0,0.0,0.0
296290,Borda da Mata,2020-06-20,4.0,0,0,0,0.0,0.0,0.0,0.0
296291,Borda da Mata,2020-06-21,4.0,0,0,0,0.0,0.0,0.0,0.0
296292,Borda da Mata,2020-06-22,6.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
296293,Borda da Mata,2020-06-23,7.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
296294,Borda da Mata,2020-06-24,8.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
296295,Borda da Mata,2020-06-25,10.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
296296,Borda da Mata,2020-06-26,10.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
296297,Borda da Mata,2020-06-27,10.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
296298,Borda da Mata,2020-06-28,10.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
296299,Borda da Mata,2020-06-29,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
296300,Borda da Mata,2020-06-30,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
296301,Borda da Mata,2020-07-01,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296302,Borda da Mata,2020-07-02,10.0,0,0,0,0.0,0.0,0.0,0.0
296303,Borda da Mata,2020-07-03,12.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
296304,Borda da Mata,2020-07-04,12.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296305,Borda da Mata,2020-07-05,12.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296306,Borda da Mata,2020-07-06,12.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296307,Borda da Mata,2020-07-07,13.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
296308,Borda da Mata,2020-07-08,16.0,3,0,0,0.8571428571428571,0.0,6.0,0.0
296309,Borda da Mata,2020-07-09,16.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
296310,Borda da Mata,2020-07-10,16.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
296311,Borda da Mata,2020-07-11,17.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
296312,Borda da Mata,2020-07-12,17.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
296313,Borda da Mata,2020-07-13,18.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
296314,Borda da Mata,2020-07-14,19.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
296315,Borda da Mata,2020-07-15,22.0,3,0,0,0.8571428571428571,0.0,6.0,0.0
296316,Borda da Mata,2020-07-16,22.0,0,2,2,0.8571428571428571,0.2857142857142857,6.0,2.0
296317,Borda da Mata,2020-07-17,24.0,2,2,0,1.1428571428571428,0.2857142857142857,8.0,2.0
296318,Borda da Mata,2020-07-18,24.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
296319,Borda da Mata,2020-07-19,28.0,4,2,0,1.5714285714285714,0.2857142857142857,11.0,2.0
296320,Borda da Mata,2020-07-20,28.0,0,2,0,1.4285714285714286,0.2857142857142857,10.0,2.0
296321,Borda da Mata,2020-07-21,37.0,9,3,1,2.5714285714285716,0.42857142857142855,18.0,3.0
296322,Borda da Mata,2020-07-22,49.0,12,3,0,3.857142857142857,0.42857142857142855,27.0,3.0
296323,Borda da Mata,2020-07-23,49.0,0,3,0,3.857142857142857,0.14285714285714285,27.0,1.0
296324,Borda da Mata,2020-07-24,58.0,9,3,0,4.857142857142857,0.14285714285714285,34.0,1.0
296325,Borda da Mata,2020-07-25,61.0,3,4,1,5.285714285714286,0.2857142857142857,37.0,2.0
296326,Borda da Mata,2020-07-26,71.0,10,4,0,6.142857142857143,0.2857142857142857,43.0,2.0
296327,Borda da Mata,2020-07-27,71.0,0,4,0,6.142857142857143,0.2857142857142857,43.0,2.0
296328,Borda da Mata,2020-07-28,72.0,1,5,1,5.0,0.2857142857142857,35.0,2.0
296329,Borda da Mata,2020-07-29,83.0,11,6,1,4.857142857142857,0.42857142857142855,34.0,3.0
296330,Borda da Mata,2020-07-30,85.0,2,8,2,5.142857142857143,0.7142857142857143,36.0,5.0
296331,Borda da Mata,2020-07-31,88.0,3,8,0,4.285714285714286,0.7142857142857143,30.0,5.0
296332,Borda da Mata,2020-08-01,90.0,2,8,0,4.142857142857143,0.5714285714285714,29.0,4.0
296333,Borda da Mata,2020-08-02,92.0,2,9,1,3.0,0.7142857142857143,21.0,5.0
