index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
279180,Botuverá,2020-03-27,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
279181,Botuverá,2020-03-28,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
279182,Botuverá,2020-03-29,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279183,Botuverá,2020-03-30,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279184,Botuverá,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279185,Botuverá,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279186,Botuverá,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
279187,Botuverá,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
279188,Botuverá,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
279189,Botuverá,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
279190,Botuverá,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
279191,Botuverá,2020-04-07,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
279192,Botuverá,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
279193,Botuverá,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
279194,Botuverá,2020-04-10,3.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
279195,Botuverá,2020-04-11,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279196,Botuverá,2020-04-12,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
279197,Botuverá,2020-04-13,2.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
279198,Botuverá,2020-04-14,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
279199,Botuverá,2020-04-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
279200,Botuverá,2020-04-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
279201,Botuverá,2020-04-17,2.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
