index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
285984,Braga,2020-03-27,0.0,0,0,0,1.0,0.0,7.0,0.0
285985,Braga,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
285986,Braga,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
285987,Braga,2020-03-30,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
285988,Braga,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
285989,Braga,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
285990,Braga,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
285991,Braga,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
285992,Braga,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
285993,Braga,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
285994,Braga,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
285995,Braga,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
285996,Braga,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
285997,Braga,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
285998,Braga,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
285999,Braga,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
286000,Braga,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
286001,Braga,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
286002,Braga,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
286003,Braga,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
286004,Braga,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
286005,Braga,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
286006,Braga,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
286007,Braga,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
286008,Braga,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
286009,Braga,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
286010,Braga,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
286011,Braga,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
286012,Braga,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
286013,Braga,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
286014,Braga,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
286015,Braga,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
286016,Braga,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
286017,Braga,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
286018,Braga,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
286019,Braga,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
286020,Braga,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
286021,Braga,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
286022,Braga,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
286023,Braga,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
286024,Braga,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
286025,Braga,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
286026,Braga,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
286027,Braga,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
286028,Braga,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
286029,Braga,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
286030,Braga,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
286031,Braga,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
286032,Braga,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
286033,Braga,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
286034,Braga,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
286035,Braga,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
286036,Braga,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
286037,Braga,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
286038,Braga,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
286039,Braga,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
286040,Braga,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
