index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
296144,Bragança,2020-03-27,0.0,0,0,0,3.4285714285714284,0.0,24.0,0.0
296145,Bragança,2020-03-28,0.0,0,0,0,3.0,0.0,21.0,0.0
296146,Bragança,2020-03-29,0.0,0,0,0,2.0,0.0,14.0,0.0
296147,Bragança,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
296148,Bragança,2020-03-31,0.0,0,0,0,1.0,0.0,7.0,0.0
296149,Bragança,2020-04-01,0.0,0,0,0,1.0,0.0,7.0,0.0
296150,Bragança,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
296151,Bragança,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
296152,Bragança,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
296153,Bragança,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
296154,Bragança,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
296155,Bragança,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
296156,Bragança,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
296157,Bragança,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
296158,Bragança,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
296159,Bragança,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
296160,Bragança,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
296161,Bragança,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
296162,Bragança,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
296163,Bragança,2020-04-15,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
296164,Bragança,2020-04-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
296165,Bragança,2020-04-17,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
296166,Bragança,2020-04-18,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
296167,Bragança,2020-04-19,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
296168,Bragança,2020-04-20,5.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
296169,Bragança,2020-04-21,6.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
296170,Bragança,2020-04-22,7.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
296171,Bragança,2020-04-23,7.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
296172,Bragança,2020-04-24,8.0,1,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
296173,Bragança,2020-04-25,13.0,5,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
296174,Bragança,2020-04-26,20.0,7,2,1,2.4285714285714284,0.2857142857142857,17.0,2.0
296175,Bragança,2020-04-27,19.0,-1,2,0,2.0,0.2857142857142857,14.0,2.0
296176,Bragança,2020-04-28,23.0,4,4,2,2.4285714285714284,0.5714285714285714,17.0,4.0
296177,Bragança,2020-04-29,27.0,4,4,0,2.857142857142857,0.5714285714285714,20.0,4.0
296178,Bragança,2020-04-30,35.0,8,4,0,4.0,0.5714285714285714,28.0,4.0
296179,Bragança,2020-05-01,40.0,5,4,0,4.571428571428571,0.42857142857142855,32.0,3.0
296180,Bragança,2020-05-02,45.0,5,5,1,4.571428571428571,0.5714285714285714,32.0,4.0
296181,Bragança,2020-05-03,45.0,0,5,0,3.5714285714285716,0.42857142857142855,25.0,3.0
296182,Bragança,2020-05-04,49.0,4,5,0,4.285714285714286,0.42857142857142855,30.0,3.0
296183,Bragança,2020-05-05,63.0,14,7,2,5.714285714285714,0.42857142857142855,40.0,3.0
296184,Bragança,2020-05-06,63.0,0,7,0,5.142857142857143,0.42857142857142855,36.0,3.0
296185,Bragança,2020-05-07,88.0,25,8,1,7.571428571428571,0.5714285714285714,53.0,4.0
296186,Bragança,2020-05-08,94.0,6,9,1,7.714285714285714,0.7142857142857143,54.0,5.0
296187,Bragança,2020-05-09,108.0,14,9,0,9.0,0.5714285714285714,63.0,4.0
296188,Bragança,2020-05-10,109.0,1,10,1,9.142857142857142,0.7142857142857143,64.0,5.0
296189,Bragança,2020-05-11,122.0,13,10,0,10.428571428571429,0.7142857142857143,73.0,5.0
296190,Bragança,2020-05-12,146.0,24,12,2,11.857142857142858,0.7142857142857143,83.0,5.0
296191,Bragança,2020-05-13,170.0,24,12,0,15.285714285714286,0.7142857142857143,107.0,5.0
296192,Bragança,2020-05-14,187.0,17,15,3,14.142857142857142,1.0,99.0,7.0
296193,Bragança,2020-05-15,192.0,5,15,0,14.0,0.8571428571428571,98.0,6.0
296194,Bragança,2020-05-16,197.0,5,16,1,12.714285714285714,1.0,89.0,7.0
296195,Bragança,2020-05-17,198.0,1,16,0,12.714285714285714,0.8571428571428571,89.0,6.0
296196,Bragança,2020-05-18,222.0,24,16,0,14.285714285714286,0.8571428571428571,100.0,6.0
296197,Bragança,2020-05-19,224.0,2,16,0,11.142857142857142,0.5714285714285714,78.0,4.0
296198,Bragança,2020-05-20,253.0,29,16,0,11.857142857142858,0.5714285714285714,83.0,4.0
296199,Bragança,2020-05-21,295.0,42,22,6,15.428571428571429,1.0,108.0,7.0
296200,Bragança,2020-05-22,336.0,41,25,3,20.571428571428573,1.4285714285714286,144.0,10.0
296201,Bragança,2020-05-23,339.0,3,26,1,20.285714285714285,1.4285714285714286,142.0,10.0
296202,Bragança,2020-05-24,344.0,5,29,3,20.857142857142858,1.8571428571428572,146.0,13.0
296203,Bragança,2020-05-25,411.0,67,29,0,27.0,1.8571428571428572,189.0,13.0
296204,Bragança,2020-05-26,466.0,55,29,0,34.57142857142857,1.8571428571428572,242.0,13.0
296205,Bragança,2020-05-27,576.0,110,30,1,46.142857142857146,2.0,323.0,14.0
296206,Bragança,2020-05-28,596.0,20,30,0,43.0,1.1428571428571428,301.0,8.0
296207,Bragança,2020-05-29,681.0,85,30,0,49.285714285714285,0.7142857142857143,345.0,5.0
296208,Bragança,2020-05-30,696.0,15,32,2,51.0,0.8571428571428571,357.0,6.0
296209,Bragança,2020-05-31,698.0,2,32,0,50.57142857142857,0.42857142857142855,354.0,3.0
296210,Bragança,2020-06-01,702.0,4,32,0,41.57142857142857,0.42857142857142855,291.0,3.0
296211,Bragança,2020-06-02,771.0,69,32,0,43.57142857142857,0.42857142857142855,305.0,3.0
296212,Bragança,2020-06-03,844.0,73,32,0,38.285714285714285,0.2857142857142857,268.0,2.0
296213,Bragança,2020-06-04,901.0,57,39,7,43.57142857142857,1.2857142857142858,305.0,9.0
296214,Bragança,2020-06-05,962.0,61,44,5,40.142857142857146,2.0,281.0,14.0
296215,Bragança,2020-06-06,1031.0,69,43,-1,47.857142857142854,1.5714285714285714,335.0,11.0
296216,Bragança,2020-06-07,1049.0,18,43,0,50.142857142857146,1.5714285714285714,351.0,11.0
296217,Bragança,2020-06-08,1177.0,128,43,0,67.85714285714286,1.5714285714285714,475.0,11.0
296218,Bragança,2020-06-09,1189.0,12,44,1,59.714285714285715,1.7142857142857142,418.0,12.0
296219,Bragança,2020-06-10,1226.0,37,49,5,54.57142857142857,2.4285714285714284,382.0,17.0
296220,Bragança,2020-06-11,1229.0,3,58,9,46.857142857142854,2.7142857142857144,328.0,19.0
296221,Bragança,2020-06-12,1233.0,4,58,0,38.714285714285715,2.0,271.0,14.0
296222,Bragança,2020-06-13,1271.0,38,58,0,34.285714285714285,2.142857142857143,240.0,15.0
296223,Bragança,2020-06-14,1272.0,1,59,1,31.857142857142858,2.2857142857142856,223.0,16.0
