index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
295120,Braço do Trombudo,2020-03-27,0.0,0,0,0,20.714285714285715,0.14285714285714285,145.0,1.0
295121,Braço do Trombudo,2020-03-28,0.0,0,0,0,17.285714285714285,0.14285714285714285,121.0,1.0
295122,Braço do Trombudo,2020-03-29,0.0,0,0,0,17.285714285714285,0.14285714285714285,121.0,1.0
295123,Braço do Trombudo,2020-03-30,0.0,0,0,0,15.571428571428571,0.14285714285714285,109.0,1.0
295124,Braço do Trombudo,2020-03-31,0.0,0,0,0,7.142857142857143,0.0,50.0,0.0
295125,Braço do Trombudo,2020-04-01,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
295126,Braço do Trombudo,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
295127,Braço do Trombudo,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
295128,Braço do Trombudo,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
295129,Braço do Trombudo,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
295130,Braço do Trombudo,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
295131,Braço do Trombudo,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
295132,Braço do Trombudo,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
295133,Braço do Trombudo,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
295134,Braço do Trombudo,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
295135,Braço do Trombudo,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
295136,Braço do Trombudo,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
295137,Braço do Trombudo,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
295138,Braço do Trombudo,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
295139,Braço do Trombudo,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
295140,Braço do Trombudo,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
295141,Braço do Trombudo,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
295142,Braço do Trombudo,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
295143,Braço do Trombudo,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
