index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
306900,Braúnas,2020-03-27,0.0,0,0,0,7.571428571428571,0.0,53.0,0.0
306901,Braúnas,2020-03-28,0.0,0,0,0,7.571428571428571,0.0,53.0,0.0
306902,Braúnas,2020-03-29,0.0,0,0,0,5.571428571428571,0.0,39.0,0.0
306903,Braúnas,2020-03-30,0.0,0,0,0,4.142857142857143,0.0,29.0,0.0
306904,Braúnas,2020-03-31,0.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
306905,Braúnas,2020-04-01,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
306906,Braúnas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
306907,Braúnas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
306908,Braúnas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
306909,Braúnas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
306910,Braúnas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
306911,Braúnas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
306912,Braúnas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
306913,Braúnas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
306914,Braúnas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
306915,Braúnas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
306916,Braúnas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
306917,Braúnas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
306918,Braúnas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
306919,Braúnas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
306920,Braúnas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
306921,Braúnas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
306922,Braúnas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
306923,Braúnas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
306924,Braúnas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
306925,Braúnas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
306926,Braúnas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
306927,Braúnas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
