index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
286488,Brejo de Areia,2020-03-27,0,0,0,0,6.0,0.0,42.0,0.0
286489,Brejo de Areia,2020-03-28,0,0,0,0,5.714285714285714,0.0,40.0,0.0
286490,Brejo de Areia,2020-03-29,0,0,0,0,6.142857142857143,0.0,43.0,0.0
286491,Brejo de Areia,2020-03-30,0,0,0,0,5.428571428571429,0.0,38.0,0.0
286492,Brejo de Areia,2020-03-31,0,0,0,0,4.428571428571429,0.0,31.0,0.0
286493,Brejo de Areia,2020-04-01,0,0,0,0,0.8571428571428571,0.0,6.0,0.0
286494,Brejo de Areia,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
286495,Brejo de Areia,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
286496,Brejo de Areia,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
286497,Brejo de Areia,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
286498,Brejo de Areia,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
286499,Brejo de Areia,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
286500,Brejo de Areia,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
286501,Brejo de Areia,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
286502,Brejo de Areia,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
286503,Brejo de Areia,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
286504,Brejo de Areia,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
286505,Brejo de Areia,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
286506,Brejo de Areia,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
286507,Brejo de Areia,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
286508,Brejo de Areia,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
286509,Brejo de Areia,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
286510,Brejo de Areia,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
286511,Brejo de Areia,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
286512,Brejo de Areia,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
286513,Brejo de Areia,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
286514,Brejo de Areia,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
286515,Brejo de Areia,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
286516,Brejo de Areia,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
286517,Brejo de Areia,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
286518,Brejo de Areia,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
286519,Brejo de Areia,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
286520,Brejo de Areia,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
286521,Brejo de Areia,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
286522,Brejo de Areia,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
286523,Brejo de Areia,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
286524,Brejo de Areia,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
286525,Brejo de Areia,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
286526,Brejo de Areia,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
286527,Brejo de Areia,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
286528,Brejo de Areia,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
286529,Brejo de Areia,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
286530,Brejo de Areia,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
286531,Brejo de Areia,2020-05-09,0,0,0,0,0.0,0.0,0.0,0.0
286532,Brejo de Areia,2020-05-10,0,0,0,0,0.0,0.0,0.0,0.0
286533,Brejo de Areia,2020-05-11,0,0,0,0,0.0,0.0,0.0,0.0
286534,Brejo de Areia,2020-05-12,0,0,0,0,0.0,0.0,0.0,0.0
286535,Brejo de Areia,2020-05-13,0,0,0,0,0.0,0.0,0.0,0.0
286536,Brejo de Areia,2020-05-14,0,0,0,0,0.0,0.0,0.0,0.0
286537,Brejo de Areia,2020-05-15,0,0,0,0,0.0,0.0,0.0,0.0
286538,Brejo de Areia,2020-05-16,0,0,0,0,0.0,0.0,0.0,0.0
286539,Brejo de Areia,2020-05-17,0,0,0,0,0.0,0.0,0.0,0.0
286540,Brejo de Areia,2020-05-18,0,0,0,0,0.0,0.0,0.0,0.0
286541,Brejo de Areia,2020-05-19,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
286542,Brejo de Areia,2020-05-20,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
286543,Brejo de Areia,2020-05-21,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
286544,Brejo de Areia,2020-05-22,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
286545,Brejo de Areia,2020-05-23,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
286546,Brejo de Areia,2020-05-24,3,2,0,0,0.42857142857142855,0.0,3.0,0.0
286547,Brejo de Areia,2020-05-25,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
286548,Brejo de Areia,2020-05-26,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
286549,Brejo de Areia,2020-05-27,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
286550,Brejo de Areia,2020-05-28,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
286551,Brejo de Areia,2020-05-29,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
286552,Brejo de Areia,2020-05-30,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
286553,Brejo de Areia,2020-05-31,8,5,0,0,0.7142857142857143,0.0,5.0,0.0
286554,Brejo de Areia,2020-06-01,8,0,0,0,0.7142857142857143,0.0,5.0,0.0
286555,Brejo de Areia,2020-06-02,11,3,0,0,1.1428571428571428,0.0,8.0,0.0
286556,Brejo de Areia,2020-06-03,14,3,0,0,1.5714285714285714,0.0,11.0,0.0
286557,Brejo de Areia,2020-06-04,19,5,0,0,2.2857142857142856,0.0,16.0,0.0
286558,Brejo de Areia,2020-06-05,19,0,0,0,2.2857142857142856,0.0,16.0,0.0
286559,Brejo de Areia,2020-06-06,19,0,0,0,2.2857142857142856,0.0,16.0,0.0
286560,Brejo de Areia,2020-06-07,19,0,0,0,1.5714285714285714,0.0,11.0,0.0
286561,Brejo de Areia,2020-06-08,19,0,0,0,1.5714285714285714,0.0,11.0,0.0
286562,Brejo de Areia,2020-06-09,19,0,0,0,1.1428571428571428,0.0,8.0,0.0
286563,Brejo de Areia,2020-06-10,19,0,0,0,0.7142857142857143,0.0,5.0,0.0
286564,Brejo de Areia,2020-06-11,19,0,0,0,0.0,0.0,0.0,0.0
286565,Brejo de Areia,2020-06-12,19,0,0,0,0.0,0.0,0.0,0.0
286566,Brejo de Areia,2020-06-13,70,51,0,0,7.285714285714286,0.0,51.0,0.0
286567,Brejo de Areia,2020-06-14,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286568,Brejo de Areia,2020-06-15,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286569,Brejo de Areia,2020-06-16,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286570,Brejo de Areia,2020-06-17,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286571,Brejo de Areia,2020-06-18,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286572,Brejo de Areia,2020-06-19,70,0,0,0,7.285714285714286,0.0,51.0,0.0
286573,Brejo de Areia,2020-06-20,70,0,0,0,0.0,0.0,0.0,0.0
286574,Brejo de Areia,2020-06-21,70,0,0,0,0.0,0.0,0.0,0.0
286575,Brejo de Areia,2020-06-22,70,0,0,0,0.0,0.0,0.0,0.0
286576,Brejo de Areia,2020-06-23,70,0,0,0,0.0,0.0,0.0,0.0
286577,Brejo de Areia,2020-06-24,70,0,0,0,0.0,0.0,0.0,0.0
286578,Brejo de Areia,2020-06-25,71,1,0,0,0.14285714285714285,0.0,1.0,0.0
286579,Brejo de Areia,2020-06-26,73,2,0,0,0.42857142857142855,0.0,3.0,0.0
286580,Brejo de Areia,2020-06-27,73,0,0,0,0.42857142857142855,0.0,3.0,0.0
286581,Brejo de Areia,2020-06-28,76,3,0,0,0.8571428571428571,0.0,6.0,0.0
286582,Brejo de Areia,2020-06-29,76,0,0,0,0.8571428571428571,0.0,6.0,0.0
286583,Brejo de Areia,2020-06-30,76,0,0,0,0.8571428571428571,0.0,6.0,0.0
286584,Brejo de Areia,2020-07-01,82,6,0,0,1.7142857142857142,0.0,12.0,0.0
286585,Brejo de Areia,2020-07-02,83,1,0,0,1.7142857142857142,0.0,12.0,0.0
286586,Brejo de Areia,2020-07-03,83,0,0,0,1.4285714285714286,0.0,10.0,0.0
286587,Brejo de Areia,2020-07-04,84,1,0,0,1.5714285714285714,0.0,11.0,0.0
286588,Brejo de Areia,2020-07-05,104,20,0,0,4.0,0.0,28.0,0.0
286589,Brejo de Areia,2020-07-06,104,0,0,0,4.0,0.0,28.0,0.0
286590,Brejo de Areia,2020-07-07,104,0,0,0,4.0,0.0,28.0,0.0
286591,Brejo de Areia,2020-07-08,104,0,0,0,3.142857142857143,0.0,22.0,0.0
286592,Brejo de Areia,2020-07-09,104,0,0,0,3.0,0.0,21.0,0.0
286593,Brejo de Areia,2020-07-10,104,0,0,0,3.0,0.0,21.0,0.0
286594,Brejo de Areia,2020-07-11,105,1,0,0,3.0,0.0,21.0,0.0
286595,Brejo de Areia,2020-07-12,105,0,0,0,0.14285714285714285,0.0,1.0,0.0
286596,Brejo de Areia,2020-07-13,106,1,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
286597,Brejo de Areia,2020-07-14,106,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
286598,Brejo de Areia,2020-07-15,106,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
286599,Brejo de Areia,2020-07-16,106,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
286600,Brejo de Areia,2020-07-17,111,5,1,0,1.0,0.14285714285714285,7.0,1.0
286601,Brejo de Areia,2020-07-18,112,1,1,0,1.0,0.14285714285714285,7.0,1.0
286602,Brejo de Areia,2020-07-19,111,-1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
286603,Brejo de Areia,2020-07-20,111,0,1,0,0.7142857142857143,0.0,5.0,0.0
286604,Brejo de Areia,2020-07-21,111,0,1,0,0.7142857142857143,0.0,5.0,0.0
286605,Brejo de Areia,2020-07-22,111,0,1,0,0.7142857142857143,0.0,5.0,0.0
286606,Brejo de Areia,2020-07-23,111,0,1,0,0.7142857142857143,0.0,5.0,0.0
286607,Brejo de Areia,2020-07-24,111,0,1,0,0.0,0.0,0.0,0.0
286608,Brejo de Areia,2020-07-25,123,12,1,0,1.5714285714285714,0.0,11.0,0.0
286609,Brejo de Areia,2020-07-26,123,0,1,0,1.7142857142857142,0.0,12.0,0.0
286610,Brejo de Areia,2020-07-27,123,0,1,0,1.7142857142857142,0.0,12.0,0.0
286611,Brejo de Areia,2020-07-28,139,16,1,0,4.0,0.0,28.0,0.0
286612,Brejo de Areia,2020-07-29,140,1,1,0,4.142857142857143,0.0,29.0,0.0
286613,Brejo de Areia,2020-07-30,140,0,1,0,4.142857142857143,0.0,29.0,0.0
286614,Brejo de Areia,2020-07-31,140,0,1,0,4.142857142857143,0.0,29.0,0.0
286615,Brejo de Areia,2020-08-01,164,24,1,0,5.857142857142857,0.0,41.0,0.0
286616,Brejo de Areia,2020-08-02,164,0,1,0,5.857142857142857,0.0,41.0,0.0
286617,Brejo de Areia,2020-08-03,164,0,1,0,5.857142857142857,0.0,41.0,0.0
286618,Brejo de Areia,2020-08-04,164,0,1,0,3.5714285714285716,0.0,25.0,0.0
286619,Brejo de Areia,2020-08-05,164,0,1,0,3.4285714285714284,0.0,24.0,0.0
286620,Brejo de Areia,2020-08-06,164,0,1,0,3.4285714285714284,0.0,24.0,0.0
286621,Brejo de Areia,2020-08-07,164,0,1,0,3.4285714285714284,0.0,24.0,0.0
286622,Brejo de Areia,2020-08-08,164,0,1,0,0.0,0.0,0.0,0.0
286623,Brejo de Areia,2020-08-09,164,0,1,0,0.0,0.0,0.0,0.0
286624,Brejo de Areia,2020-08-10,164,0,1,0,0.0,0.0,0.0,0.0
286625,Brejo de Areia,2020-08-11,164,0,1,0,0.0,0.0,0.0,0.0
286626,Brejo de Areia,2020-08-12,164,0,1,0,0.0,0.0,0.0,0.0
286627,Brejo de Areia,2020-08-13,164,0,1,0,0.0,0.0,0.0,0.0
286628,Brejo de Areia,2020-08-14,164,0,1,0,0.0,0.0,0.0,0.0
286629,Brejo de Areia,2020-08-15,164,0,1,0,0.0,0.0,0.0,0.0
286630,Brejo de Areia,2020-08-16,164,0,1,0,0.0,0.0,0.0,0.0
286631,Brejo de Areia,2020-08-17,179,15,1,0,2.142857142857143,0.0,15.0,0.0
286632,Brejo de Areia,2020-08-18,179,0,1,0,2.142857142857143,0.0,15.0,0.0
286633,Brejo de Areia,2020-08-19,189,10,1,0,3.5714285714285716,0.0,25.0,0.0
286634,Brejo de Areia,2020-08-20,196,7,1,0,4.571428571428571,0.0,32.0,0.0
286635,Brejo de Areia,2020-08-21,196,0,1,0,4.571428571428571,0.0,32.0,0.0
286636,Brejo de Areia,2020-08-22,196,0,1,0,4.571428571428571,0.0,32.0,0.0
286637,Brejo de Areia,2020-08-23,196,0,1,0,4.571428571428571,0.0,32.0,0.0
286638,Brejo de Areia,2020-08-24,196,0,1,0,2.4285714285714284,0.0,17.0,0.0
286639,Brejo de Areia,2020-08-25,196,0,1,0,2.4285714285714284,0.0,17.0,0.0
286640,Brejo de Areia,2020-08-26,196,0,1,0,1.0,0.0,7.0,0.0
286641,Brejo de Areia,2020-08-27,196,0,1,0,0.0,0.0,0.0,0.0
286642,Brejo de Areia,2020-08-28,196,0,1,0,0.0,0.0,0.0,0.0
286643,Brejo de Areia,2020-08-29,196,0,1,0,0.0,0.0,0.0,0.0
286644,Brejo de Areia,2020-08-30,197,1,1,0,0.14285714285714285,0.0,1.0,0.0
286645,Brejo de Areia,2020-08-31,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286646,Brejo de Areia,2020-09-01,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286647,Brejo de Areia,2020-09-02,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286648,Brejo de Areia,2020-09-03,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286649,Brejo de Areia,2020-09-04,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286650,Brejo de Areia,2020-09-05,197,0,1,0,0.14285714285714285,0.0,1.0,0.0
286651,Brejo de Areia,2020-09-06,197,0,1,0,0.0,0.0,0.0,0.0
286652,Brejo de Areia,2020-09-07,197,0,1,0,0.0,0.0,0.0,0.0
286653,Brejo de Areia,2020-09-08,197,0,1,0,0.0,0.0,0.0,0.0
286654,Brejo de Areia,2020-09-09,197,0,1,0,0.0,0.0,0.0,0.0
286655,Brejo de Areia,2020-09-10,201,4,1,0,0.5714285714285714,0.0,4.0,0.0
286656,Brejo de Areia,2020-09-11,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286657,Brejo de Areia,2020-09-12,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286658,Brejo de Areia,2020-09-13,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286659,Brejo de Areia,2020-09-14,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286660,Brejo de Areia,2020-09-15,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286661,Brejo de Areia,2020-09-16,201,0,1,0,0.5714285714285714,0.0,4.0,0.0
286662,Brejo de Areia,2020-09-17,201,0,1,0,0.0,0.0,0.0,0.0
286663,Brejo de Areia,2020-09-18,201,0,1,0,0.0,0.0,0.0,0.0
286664,Brejo de Areia,2020-09-19,201,0,1,0,0.0,0.0,0.0,0.0
286665,Brejo de Areia,2020-09-20,204,3,2,1,0.42857142857142855,0.14285714285714285,3.0,1.0
286666,Brejo de Areia,2020-09-21,204,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
286667,Brejo de Areia,2020-09-22,204,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
286668,Brejo de Areia,2020-09-23,204,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
286669,Brejo de Areia,2020-09-24,205,1,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
286670,Brejo de Areia,2020-09-25,205,0,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
286671,Brejo de Areia,2020-09-26,205,0,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
286672,Brejo de Areia,2020-09-27,205,0,2,0,0.14285714285714285,0.0,1.0,0.0
286673,Brejo de Areia,2020-09-28,205,0,2,0,0.14285714285714285,0.0,1.0,0.0
286674,Brejo de Areia,2020-09-29,205,0,2,0,0.14285714285714285,0.0,1.0,0.0
286675,Brejo de Areia,2020-09-30,205,0,2,0,0.14285714285714285,0.0,1.0,0.0
286676,Brejo de Areia,2020-10-01,205,0,2,0,0.0,0.0,0.0,0.0
286677,Brejo de Areia,2020-10-02,205,0,2,0,0.0,0.0,0.0,0.0
286678,Brejo de Areia,2020-10-03,205,0,2,0,0.0,0.0,0.0,0.0
286679,Brejo de Areia,2020-10-04,205,0,2,0,0.0,0.0,0.0,0.0
286680,Brejo de Areia,2020-10-05,205,0,2,0,0.0,0.0,0.0,0.0
286681,Brejo de Areia,2020-10-06,205,0,2,0,0.0,0.0,0.0,0.0
286682,Brejo de Areia,2020-10-07,205,0,2,0,0.0,0.0,0.0,0.0
286683,Brejo de Areia,2020-10-08,205,0,2,0,0.0,0.0,0.0,0.0
286684,Brejo de Areia,2020-10-09,205,0,2,0,0.0,0.0,0.0,0.0
286685,Brejo de Areia,2020-10-10,205,0,2,0,0.0,0.0,0.0,0.0
286686,Brejo de Areia,2020-10-11,205,0,2,0,0.0,0.0,0.0,0.0
286687,Brejo de Areia,2020-10-12,205,0,2,0,0.0,0.0,0.0,0.0
286688,Brejo de Areia,2020-10-13,205,0,2,0,0.0,0.0,0.0,0.0
286689,Brejo de Areia,2020-10-14,205,0,2,0,0.0,0.0,0.0,0.0
286690,Brejo de Areia,2020-10-15,205,0,2,0,0.0,0.0,0.0,0.0
286691,Brejo de Areia,2020-10-16,205,0,2,0,0.0,0.0,0.0,0.0
286692,Brejo de Areia,2020-10-17,205,0,2,0,0.0,0.0,0.0,0.0
286693,Brejo de Areia,2020-10-18,205,0,2,0,0.0,0.0,0.0,0.0
286694,Brejo de Areia,2020-10-19,205,0,2,0,0.0,0.0,0.0,0.0
286695,Brejo de Areia,2020-10-20,205,0,2,0,0.0,0.0,0.0,0.0
286696,Brejo de Areia,2020-10-21,205,0,2,0,0.0,0.0,0.0,0.0
286697,Brejo de Areia,2020-10-22,205,0,2,0,0.0,0.0,0.0,0.0
286698,Brejo de Areia,2020-10-23,205,0,2,0,0.0,0.0,0.0,0.0
286699,Brejo de Areia,2020-10-24,205,0,2,0,0.0,0.0,0.0,0.0
286700,Brejo de Areia,2020-10-25,205,0,2,0,0.0,0.0,0.0,0.0
286701,Brejo de Areia,2020-10-26,205,0,2,0,0.0,0.0,0.0,0.0
286702,Brejo de Areia,2020-10-27,205,0,2,0,0.0,0.0,0.0,0.0
286703,Brejo de Areia,2020-10-28,205,0,2,0,0.0,0.0,0.0,0.0
286704,Brejo de Areia,2020-10-29,205,0,2,0,0.0,0.0,0.0,0.0
286705,Brejo de Areia,2020-10-30,205,0,2,0,0.0,0.0,0.0,0.0
286706,Brejo de Areia,2020-10-31,205,0,2,0,0.0,0.0,0.0,0.0
286707,Brejo de Areia,2020-11-01,205,0,2,0,0.0,0.0,0.0,0.0
286708,Brejo de Areia,2020-11-02,205,0,2,0,0.0,0.0,0.0,0.0
286709,Brejo de Areia,2020-11-03,205,0,2,0,0.0,0.0,0.0,0.0
286710,Brejo de Areia,2020-11-04,205,0,2,0,0.0,0.0,0.0,0.0
286711,Brejo de Areia,2020-11-05,205,0,2,0,0.0,0.0,0.0,0.0
286712,Brejo de Areia,2020-11-06,205,0,2,0,0.0,0.0,0.0,0.0
286713,Brejo de Areia,2020-11-07,205,0,2,0,0.0,0.0,0.0,0.0
286714,Brejo de Areia,2020-11-08,205,0,2,0,0.0,0.0,0.0,0.0
286715,Brejo de Areia,2020-11-09,205,0,2,0,0.0,0.0,0.0,0.0
