index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
321936,Brumadinho,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
321937,Brumadinho,2020-03-28,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
321938,Brumadinho,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
321939,Brumadinho,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
321940,Brumadinho,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
321941,Brumadinho,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
321942,Brumadinho,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
321943,Brumadinho,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
321944,Brumadinho,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
321945,Brumadinho,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
321946,Brumadinho,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
321947,Brumadinho,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
321948,Brumadinho,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
321949,Brumadinho,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
321950,Brumadinho,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
321951,Brumadinho,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
321952,Brumadinho,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
321953,Brumadinho,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
321954,Brumadinho,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
321955,Brumadinho,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
321956,Brumadinho,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
321957,Brumadinho,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
321958,Brumadinho,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
321959,Brumadinho,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
321960,Brumadinho,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
321961,Brumadinho,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
321962,Brumadinho,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
