index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
319121,Caapiranga,2020-03-27,0.0,0,0,0,4.571428571428571,0.42857142857142855,32.0,3.0
319122,Caapiranga,2020-03-28,0.0,0,0,0,4.428571428571429,0.2857142857142857,31.0,2.0
319123,Caapiranga,2020-03-29,0.0,0,0,0,4.142857142857143,0.2857142857142857,29.0,2.0
319124,Caapiranga,2020-03-30,0.0,0,0,0,3.857142857142857,0.2857142857142857,27.0,2.0
319125,Caapiranga,2020-03-31,0.0,0,0,0,3.7142857142857144,0.2857142857142857,26.0,2.0
319126,Caapiranga,2020-04-01,0.0,0,0,0,1.5714285714285714,0.14285714285714285,11.0,1.0
319127,Caapiranga,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
319128,Caapiranga,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
319129,Caapiranga,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
319130,Caapiranga,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
319131,Caapiranga,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
319132,Caapiranga,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
319133,Caapiranga,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
319134,Caapiranga,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
319135,Caapiranga,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
319136,Caapiranga,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
319137,Caapiranga,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
319138,Caapiranga,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
319139,Caapiranga,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
319140,Caapiranga,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
319141,Caapiranga,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
319142,Caapiranga,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
319143,Caapiranga,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
319144,Caapiranga,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
319145,Caapiranga,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
319146,Caapiranga,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
319147,Caapiranga,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
319148,Caapiranga,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
319149,Caapiranga,2020-04-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
319150,Caapiranga,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
319151,Caapiranga,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
319152,Caapiranga,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
319153,Caapiranga,2020-04-28,3.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
319154,Caapiranga,2020-04-29,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
319155,Caapiranga,2020-04-30,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
319156,Caapiranga,2020-05-01,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
319157,Caapiranga,2020-05-02,5.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
319158,Caapiranga,2020-05-03,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
319159,Caapiranga,2020-05-04,6.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
319160,Caapiranga,2020-05-05,7.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
319161,Caapiranga,2020-05-06,7.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
319162,Caapiranga,2020-05-07,8.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
319163,Caapiranga,2020-05-08,8.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
319164,Caapiranga,2020-05-09,10.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
319165,Caapiranga,2020-05-10,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
319166,Caapiranga,2020-05-11,11.0,1,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
319167,Caapiranga,2020-05-12,11.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
319168,Caapiranga,2020-05-13,11.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
319169,Caapiranga,2020-05-14,12.0,1,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
319170,Caapiranga,2020-05-15,12.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
319171,Caapiranga,2020-05-16,16.0,4,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
319172,Caapiranga,2020-05-17,17.0,1,1,0,1.0,0.14285714285714285,7.0,1.0
319173,Caapiranga,2020-05-18,24.0,7,1,0,1.8571428571428572,0.0,13.0,0.0
319174,Caapiranga,2020-05-19,43.0,19,1,0,4.571428571428571,0.0,32.0,0.0
319175,Caapiranga,2020-05-20,43.0,0,1,0,4.571428571428571,0.0,32.0,0.0
319176,Caapiranga,2020-05-21,55.0,12,1,0,6.142857142857143,0.0,43.0,0.0
319177,Caapiranga,2020-05-22,57.0,2,1,0,6.428571428571429,0.0,45.0,0.0
319178,Caapiranga,2020-05-23,60.0,3,2,1,6.285714285714286,0.14285714285714285,44.0,1.0
319179,Caapiranga,2020-05-24,122.0,62,4,2,15.0,0.42857142857142855,105.0,3.0
319180,Caapiranga,2020-05-25,62.0,-60,2,-2,5.428571428571429,0.14285714285714285,38.0,1.0
319181,Caapiranga,2020-05-26,71.0,9,2,0,4.0,0.14285714285714285,28.0,1.0
319182,Caapiranga,2020-05-27,75.0,4,2,0,4.571428571428571,0.14285714285714285,32.0,1.0
319183,Caapiranga,2020-05-28,79.0,4,2,0,3.4285714285714284,0.14285714285714285,24.0,1.0
319184,Caapiranga,2020-05-29,81.0,2,2,0,3.4285714285714284,0.14285714285714285,24.0,1.0
319185,Caapiranga,2020-05-30,83.0,2,2,0,3.2857142857142856,0.0,23.0,0.0
319186,Caapiranga,2020-05-31,83.0,0,2,0,-5.571428571428571,-0.2857142857142857,-39.0,-2.0
319187,Caapiranga,2020-06-01,85.0,2,2,0,3.2857142857142856,0.0,23.0,0.0
319188,Caapiranga,2020-06-02,87.0,2,2,0,2.2857142857142856,0.0,16.0,0.0
319189,Caapiranga,2020-06-03,94.0,7,2,0,2.7142857142857144,0.0,19.0,0.0
319190,Caapiranga,2020-06-04,104.0,10,2,0,3.5714285714285716,0.0,25.0,0.0
319191,Caapiranga,2020-06-05,107.0,3,2,0,3.7142857142857144,0.0,26.0,0.0
319192,Caapiranga,2020-06-06,108.0,1,2,0,3.5714285714285716,0.0,25.0,0.0
319193,Caapiranga,2020-06-07,109.0,1,2,0,3.7142857142857144,0.0,26.0,0.0
319194,Caapiranga,2020-06-08,120.0,11,2,0,5.0,0.0,35.0,0.0
