index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
310005,Cabixi,2020-03-27,0,0,0,0,19.714285714285715,0.5714285714285714,138.0,4.0
310006,Cabixi,2020-03-28,0,0,0,0,18.428571428571427,0.5714285714285714,129.0,4.0
310007,Cabixi,2020-03-29,0,0,0,0,13.571428571428571,0.42857142857142855,95.0,3.0
310008,Cabixi,2020-03-30,0,0,0,0,9.285714285714286,0.0,65.0,0.0
310009,Cabixi,2020-03-31,0,0,0,0,5.714285714285714,0.0,40.0,0.0
310010,Cabixi,2020-04-01,0,0,0,0,3.5714285714285716,0.0,25.0,0.0
310011,Cabixi,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
310012,Cabixi,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
310013,Cabixi,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
310014,Cabixi,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
310015,Cabixi,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
310016,Cabixi,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
310017,Cabixi,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
310018,Cabixi,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
310019,Cabixi,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
310020,Cabixi,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
310021,Cabixi,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
310022,Cabixi,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
310023,Cabixi,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
310024,Cabixi,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
310025,Cabixi,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
310026,Cabixi,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
310027,Cabixi,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
310028,Cabixi,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
310029,Cabixi,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
310030,Cabixi,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
310031,Cabixi,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
310032,Cabixi,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
310033,Cabixi,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
310034,Cabixi,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
310035,Cabixi,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
310036,Cabixi,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
310037,Cabixi,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
310038,Cabixi,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
310039,Cabixi,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
310040,Cabixi,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
310041,Cabixi,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
310042,Cabixi,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
310043,Cabixi,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
310044,Cabixi,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
310045,Cabixi,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
310046,Cabixi,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
310047,Cabixi,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
310048,Cabixi,2020-05-09,0,0,0,0,0.0,0.0,0.0,0.0
310049,Cabixi,2020-05-10,0,0,0,0,0.0,0.0,0.0,0.0
310050,Cabixi,2020-05-11,0,0,0,0,0.0,0.0,0.0,0.0
310051,Cabixi,2020-05-12,0,0,0,0,0.0,0.0,0.0,0.0
310052,Cabixi,2020-05-13,0,0,0,0,0.0,0.0,0.0,0.0
310053,Cabixi,2020-05-14,0,0,0,0,0.0,0.0,0.0,0.0
310054,Cabixi,2020-05-15,0,0,0,0,0.0,0.0,0.0,0.0
310055,Cabixi,2020-05-16,0,0,0,0,0.0,0.0,0.0,0.0
310056,Cabixi,2020-05-17,0,0,0,0,0.0,0.0,0.0,0.0
310057,Cabixi,2020-05-18,0,0,0,0,0.0,0.0,0.0,0.0
310058,Cabixi,2020-05-19,0,0,0,0,0.0,0.0,0.0,0.0
310059,Cabixi,2020-05-20,0,0,0,0,0.0,0.0,0.0,0.0
310060,Cabixi,2020-05-21,0,0,0,0,0.0,0.0,0.0,0.0
310061,Cabixi,2020-05-22,0,0,0,0,0.0,0.0,0.0,0.0
310062,Cabixi,2020-05-23,0,0,0,0,0.0,0.0,0.0,0.0
310063,Cabixi,2020-05-24,0,0,0,0,0.0,0.0,0.0,0.0
310064,Cabixi,2020-05-25,0,0,0,0,0.0,0.0,0.0,0.0
310065,Cabixi,2020-05-26,0,0,0,0,0.0,0.0,0.0,0.0
310066,Cabixi,2020-05-27,0,0,0,0,0.0,0.0,0.0,0.0
310067,Cabixi,2020-05-28,0,0,0,0,0.0,0.0,0.0,0.0
310068,Cabixi,2020-05-29,0,0,0,0,0.0,0.0,0.0,0.0
310069,Cabixi,2020-05-30,0,0,0,0,0.0,0.0,0.0,0.0
310070,Cabixi,2020-05-31,0,0,0,0,0.0,0.0,0.0,0.0
310071,Cabixi,2020-06-01,0,0,0,0,0.0,0.0,0.0,0.0
310072,Cabixi,2020-06-02,0,0,0,0,0.0,0.0,0.0,0.0
310073,Cabixi,2020-06-03,0,0,0,0,0.0,0.0,0.0,0.0
310074,Cabixi,2020-06-04,3,3,0,0,0.42857142857142855,0.0,3.0,0.0
310075,Cabixi,2020-06-05,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310076,Cabixi,2020-06-06,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310077,Cabixi,2020-06-07,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310078,Cabixi,2020-06-08,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310079,Cabixi,2020-06-09,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310080,Cabixi,2020-06-10,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
310081,Cabixi,2020-06-11,3,0,0,0,0.0,0.0,0.0,0.0
310082,Cabixi,2020-06-12,3,0,0,0,0.0,0.0,0.0,0.0
310083,Cabixi,2020-06-13,3,0,0,0,0.0,0.0,0.0,0.0
310084,Cabixi,2020-06-14,3,0,0,0,0.0,0.0,0.0,0.0
310085,Cabixi,2020-06-15,3,0,0,0,0.0,0.0,0.0,0.0
310086,Cabixi,2020-06-16,3,0,0,0,0.0,0.0,0.0,0.0
310087,Cabixi,2020-06-17,3,0,0,0,0.0,0.0,0.0,0.0
310088,Cabixi,2020-06-18,3,0,0,0,0.0,0.0,0.0,0.0
310089,Cabixi,2020-06-19,3,0,0,0,0.0,0.0,0.0,0.0
310090,Cabixi,2020-06-20,3,0,0,0,0.0,0.0,0.0,0.0
310091,Cabixi,2020-06-21,3,0,0,0,0.0,0.0,0.0,0.0
310092,Cabixi,2020-06-22,3,0,0,0,0.0,0.0,0.0,0.0
310093,Cabixi,2020-06-23,3,0,0,0,0.0,0.0,0.0,0.0
310094,Cabixi,2020-06-24,3,0,0,0,0.0,0.0,0.0,0.0
310095,Cabixi,2020-06-25,3,0,0,0,0.0,0.0,0.0,0.0
310096,Cabixi,2020-06-26,3,0,0,0,0.0,0.0,0.0,0.0
310097,Cabixi,2020-06-27,3,0,0,0,0.0,0.0,0.0,0.0
310098,Cabixi,2020-06-28,3,0,0,0,0.0,0.0,0.0,0.0
310099,Cabixi,2020-06-29,3,0,0,0,0.0,0.0,0.0,0.0
310100,Cabixi,2020-06-30,4,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
310101,Cabixi,2020-07-01,4,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
310102,Cabixi,2020-07-02,4,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
310103,Cabixi,2020-07-03,5,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
310104,Cabixi,2020-07-04,11,6,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
310105,Cabixi,2020-07-05,13,2,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
310106,Cabixi,2020-07-06,12,-1,1,0,1.2857142857142858,0.14285714285714285,9.0,1.0
310107,Cabixi,2020-07-07,12,0,1,0,1.1428571428571428,0.0,8.0,0.0
310108,Cabixi,2020-07-08,15,3,2,1,1.5714285714285714,0.14285714285714285,11.0,1.0
310109,Cabixi,2020-07-09,16,1,2,0,1.7142857142857142,0.14285714285714285,12.0,1.0
310110,Cabixi,2020-07-10,19,3,2,0,2.0,0.14285714285714285,14.0,1.0
310111,Cabixi,2020-07-11,19,0,2,0,1.1428571428571428,0.14285714285714285,8.0,1.0
310112,Cabixi,2020-07-12,20,1,2,0,1.0,0.14285714285714285,7.0,1.0
310113,Cabixi,2020-07-13,21,1,2,0,1.2857142857142858,0.14285714285714285,9.0,1.0
310114,Cabixi,2020-07-14,22,1,2,0,1.4285714285714286,0.14285714285714285,10.0,1.0
