municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Cabo de Santo Agostinho,2020-03-27,0,0,0,0,1.7142857142857142,0.0,12.0,0.0
Cabo de Santo Agostinho,2020-03-28,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
Cabo de Santo Agostinho,2020-03-29,0,0,0,0,0.14285714285714285,0.0,1.0,0.0
Cabo de Santo Agostinho,2020-03-30,0,0,0,0,0.0,0.0,0.0,0.0
Cabo de Santo Agostinho,2020-03-31,0,0,0,0,0.0,0.0,0.0,0.0
Cabo de Santo Agostinho,2020-04-01,0,0,0,0,0.0,0.0,0.0,0.0
Cabo de Santo Agostinho,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
Cabo de Santo Agostinho,2020-04-03,2,2,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
Cabo de Santo Agostinho,2020-04-04,4,2,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
Cabo de Santo Agostinho,2020-04-05,5,1,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
Cabo de Santo Agostinho,2020-04-06,5,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
Cabo de Santo Agostinho,2020-04-07,6,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
Cabo de Santo Agostinho,2020-04-08,8,2,2,1,1.1428571428571428,0.2857142857142857,8.0,2.0
Cabo de Santo Agostinho,2020-04-09,12,4,4,2,1.7142857142857142,0.5714285714285714,12.0,4.0
Cabo de Santo Agostinho,2020-04-10,13,1,4,0,1.5714285714285714,0.42857142857142855,11.0,3.0
Cabo de Santo Agostinho,2020-04-11,14,1,4,0,1.4285714285714286,0.42857142857142855,10.0,3.0
Cabo de Santo Agostinho,2020-04-12,15,1,5,1,1.4285714285714286,0.5714285714285714,10.0,4.0
Cabo de Santo Agostinho,2020-04-13,15,0,5,0,1.4285714285714286,0.5714285714285714,10.0,4.0
Cabo de Santo Agostinho,2020-04-14,19,4,7,2,1.8571428571428572,0.8571428571428571,13.0,6.0
Cabo de Santo Agostinho,2020-04-15,18,-1,8,1,1.4285714285714286,0.8571428571428571,10.0,6.0
Cabo de Santo Agostinho,2020-04-16,19,1,9,1,1.0,0.7142857142857143,7.0,5.0
Cabo de Santo Agostinho,2020-04-17,21,2,10,1,1.1428571428571428,0.8571428571428571,8.0,6.0
Cabo de Santo Agostinho,2020-04-18,22,1,11,1,1.1428571428571428,1.0,8.0,7.0
Cabo de Santo Agostinho,2020-04-19,27,5,11,0,1.7142857142857142,0.8571428571428571,12.0,6.0
Cabo de Santo Agostinho,2020-04-20,30,3,11,0,2.142857142857143,0.8571428571428571,15.0,6.0
Cabo de Santo Agostinho,2020-04-21,32,2,12,1,1.8571428571428572,0.7142857142857143,13.0,5.0
Cabo de Santo Agostinho,2020-04-22,40,8,11,-1,3.142857142857143,0.42857142857142855,22.0,3.0
Cabo de Santo Agostinho,2020-04-23,43,3,11,0,3.4285714285714284,0.2857142857142857,24.0,2.0
Cabo de Santo Agostinho,2020-04-24,45,2,11,0,3.4285714285714284,0.14285714285714285,24.0,1.0
Cabo de Santo Agostinho,2020-04-25,49,4,11,0,3.857142857142857,0.0,27.0,0.0
Cabo de Santo Agostinho,2020-04-26,54,5,11,0,3.857142857142857,0.0,27.0,0.0
Cabo de Santo Agostinho,2020-04-27,66,12,12,1,5.142857142857143,0.14285714285714285,36.0,1.0
Cabo de Santo Agostinho,2020-04-28,71,5,13,1,5.571428571428571,0.14285714285714285,39.0,1.0
Cabo de Santo Agostinho,2020-04-29,76,5,15,2,5.142857142857143,0.5714285714285714,36.0,4.0
Cabo de Santo Agostinho,2020-04-30,81,5,15,0,5.428571428571429,0.5714285714285714,38.0,4.0
