index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
364312,Cajazeiras do Piauí,2020-03-27,0.0,0,0,0,46.0,0.2857142857142857,322.0,2.0
364313,Cajazeiras do Piauí,2020-03-28,0.0,0,0,0,38.714285714285715,0.0,271.0,0.0
364314,Cajazeiras do Piauí,2020-03-29,0.0,0,0,0,34.57142857142857,0.0,242.0,0.0
364315,Cajazeiras do Piauí,2020-03-30,0.0,0,0,0,25.714285714285715,0.0,180.0,0.0
364316,Cajazeiras do Piauí,2020-03-31,0.0,0,0,0,15.428571428571429,0.0,108.0,0.0
364317,Cajazeiras do Piauí,2020-04-01,0.0,0,0,0,6.571428571428571,0.0,46.0,0.0
364318,Cajazeiras do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
364319,Cajazeiras do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
364320,Cajazeiras do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
364321,Cajazeiras do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
364322,Cajazeiras do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
364323,Cajazeiras do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
364324,Cajazeiras do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
364325,Cajazeiras do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
364326,Cajazeiras do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
364327,Cajazeiras do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
364328,Cajazeiras do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
364329,Cajazeiras do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
364330,Cajazeiras do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
364331,Cajazeiras do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
364332,Cajazeiras do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
364333,Cajazeiras do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
364334,Cajazeiras do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
364335,Cajazeiras do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
364336,Cajazeiras do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
364337,Cajazeiras do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
364338,Cajazeiras do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
364339,Cajazeiras do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
364340,Cajazeiras do Piauí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
364341,Cajazeiras do Piauí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
364342,Cajazeiras do Piauí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
364343,Cajazeiras do Piauí,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
364344,Cajazeiras do Piauí,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
364345,Cajazeiras do Piauí,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
364346,Cajazeiras do Piauí,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
364347,Cajazeiras do Piauí,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
364348,Cajazeiras do Piauí,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
364349,Cajazeiras do Piauí,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
364350,Cajazeiras do Piauí,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
364351,Cajazeiras do Piauí,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
364352,Cajazeiras do Piauí,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
364353,Cajazeiras do Piauí,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
364354,Cajazeiras do Piauí,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
364355,Cajazeiras do Piauí,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
364356,Cajazeiras do Piauí,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
364357,Cajazeiras do Piauí,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
364358,Cajazeiras do Piauí,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
364359,Cajazeiras do Piauí,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
364360,Cajazeiras do Piauí,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
364361,Cajazeiras do Piauí,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
364362,Cajazeiras do Piauí,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
364363,Cajazeiras do Piauí,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
364364,Cajazeiras do Piauí,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
364365,Cajazeiras do Piauí,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
364366,Cajazeiras do Piauí,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
364367,Cajazeiras do Piauí,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
364368,Cajazeiras do Piauí,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
364369,Cajazeiras do Piauí,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
364370,Cajazeiras do Piauí,2020-05-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
364371,Cajazeiras do Piauí,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364372,Cajazeiras do Piauí,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364373,Cajazeiras do Piauí,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364374,Cajazeiras do Piauí,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364375,Cajazeiras do Piauí,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364376,Cajazeiras do Piauí,2020-05-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364377,Cajazeiras do Piauí,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
364378,Cajazeiras do Piauí,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
364379,Cajazeiras do Piauí,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
364380,Cajazeiras do Piauí,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
364381,Cajazeiras do Piauí,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
364382,Cajazeiras do Piauí,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
364383,Cajazeiras do Piauí,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
364384,Cajazeiras do Piauí,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
364385,Cajazeiras do Piauí,2020-06-08,1.0,0,0,0,0.0,0.0,0.0,0.0
364386,Cajazeiras do Piauí,2020-06-09,1.0,0,0,0,0.0,0.0,0.0,0.0
364387,Cajazeiras do Piauí,2020-06-10,1.0,0,0,0,0.0,0.0,0.0,0.0
364388,Cajazeiras do Piauí,2020-06-11,1.0,0,0,0,0.0,0.0,0.0,0.0
364389,Cajazeiras do Piauí,2020-06-12,1.0,0,0,0,0.0,0.0,0.0,0.0
364390,Cajazeiras do Piauí,2020-06-13,1.0,0,0,0,0.0,0.0,0.0,0.0
364391,Cajazeiras do Piauí,2020-06-14,1.0,0,0,0,0.0,0.0,0.0,0.0
364392,Cajazeiras do Piauí,2020-06-15,1.0,0,0,0,0.0,0.0,0.0,0.0
364393,Cajazeiras do Piauí,2020-06-16,1.0,0,0,0,0.0,0.0,0.0,0.0
364394,Cajazeiras do Piauí,2020-06-17,1.0,0,0,0,0.0,0.0,0.0,0.0
364395,Cajazeiras do Piauí,2020-06-18,1.0,0,0,0,0.0,0.0,0.0,0.0
364396,Cajazeiras do Piauí,2020-06-19,1.0,0,0,0,0.0,0.0,0.0,0.0
364397,Cajazeiras do Piauí,2020-06-20,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
364398,Cajazeiras do Piauí,2020-06-21,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364399,Cajazeiras do Piauí,2020-06-22,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364400,Cajazeiras do Piauí,2020-06-23,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364401,Cajazeiras do Piauí,2020-06-24,4.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
364402,Cajazeiras do Piauí,2020-06-25,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
364403,Cajazeiras do Piauí,2020-06-26,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
364404,Cajazeiras do Piauí,2020-06-27,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
364405,Cajazeiras do Piauí,2020-06-28,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
364406,Cajazeiras do Piauí,2020-06-29,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
364407,Cajazeiras do Piauí,2020-06-30,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
364408,Cajazeiras do Piauí,2020-07-01,4.0,0,0,0,0.0,0.0,0.0,0.0
364409,Cajazeiras do Piauí,2020-07-02,4.0,0,0,0,0.0,0.0,0.0,0.0
364410,Cajazeiras do Piauí,2020-07-03,4.0,0,0,0,0.0,0.0,0.0,0.0
364411,Cajazeiras do Piauí,2020-07-04,4.0,0,0,0,0.0,0.0,0.0,0.0
364412,Cajazeiras do Piauí,2020-07-05,4.0,0,0,0,0.0,0.0,0.0,0.0
364413,Cajazeiras do Piauí,2020-07-06,4.0,0,0,0,0.0,0.0,0.0,0.0
364414,Cajazeiras do Piauí,2020-07-07,4.0,0,0,0,0.0,0.0,0.0,0.0
364415,Cajazeiras do Piauí,2020-07-08,4.0,0,0,0,0.0,0.0,0.0,0.0
364416,Cajazeiras do Piauí,2020-07-09,4.0,0,0,0,0.0,0.0,0.0,0.0
364417,Cajazeiras do Piauí,2020-07-10,4.0,0,0,0,0.0,0.0,0.0,0.0
364418,Cajazeiras do Piauí,2020-07-11,4.0,0,0,0,0.0,0.0,0.0,0.0
364419,Cajazeiras do Piauí,2020-07-12,4.0,0,0,0,0.0,0.0,0.0,0.0
364420,Cajazeiras do Piauí,2020-07-13,4.0,0,0,0,0.0,0.0,0.0,0.0
364421,Cajazeiras do Piauí,2020-07-14,4.0,0,0,0,0.0,0.0,0.0,0.0
364422,Cajazeiras do Piauí,2020-07-15,4.0,0,0,0,0.0,0.0,0.0,0.0
364423,Cajazeiras do Piauí,2020-07-16,4.0,0,0,0,0.0,0.0,0.0,0.0
364424,Cajazeiras do Piauí,2020-07-17,4.0,0,0,0,0.0,0.0,0.0,0.0
364425,Cajazeiras do Piauí,2020-07-18,4.0,0,0,0,0.0,0.0,0.0,0.0
364426,Cajazeiras do Piauí,2020-07-19,4.0,0,0,0,0.0,0.0,0.0,0.0
364427,Cajazeiras do Piauí,2020-07-20,4.0,0,0,0,0.0,0.0,0.0,0.0
364428,Cajazeiras do Piauí,2020-07-21,4.0,0,0,0,0.0,0.0,0.0,0.0
364429,Cajazeiras do Piauí,2020-07-22,4.0,0,0,0,0.0,0.0,0.0,0.0
364430,Cajazeiras do Piauí,2020-07-23,4.0,0,0,0,0.0,0.0,0.0,0.0
364431,Cajazeiras do Piauí,2020-07-24,4.0,0,0,0,0.0,0.0,0.0,0.0
364432,Cajazeiras do Piauí,2020-07-25,4.0,0,0,0,0.0,0.0,0.0,0.0
364433,Cajazeiras do Piauí,2020-07-26,4.0,0,0,0,0.0,0.0,0.0,0.0
364434,Cajazeiras do Piauí,2020-07-27,4.0,0,0,0,0.0,0.0,0.0,0.0
364435,Cajazeiras do Piauí,2020-07-28,4.0,0,0,0,0.0,0.0,0.0,0.0
364436,Cajazeiras do Piauí,2020-07-29,4.0,0,0,0,0.0,0.0,0.0,0.0
364437,Cajazeiras do Piauí,2020-07-30,4.0,0,0,0,0.0,0.0,0.0,0.0
364438,Cajazeiras do Piauí,2020-07-31,4.0,0,0,0,0.0,0.0,0.0,0.0
364439,Cajazeiras do Piauí,2020-08-01,4.0,0,0,0,0.0,0.0,0.0,0.0
364440,Cajazeiras do Piauí,2020-08-02,4.0,0,0,0,0.0,0.0,0.0,0.0
364441,Cajazeiras do Piauí,2020-08-03,4.0,0,0,0,0.0,0.0,0.0,0.0
364442,Cajazeiras do Piauí,2020-08-04,5.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
364443,Cajazeiras do Piauí,2020-08-05,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364444,Cajazeiras do Piauí,2020-08-06,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
364445,Cajazeiras do Piauí,2020-08-07,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
