index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
368100,Caldeirão Grande do Piauí,2020-03-27,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
368101,Caldeirão Grande do Piauí,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
368102,Caldeirão Grande do Piauí,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
368103,Caldeirão Grande do Piauí,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
368104,Caldeirão Grande do Piauí,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
368105,Caldeirão Grande do Piauí,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
368106,Caldeirão Grande do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
368107,Caldeirão Grande do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
368108,Caldeirão Grande do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
368109,Caldeirão Grande do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
368110,Caldeirão Grande do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
368111,Caldeirão Grande do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
368112,Caldeirão Grande do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
368113,Caldeirão Grande do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
368114,Caldeirão Grande do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
368115,Caldeirão Grande do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
368116,Caldeirão Grande do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
368117,Caldeirão Grande do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
368118,Caldeirão Grande do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
368119,Caldeirão Grande do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
368120,Caldeirão Grande do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
368121,Caldeirão Grande do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
368122,Caldeirão Grande do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
368123,Caldeirão Grande do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
368124,Caldeirão Grande do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
368125,Caldeirão Grande do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
368126,Caldeirão Grande do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
368127,Caldeirão Grande do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
368128,Caldeirão Grande do Piauí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
368129,Caldeirão Grande do Piauí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
