municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Campinas,27-03-2020,0,0,0,0,1.5714285714285714,0.2857142857142857,11.0,2.0
Campinas,28-03-2020,8,8,0,0,2.0,0.14285714285714285,14.0,1.0
Campinas,29-03-2020,10,2,0,0,2.2857142857142856,0.14285714285714285,16.0,1.0
Campinas,30-03-2020,11,1,0,0,2.4285714285714284,0.14285714285714285,17.0,1.0
Campinas,31-03-2020,15,4,1,1,2.2857142857142856,0.2857142857142857,16.0,2.0
Campinas,01-04-2020,22,7,1,0,3.142857142857143,0.2857142857142857,22.0,2.0
Campinas,02-04-2020,23,1,1,0,3.2857142857142856,0.14285714285714285,23.0,1.0
Campinas,03-04-2020,24,1,1,0,3.4285714285714284,0.14285714285714285,24.0,1.0
Campinas,04-04-2020,26,2,4,3,2.5714285714285716,0.5714285714285714,18.0,4.0
Campinas,05-04-2020,26,0,4,0,2.2857142857142856,0.5714285714285714,16.0,4.0
Campinas,06-04-2020,28,2,4,0,2.4285714285714284,0.5714285714285714,17.0,4.0
Campinas,07-04-2020,50,22,4,0,5.0,0.42857142857142855,35.0,3.0
Campinas,08-04-2020,72,22,5,1,7.142857142857143,0.5714285714285714,50.0,4.0
Campinas,09-04-2020,83,11,5,0,8.571428571428571,0.5714285714285714,60.0,4.0
Campinas,10-04-2020,100,17,5,0,10.857142857142858,0.5714285714285714,76.0,4.0
Campinas,11-04-2020,100,0,5,0,10.571428571428571,0.14285714285714285,74.0,1.0
Campinas,12-04-2020,106,6,5,0,11.428571428571429,0.14285714285714285,80.0,1.0
Campinas,13-04-2020,107,1,5,0,11.285714285714286,0.14285714285714285,79.0,1.0
Campinas,14-04-2020,112,5,5,0,8.857142857142858,0.14285714285714285,62.0,1.0
Campinas,15-04-2020,142,30,5,0,10.0,0.0,70.0,0.0
Campinas,16-04-2020,149,7,7,2,9.428571428571429,0.2857142857142857,66.0,2.0
Campinas,17-04-2020,164,15,7,0,9.142857142857142,0.2857142857142857,64.0,2.0
Campinas,18-04-2020,184,20,7,0,12.0,0.2857142857142857,84.0,2.0
Campinas,19-04-2020,184,0,7,0,11.142857142857142,0.2857142857142857,78.0,2.0
Campinas,20-04-2020,192,8,7,0,12.142857142857142,0.2857142857142857,85.0,2.0
Campinas,21-04-2020,199,7,7,0,12.428571428571429,0.2857142857142857,87.0,2.0
Campinas,22-04-2020,202,3,9,2,8.571428571428571,0.5714285714285714,60.0,4.0
Campinas,23-04-2020,211,9,9,0,8.857142857142858,0.2857142857142857,62.0,2.0
Campinas,24-04-2020,229,18,11,2,9.285714285714286,0.5714285714285714,65.0,4.0
Campinas,25-04-2020,256,27,11,0,10.285714285714286,0.5714285714285714,72.0,4.0
Campinas,26-04-2020,262,6,12,1,11.142857142857142,0.7142857142857143,78.0,5.0
Campinas,27-04-2020,279,17,12,0,12.428571428571429,0.7142857142857143,87.0,5.0
Campinas,28-04-2020,320,41,12,0,17.285714285714285,0.7142857142857143,121.0,5.0
Campinas,29-04-2020,344,24,16,4,20.285714285714285,1.0,142.0,7.0
Campinas,30-04-2020,369,25,18,2,22.571428571428573,1.2857142857142858,158.0,9.0
Campinas,01-05-2020,372,3,19,1,20.428571428571427,1.1428571428571428,143.0,8.0
Campinas,02-05-2020,380,8,20,1,17.714285714285715,1.2857142857142858,124.0,9.0
Campinas,03-05-2020,402,22,21,1,20.0,1.2857142857142858,140.0,9.0
Campinas,04-05-2020,403,1,21,0,17.714285714285715,1.2857142857142858,124.0,9.0
Campinas,05-05-2020,430,27,24,3,15.714285714285714,1.7142857142857142,110.0,12.0
Campinas,06-05-2020,559,129,24,0,30.714285714285715,1.1428571428571428,215.0,8.0
Campinas,07-05-2020,555,-4,23,-1,26.571428571428573,0.7142857142857143,186.0,5.0
Campinas,08-05-2020,527,-28,25,2,22.142857142857142,0.8571428571428571,155.0,6.0
Campinas,09-05-2020,595,68,25,0,30.714285714285715,0.7142857142857143,215.0,5.0
Campinas,10-05-2020,609,14,25,0,29.571428571428573,0.5714285714285714,207.0,4.0
Campinas,11-05-2020,615,6,26,1,30.285714285714285,0.7142857142857143,212.0,5.0
Campinas,12-05-2020,643,28,27,1,30.428571428571427,0.42857142857142855,213.0,3.0
Campinas,13-05-2020,730,87,27,0,24.428571428571427,0.42857142857142855,171.0,3.0
Campinas,14-05-2020,769,39,29,2,30.571428571428573,0.8571428571428571,214.0,6.0
Campinas,15-05-2020,840,71,33,4,44.714285714285715,1.1428571428571428,313.0,8.0
Campinas,16-05-2020,946,106,35,2,50.142857142857146,1.4285714285714286,351.0,10.0
Campinas,17-05-2020,987,41,37,2,54.0,1.7142857142857142,378.0,12.0
Campinas,18-05-2020,1006,19,41,4,55.857142857142854,2.142857142857143,391.0,15.0
Campinas,19-05-2020,1073,67,42,1,61.42857142857143,2.142857142857143,430.0,15.0
Campinas,20-05-2020,1132,59,44,2,57.42857142857143,2.4285714285714284,402.0,17.0
Campinas,21-05-2020,1192,60,45,1,60.42857142857143,2.2857142857142856,423.0,16.0
Campinas,22-05-2020,1247,55,47,2,58.142857142857146,2.0,407.0,14.0
Campinas,23-05-2020,1306,59,52,5,51.42857142857143,2.4285714285714284,360.0,17.0
Campinas,24-05-2020,1335,29,53,1,49.714285714285715,2.2857142857142856,348.0,16.0
Campinas,25-05-2020,1382,47,57,4,53.714285714285715,2.2857142857142856,376.0,16.0
Campinas,26-05-2020,1415,33,61,4,48.857142857142854,2.7142857142857144,342.0,19.0
Campinas,27-05-2020,1454,39,64,3,46.0,2.857142857142857,322.0,20.0
Campinas,28-05-2020,1520,66,65,1,46.857142857142854,2.857142857142857,328.0,20.0
Campinas,29-05-2020,1627,107,69,4,54.285714285714285,3.142857142857143,380.0,22.0
Campinas,30-05-2020,1733,106,74,5,61.0,3.142857142857143,427.0,22.0
Campinas,31-05-2020,1753,20,75,1,59.714285714285715,3.142857142857143,418.0,22.0
Campinas,01-06-2020,1822,69,78,3,62.857142857142854,3.0,440.0,21.0
Campinas,02-06-2020,1928,106,79,1,73.28571428571429,2.5714285714285716,513.0,18.0
Campinas,03-06-2020,2099,171,80,1,92.14285714285714,2.2857142857142856,645.0,16.0
Campinas,04-06-2020,2247,148,90,10,103.85714285714286,3.5714285714285716,727.0,25.0
Campinas,05-06-2020,2414,167,93,3,112.42857142857143,3.4285714285714284,787.0,24.0
Campinas,06-06-2020,2604,190,101,8,124.42857142857143,3.857142857142857,871.0,27.0
Campinas,07-06-2020,2717,113,104,3,137.71428571428572,4.142857142857143,964.0,29.0
Campinas,08-06-2020,2752,35,107,3,132.85714285714286,4.142857142857143,930.0,29.0
Campinas,09-06-2020,2914,162,116,9,140.85714285714286,5.285714285714286,986.0,37.0
Campinas,10-06-2020,3121,207,121,5,146.0,5.857142857142857,1022.0,41.0
Campinas,11-06-2020,3291,170,130,9,149.14285714285714,5.714285714285714,1044.0,40.0
Campinas,12-06-2020,3490,199,136,6,153.71428571428572,6.142857142857143,1076.0,43.0
Campinas,13-06-2020,3682,192,148,12,154.0,6.714285714285714,1078.0,47.0
Campinas,14-06-2020,3852,170,148,0,162.14285714285714,6.285714285714286,1135.0,44.0
Campinas,15-06-2020,3884,32,149,1,161.71428571428572,6.0,1132.0,42.0
Campinas,16-06-2020,4257,373,164,15,191.85714285714286,6.857142857142857,1343.0,48.0
Campinas,17-06-2020,4302,45,185,21,168.71428571428572,9.142857142857142,1181.0,64.0
Campinas,18-06-2020,4330,28,194,9,148.42857142857142,9.142857142857142,1039.0,64.0
Campinas,19-06-2020,5127,797,203,9,233.85714285714286,9.571428571428571,1637.0,67.0
Campinas,20-06-2020,5317,190,211,8,233.57142857142858,9.0,1635.0,63.0
Campinas,21-06-2020,5459,142,211,0,229.57142857142858,9.0,1607.0,63.0
Campinas,22-06-2020,5638,179,213,2,250.57142857142858,9.142857142857142,1754.0,64.0
Campinas,23-06-2020,5890,252,236,23,233.28571428571428,10.285714285714286,1633.0,72.0
Campinas,24-06-2020,6324,434,253,17,288.85714285714283,9.714285714285714,2022.0,68.0
Campinas,25-06-2020,6604,280,271,18,324.85714285714283,11.0,2274.0,77.0
Campinas,26-06-2020,6944,340,278,7,259.57142857142856,10.714285714285714,1817.0,75.0
Campinas,27-06-2020,7274,330,292,14,279.57142857142856,11.571428571428571,1957.0,81.0
Campinas,28-06-2020,7626,352,293,1,309.57142857142856,11.714285714285714,2167.0,82.0
Campinas,29-06-2020,7743,117,297,4,300.7142857142857,12.0,2105.0,84.0
Campinas,30-06-2020,8020,277,316,19,304.2857142857143,11.428571428571429,2130.0,80.0
Campinas,01-07-2020,8424,404,324,8,300.0,10.142857142857142,2100.0,71.0
Campinas,02-07-2020,8773,349,341,17,309.85714285714283,10.0,2169.0,70.0
Campinas,03-07-2020,9051,278,354,13,301.0,10.857142857142858,2107.0,76.0
Campinas,04-07-2020,9130,79,364,10,265.14285714285717,10.285714285714286,1856.0,72.0
Campinas,05-07-2020,9433,303,370,6,258.14285714285717,11.0,1807.0,77.0
Campinas,06-07-2020,9624,191,374,4,268.7142857142857,11.0,1881.0,77.0
Campinas,07-07-2020,10054,430,384,10,290.57142857142856,9.714285714285714,2034.0,68.0
Campinas,08-07-2020,10460,406,403,19,290.85714285714283,11.285714285714286,2036.0,79.0
Campinas,09-07-2020,10776,316,420,17,286.14285714285717,11.285714285714286,2003.0,79.0
Campinas,10-07-2020,11079,303,436,16,289.7142857142857,11.714285714285714,2028.0,82.0
Campinas,11-07-2020,11367,288,446,10,319.57142857142856,11.714285714285714,2237.0,82.0
Campinas,12-07-2020,11513,146,453,7,297.14285714285717,11.857142857142858,2080.0,83.0
Campinas,13-07-2020,11651,138,455,2,289.57142857142856,11.571428571428571,2027.0,81.0
Campinas,14-07-2020,11965,314,481,26,273.0,13.857142857142858,1911.0,97.0
Campinas,15-07-2020,12257,292,501,20,256.7142857142857,14.0,1797.0,98.0
Campinas,16-07-2020,12557,300,516,15,254.42857142857142,13.714285714285714,1781.0,96.0
Campinas,17-07-2020,12757,200,526,10,239.71428571428572,12.857142857142858,1678.0,90.0
Campinas,18-07-2020,12884,127,538,12,216.71428571428572,13.142857142857142,1517.0,92.0
Campinas,19-07-2020,12968,84,543,5,207.85714285714286,12.857142857142858,1455.0,90.0
Campinas,20-07-2020,13213,245,544,1,223.14285714285714,12.714285714285714,1562.0,89.0
Campinas,21-07-2020,13366,153,568,24,200.14285714285714,12.428571428571429,1401.0,87.0
