index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
371952,Campinaçu,2020-03-27,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
371953,Campinaçu,2020-03-28,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
371954,Campinaçu,2020-03-29,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
371955,Campinaçu,2020-03-30,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
371956,Campinaçu,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
371957,Campinaçu,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
371958,Campinaçu,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
371959,Campinaçu,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
371960,Campinaçu,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
371961,Campinaçu,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
371962,Campinaçu,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
371963,Campinaçu,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
371964,Campinaçu,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
371965,Campinaçu,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
371966,Campinaçu,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
371967,Campinaçu,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
371968,Campinaçu,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
371969,Campinaçu,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
371970,Campinaçu,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
371971,Campinaçu,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
371972,Campinaçu,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
371973,Campinaçu,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
371974,Campinaçu,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
371975,Campinaçu,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
371976,Campinaçu,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
371977,Campinaçu,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
371978,Campinaçu,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
371979,Campinaçu,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
371980,Campinaçu,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
371981,Campinaçu,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
371982,Campinaçu,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
371983,Campinaçu,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
371984,Campinaçu,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
371985,Campinaçu,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
371986,Campinaçu,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
371987,Campinaçu,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
371988,Campinaçu,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
371989,Campinaçu,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
371990,Campinaçu,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
371991,Campinaçu,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
