index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
367984,Campo Bonito,2020-03-27,0.0,0,0,0,16.428571428571427,0.42857142857142855,115.0,3.0
367985,Campo Bonito,2020-03-28,0.0,0,0,0,16.428571428571427,0.42857142857142855,115.0,3.0
367986,Campo Bonito,2020-03-29,0.0,0,0,0,12.571428571428571,0.0,88.0,0.0
367987,Campo Bonito,2020-03-30,0.0,0,0,0,10.428571428571429,0.0,73.0,0.0
367988,Campo Bonito,2020-03-31,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
367989,Campo Bonito,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
367990,Campo Bonito,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
367991,Campo Bonito,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
367992,Campo Bonito,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
367993,Campo Bonito,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
367994,Campo Bonito,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
367995,Campo Bonito,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
367996,Campo Bonito,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
367997,Campo Bonito,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
367998,Campo Bonito,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
367999,Campo Bonito,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
368000,Campo Bonito,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
368001,Campo Bonito,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
368002,Campo Bonito,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
368003,Campo Bonito,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
368004,Campo Bonito,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
368005,Campo Bonito,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
368006,Campo Bonito,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
