index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
394701,Campo Maior,2020-03-27,0.0,0,0,0,9.0,0.42857142857142855,63.0,3.0
394702,Campo Maior,2020-03-28,0.0,0,0,0,6.714285714285714,0.42857142857142855,47.0,3.0
394703,Campo Maior,2020-03-29,0.0,0,0,0,4.857142857142857,0.42857142857142855,34.0,3.0
394704,Campo Maior,2020-03-30,0.0,0,0,0,2.7142857142857144,0.2857142857142857,19.0,2.0
394705,Campo Maior,2020-03-31,0.0,0,0,0,2.7142857142857144,0.2857142857142857,19.0,2.0
394706,Campo Maior,2020-04-01,0.0,0,0,0,0.5714285714285714,0.2857142857142857,4.0,2.0
394707,Campo Maior,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
394708,Campo Maior,2020-04-03,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
394709,Campo Maior,2020-04-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394710,Campo Maior,2020-04-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394711,Campo Maior,2020-04-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394712,Campo Maior,2020-04-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394713,Campo Maior,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394714,Campo Maior,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394715,Campo Maior,2020-04-10,1.0,0,0,0,0.0,0.0,0.0,0.0
394716,Campo Maior,2020-04-11,1.0,0,0,0,0.0,0.0,0.0,0.0
394717,Campo Maior,2020-04-12,1.0,0,0,0,0.0,0.0,0.0,0.0
394718,Campo Maior,2020-04-13,1.0,0,0,0,0.0,0.0,0.0,0.0
394719,Campo Maior,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
394720,Campo Maior,2020-04-15,1.0,0,0,0,0.0,0.0,0.0,0.0
394721,Campo Maior,2020-04-16,1.0,0,0,0,0.0,0.0,0.0,0.0
394722,Campo Maior,2020-04-17,1.0,0,0,0,0.0,0.0,0.0,0.0
394723,Campo Maior,2020-04-18,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
394724,Campo Maior,2020-04-19,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394725,Campo Maior,2020-04-20,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394726,Campo Maior,2020-04-21,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
394727,Campo Maior,2020-04-22,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
394728,Campo Maior,2020-04-23,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
394729,Campo Maior,2020-04-24,4.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
394730,Campo Maior,2020-04-25,3.0,-1,0,0,0.14285714285714285,0.0,1.0,0.0
394731,Campo Maior,2020-04-26,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394732,Campo Maior,2020-04-27,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
394733,Campo Maior,2020-04-28,3.0,0,0,0,0.0,0.0,0.0,0.0
394734,Campo Maior,2020-04-29,3.0,0,0,0,0.0,0.0,0.0,0.0
394735,Campo Maior,2020-04-30,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
394736,Campo Maior,2020-05-01,6.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
394737,Campo Maior,2020-05-02,7.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
394738,Campo Maior,2020-05-03,7.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
394739,Campo Maior,2020-05-04,10.0,3,0,0,1.0,0.0,7.0,0.0
394740,Campo Maior,2020-05-05,14.0,4,0,0,1.5714285714285714,0.0,11.0,0.0
394741,Campo Maior,2020-05-06,16.0,2,0,0,1.8571428571428572,0.0,13.0,0.0
394742,Campo Maior,2020-05-07,17.0,1,0,0,1.8571428571428572,0.0,13.0,0.0
394743,Campo Maior,2020-05-08,17.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
394744,Campo Maior,2020-05-09,20.0,3,0,0,1.8571428571428572,0.0,13.0,0.0
394745,Campo Maior,2020-05-10,20.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
394746,Campo Maior,2020-05-11,21.0,1,0,0,1.5714285714285714,0.0,11.0,0.0
394747,Campo Maior,2020-05-12,32.0,11,0,0,2.5714285714285716,0.0,18.0,0.0
394748,Campo Maior,2020-05-13,35.0,3,0,0,2.7142857142857144,0.0,19.0,0.0
394749,Campo Maior,2020-05-14,37.0,2,0,0,2.857142857142857,0.0,20.0,0.0
394750,Campo Maior,2020-05-15,42.0,5,0,0,3.5714285714285716,0.0,25.0,0.0
394751,Campo Maior,2020-05-16,68.0,26,0,0,6.857142857142857,0.0,48.0,0.0
394752,Campo Maior,2020-05-17,70.0,2,0,0,7.142857142857143,0.0,50.0,0.0
394753,Campo Maior,2020-05-18,72.0,2,0,0,7.285714285714286,0.0,51.0,0.0
394754,Campo Maior,2020-05-19,76.0,4,0,0,6.285714285714286,0.0,44.0,0.0
