index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
408096,Cantanhede,2020-03-27,0.0,0,0,0,21.142857142857142,0.2857142857142857,148.0,2.0
408097,Cantanhede,2020-03-28,0.0,0,0,0,16.571428571428573,0.2857142857142857,116.0,2.0
408098,Cantanhede,2020-03-29,0.0,0,0,0,13.857142857142858,0.2857142857142857,97.0,2.0
408099,Cantanhede,2020-03-30,0.0,0,0,0,8.571428571428571,0.0,60.0,0.0
408100,Cantanhede,2020-03-31,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
408101,Cantanhede,2020-04-01,0.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
408102,Cantanhede,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
408103,Cantanhede,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
408104,Cantanhede,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
408105,Cantanhede,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
408106,Cantanhede,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
408107,Cantanhede,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
408108,Cantanhede,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
408109,Cantanhede,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
408110,Cantanhede,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
408111,Cantanhede,2020-04-11,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
408112,Cantanhede,2020-04-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408113,Cantanhede,2020-04-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408114,Cantanhede,2020-04-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408115,Cantanhede,2020-04-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408116,Cantanhede,2020-04-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408117,Cantanhede,2020-04-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408118,Cantanhede,2020-04-18,1.0,0,0,0,0.0,0.0,0.0,0.0
408119,Cantanhede,2020-04-19,1.0,0,0,0,0.0,0.0,0.0,0.0
408120,Cantanhede,2020-04-20,1.0,0,0,0,0.0,0.0,0.0,0.0
408121,Cantanhede,2020-04-21,1.0,0,0,0,0.0,0.0,0.0,0.0
408122,Cantanhede,2020-04-22,1.0,0,0,0,0.0,0.0,0.0,0.0
408123,Cantanhede,2020-04-23,1.0,0,0,0,0.0,0.0,0.0,0.0
408124,Cantanhede,2020-04-24,1.0,0,0,0,0.0,0.0,0.0,0.0
408125,Cantanhede,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
408126,Cantanhede,2020-04-26,1.0,0,0,0,0.0,0.0,0.0,0.0
408127,Cantanhede,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
408128,Cantanhede,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
408129,Cantanhede,2020-04-29,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
408130,Cantanhede,2020-04-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
408131,Cantanhede,2020-05-01,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
408132,Cantanhede,2020-05-02,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
408133,Cantanhede,2020-05-03,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
408134,Cantanhede,2020-05-04,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
408135,Cantanhede,2020-05-05,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
408136,Cantanhede,2020-05-06,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
408137,Cantanhede,2020-05-07,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
408138,Cantanhede,2020-05-08,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
408139,Cantanhede,2020-05-09,8.0,3,0,0,0.7142857142857143,0.0,5.0,0.0
408140,Cantanhede,2020-05-10,11.0,3,0,0,1.1428571428571428,0.0,8.0,0.0
408141,Cantanhede,2020-05-11,9.0,-2,0,0,0.8571428571428571,0.0,6.0,0.0
408142,Cantanhede,2020-05-12,11.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
408143,Cantanhede,2020-05-13,12.0,1,0,0,1.1428571428571428,0.0,8.0,0.0
408144,Cantanhede,2020-05-14,14.0,2,0,0,1.4285714285714286,0.0,10.0,0.0
408145,Cantanhede,2020-05-15,14.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
408146,Cantanhede,2020-05-16,27.0,13,0,0,2.7142857142857144,0.0,19.0,0.0
408147,Cantanhede,2020-05-17,27.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
