index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
441960,Carlos Gomes,2020-03-27,0.0,0,0,0,4.285714285714286,0.14285714285714285,30.0,1.0
441961,Carlos Gomes,2020-03-28,0.0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
441962,Carlos Gomes,2020-03-29,0.0,0,0,0,1.7142857142857142,0.14285714285714285,12.0,1.0
441963,Carlos Gomes,2020-03-30,0.0,0,0,0,1.7142857142857142,0.14285714285714285,12.0,1.0
441964,Carlos Gomes,2020-03-31,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
441965,Carlos Gomes,2020-04-01,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
441966,Carlos Gomes,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
441967,Carlos Gomes,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
441968,Carlos Gomes,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
441969,Carlos Gomes,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
441970,Carlos Gomes,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
441971,Carlos Gomes,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
441972,Carlos Gomes,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
441973,Carlos Gomes,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
441974,Carlos Gomes,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
441975,Carlos Gomes,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
441976,Carlos Gomes,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
441977,Carlos Gomes,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
441978,Carlos Gomes,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
441979,Carlos Gomes,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
441980,Carlos Gomes,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
441981,Carlos Gomes,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
441982,Carlos Gomes,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
441983,Carlos Gomes,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
441984,Carlos Gomes,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
441985,Carlos Gomes,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
