index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
451282,Carmo de Minas,2020-03-27,0.0,0,0,0,7.142857142857143,0.14285714285714285,50.0,1.0
451283,Carmo de Minas,2020-03-28,0.0,0,0,0,7.142857142857143,0.14285714285714285,50.0,1.0
451284,Carmo de Minas,2020-03-29,0.0,0,0,0,7.142857142857143,0.14285714285714285,50.0,1.0
451285,Carmo de Minas,2020-03-30,0.0,0,0,0,7.142857142857143,0.14285714285714285,50.0,1.0
451286,Carmo de Minas,2020-03-31,0.0,0,0,0,2.142857142857143,0.14285714285714285,15.0,1.0
451287,Carmo de Minas,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
451288,Carmo de Minas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
451289,Carmo de Minas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
451290,Carmo de Minas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
451291,Carmo de Minas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
451292,Carmo de Minas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
451293,Carmo de Minas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
451294,Carmo de Minas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
451295,Carmo de Minas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
451296,Carmo de Minas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
451297,Carmo de Minas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
451298,Carmo de Minas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
451299,Carmo de Minas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
451300,Carmo de Minas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
451301,Carmo de Minas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
451302,Carmo de Minas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
451303,Carmo de Minas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
451304,Carmo de Minas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
451305,Carmo de Minas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
451306,Carmo de Minas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
451307,Carmo de Minas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
