index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
428904,Carneiros,2020-03-27,0,0,0,0,8.142857142857142,0.0,57.0,0.0
428905,Carneiros,2020-03-28,0,0,0,0,4.0,0.0,28.0,0.0
428906,Carneiros,2020-03-29,0,0,0,0,4.0,0.0,28.0,0.0
428907,Carneiros,2020-03-30,0,0,0,0,4.0,0.0,28.0,0.0
428908,Carneiros,2020-03-31,0,0,0,0,0.0,0.0,0.0,0.0
428909,Carneiros,2020-04-01,0,0,0,0,0.0,0.0,0.0,0.0
428910,Carneiros,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
428911,Carneiros,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
428912,Carneiros,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
428913,Carneiros,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
428914,Carneiros,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
428915,Carneiros,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
428916,Carneiros,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
428917,Carneiros,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
428918,Carneiros,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
428919,Carneiros,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
428920,Carneiros,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
428921,Carneiros,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
428922,Carneiros,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
428923,Carneiros,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
428924,Carneiros,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
428925,Carneiros,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
428926,Carneiros,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
428927,Carneiros,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
428928,Carneiros,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
428929,Carneiros,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
428930,Carneiros,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
428931,Carneiros,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
428932,Carneiros,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
428933,Carneiros,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
428934,Carneiros,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
428935,Carneiros,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
428936,Carneiros,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
428937,Carneiros,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
428938,Carneiros,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
428939,Carneiros,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
428940,Carneiros,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
428941,Carneiros,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
428942,Carneiros,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
428943,Carneiros,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
428944,Carneiros,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
428945,Carneiros,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
428946,Carneiros,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
428947,Carneiros,2020-05-09,0,0,0,0,0.0,0.0,0.0,0.0
428948,Carneiros,2020-05-10,0,0,0,0,0.0,0.0,0.0,0.0
428949,Carneiros,2020-05-11,0,0,0,0,0.0,0.0,0.0,0.0
428950,Carneiros,2020-05-12,0,0,0,0,0.0,0.0,0.0,0.0
428951,Carneiros,2020-05-13,0,0,0,0,0.0,0.0,0.0,0.0
428952,Carneiros,2020-05-14,0,0,0,0,0.0,0.0,0.0,0.0
428953,Carneiros,2020-05-15,3,3,0,0,0.42857142857142855,0.0,3.0,0.0
428954,Carneiros,2020-05-16,4,1,0,0,0.5714285714285714,0.0,4.0,0.0
428955,Carneiros,2020-05-17,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
428956,Carneiros,2020-05-18,5,1,0,0,0.7142857142857143,0.0,5.0,0.0
428957,Carneiros,2020-05-19,5,0,0,0,0.7142857142857143,0.0,5.0,0.0
428958,Carneiros,2020-05-20,5,0,0,0,0.7142857142857143,0.0,5.0,0.0
428959,Carneiros,2020-05-21,5,0,0,0,0.7142857142857143,0.0,5.0,0.0
428960,Carneiros,2020-05-22,5,0,0,0,0.2857142857142857,0.0,2.0,0.0
428961,Carneiros,2020-05-23,7,2,0,0,0.42857142857142855,0.0,3.0,0.0
428962,Carneiros,2020-05-24,10,3,0,0,0.8571428571428571,0.0,6.0,0.0
428963,Carneiros,2020-05-25,10,0,0,0,0.7142857142857143,0.0,5.0,0.0
428964,Carneiros,2020-05-26,11,1,0,0,0.8571428571428571,0.0,6.0,0.0
