index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
465774,Carrasco Bonito,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
465775,Carrasco Bonito,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
465776,Carrasco Bonito,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
465777,Carrasco Bonito,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
465778,Carrasco Bonito,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
465779,Carrasco Bonito,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
465780,Carrasco Bonito,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
465781,Carrasco Bonito,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
465782,Carrasco Bonito,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
465783,Carrasco Bonito,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
465784,Carrasco Bonito,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
465785,Carrasco Bonito,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
465786,Carrasco Bonito,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
465787,Carrasco Bonito,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
465788,Carrasco Bonito,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
465789,Carrasco Bonito,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
465790,Carrasco Bonito,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
465791,Carrasco Bonito,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
465792,Carrasco Bonito,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
465793,Carrasco Bonito,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
465794,Carrasco Bonito,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
465795,Carrasco Bonito,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
465796,Carrasco Bonito,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
465797,Carrasco Bonito,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
465798,Carrasco Bonito,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
465799,Carrasco Bonito,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
465800,Carrasco Bonito,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
465801,Carrasco Bonito,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
465802,Carrasco Bonito,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
465803,Carrasco Bonito,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
465804,Carrasco Bonito,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
465805,Carrasco Bonito,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
465806,Carrasco Bonito,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
465807,Carrasco Bonito,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
465808,Carrasco Bonito,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
465809,Carrasco Bonito,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
465810,Carrasco Bonito,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
465811,Carrasco Bonito,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
465812,Carrasco Bonito,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
465813,Carrasco Bonito,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
465814,Carrasco Bonito,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
465815,Carrasco Bonito,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
465816,Carrasco Bonito,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
465817,Carrasco Bonito,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
465818,Carrasco Bonito,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
465819,Carrasco Bonito,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
465820,Carrasco Bonito,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
465821,Carrasco Bonito,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
