index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
484728,Castelo do Piauí,2020-03-27,0.0,0,0,0,8.428571428571429,0.14285714285714285,59.0,1.0
484729,Castelo do Piauí,2020-03-28,0.0,0,0,0,8.285714285714286,0.14285714285714285,58.0,1.0
484730,Castelo do Piauí,2020-03-29,0.0,0,0,0,7.857142857142857,0.14285714285714285,55.0,1.0
484731,Castelo do Piauí,2020-03-30,0.0,0,0,0,6.714285714285714,0.0,47.0,0.0
484732,Castelo do Piauí,2020-03-31,0.0,0,0,0,6.285714285714286,0.0,44.0,0.0
484733,Castelo do Piauí,2020-04-01,0.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
484734,Castelo do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
484735,Castelo do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
484736,Castelo do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
484737,Castelo do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
484738,Castelo do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
484739,Castelo do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
484740,Castelo do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
484741,Castelo do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
484742,Castelo do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
484743,Castelo do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
484744,Castelo do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
484745,Castelo do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
484746,Castelo do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
484747,Castelo do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
484748,Castelo do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
484749,Castelo do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
484750,Castelo do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
484751,Castelo do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
484752,Castelo do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
484753,Castelo do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
484754,Castelo do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
484755,Castelo do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
484756,Castelo do Piauí,2020-04-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
484757,Castelo do Piauí,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
