municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Cerquilho,27-03-2020,0,0,0,0,5.0,0.14285714285714285,35.0,1.0
Cerquilho,28-03-2020,0,0,0,0,4.285714285714286,0.0,30.0,0.0
Cerquilho,29-03-2020,0,0,0,0,3.0,0.0,21.0,0.0
Cerquilho,30-03-2020,0,0,0,0,2.857142857142857,0.0,20.0,0.0
Cerquilho,31-03-2020,0,0,0,0,2.857142857142857,0.0,20.0,0.0
Cerquilho,01-04-2020,0,0,0,0,2.7142857142857144,0.0,19.0,0.0
Cerquilho,02-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,03-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,04-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,05-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,06-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,07-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,08-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,09-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,10-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,11-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,12-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,13-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,14-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,15-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,16-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,17-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,18-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,19-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,20-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,21-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,22-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,23-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,24-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,25-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,26-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,27-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,28-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,29-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,30-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,01-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Cerquilho,02-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
