index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
491436,Cerro Grande,2020-03-27,0.0,0,0,0,1.4285714285714286,0.14285714285714285,10.0,1.0
491437,Cerro Grande,2020-03-28,0.0,0,0,0,1.5714285714285714,0.14285714285714285,11.0,1.0
491438,Cerro Grande,2020-03-29,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
491439,Cerro Grande,2020-03-30,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
491440,Cerro Grande,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
491441,Cerro Grande,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
491442,Cerro Grande,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
491443,Cerro Grande,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
491444,Cerro Grande,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
491445,Cerro Grande,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
491446,Cerro Grande,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
491447,Cerro Grande,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
491448,Cerro Grande,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
491449,Cerro Grande,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
491450,Cerro Grande,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
491451,Cerro Grande,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
491452,Cerro Grande,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
491453,Cerro Grande,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
491454,Cerro Grande,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
491455,Cerro Grande,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
491456,Cerro Grande,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
491457,Cerro Grande,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
491458,Cerro Grande,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
491459,Cerro Grande,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
491460,Cerro Grande,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
491461,Cerro Grande,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
491462,Cerro Grande,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
491463,Cerro Grande,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
491464,Cerro Grande,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
491465,Cerro Grande,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
491466,Cerro Grande,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
491467,Cerro Grande,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
491468,Cerro Grande,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
491469,Cerro Grande,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
491470,Cerro Grande,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
