index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
512796,Chapada de Areia,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
512797,Chapada de Areia,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
512798,Chapada de Areia,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
512799,Chapada de Areia,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
512800,Chapada de Areia,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
512801,Chapada de Areia,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
512802,Chapada de Areia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
512803,Chapada de Areia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
512804,Chapada de Areia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
512805,Chapada de Areia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
512806,Chapada de Areia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
512807,Chapada de Areia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
512808,Chapada de Areia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
512809,Chapada de Areia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
512810,Chapada de Areia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
512811,Chapada de Areia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
512812,Chapada de Areia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
512813,Chapada de Areia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
512814,Chapada de Areia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
512815,Chapada de Areia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
512816,Chapada de Areia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
512817,Chapada de Areia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
512818,Chapada de Areia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
512819,Chapada de Areia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
512820,Chapada de Areia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
512821,Chapada de Areia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
512822,Chapada de Areia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
512823,Chapada de Areia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
512824,Chapada de Areia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
512825,Chapada de Areia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
512826,Chapada de Areia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
512827,Chapada de Areia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
512828,Chapada de Areia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
512829,Chapada de Areia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
512830,Chapada de Areia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
512831,Chapada de Areia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
512832,Chapada de Areia,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
512833,Chapada de Areia,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
512834,Chapada de Areia,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
512835,Chapada de Areia,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
512836,Chapada de Areia,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
512837,Chapada de Areia,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
512838,Chapada de Areia,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
512839,Chapada de Areia,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
512840,Chapada de Areia,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
512841,Chapada de Areia,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
512842,Chapada de Areia,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
512843,Chapada de Areia,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
512844,Chapada de Areia,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
512845,Chapada de Areia,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
512846,Chapada de Areia,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
512847,Chapada de Areia,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
512848,Chapada de Areia,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
512849,Chapada de Areia,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
512850,Chapada de Areia,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
512851,Chapada de Areia,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
512852,Chapada de Areia,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
512853,Chapada de Areia,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
512854,Chapada de Areia,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
512855,Chapada de Areia,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
512856,Chapada de Areia,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
512857,Chapada de Areia,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
512858,Chapada de Areia,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
512859,Chapada de Areia,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
512860,Chapada de Areia,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
512861,Chapada de Areia,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
512862,Chapada de Areia,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
512863,Chapada de Areia,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
512864,Chapada de Areia,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
512865,Chapada de Areia,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
512866,Chapada de Areia,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
512867,Chapada de Areia,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
512868,Chapada de Areia,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
512869,Chapada de Areia,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
512870,Chapada de Areia,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
512871,Chapada de Areia,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
512872,Chapada de Areia,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
512873,Chapada de Areia,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
512874,Chapada de Areia,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
512875,Chapada de Areia,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
512876,Chapada de Areia,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
512877,Chapada de Areia,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
512878,Chapada de Areia,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
512879,Chapada de Areia,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
512880,Chapada de Areia,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
512881,Chapada de Areia,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
512882,Chapada de Areia,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
512883,Chapada de Areia,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
512884,Chapada de Areia,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
512885,Chapada de Areia,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
512886,Chapada de Areia,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
512887,Chapada de Areia,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
512888,Chapada de Areia,2020-06-27,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
512889,Chapada de Areia,2020-06-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512890,Chapada de Areia,2020-06-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512891,Chapada de Areia,2020-06-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512892,Chapada de Areia,2020-07-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512893,Chapada de Areia,2020-07-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512894,Chapada de Areia,2020-07-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512895,Chapada de Areia,2020-07-04,1.0,0,0,0,0.0,0.0,0.0,0.0
512896,Chapada de Areia,2020-07-05,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
512897,Chapada de Areia,2020-07-06,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512898,Chapada de Areia,2020-07-07,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512899,Chapada de Areia,2020-07-08,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512900,Chapada de Areia,2020-07-09,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512901,Chapada de Areia,2020-07-10,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512902,Chapada de Areia,2020-07-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512903,Chapada de Areia,2020-07-12,2.0,0,0,0,0.0,0.0,0.0,0.0
512904,Chapada de Areia,2020-07-13,2.0,0,0,0,0.0,0.0,0.0,0.0
512905,Chapada de Areia,2020-07-14,2.0,0,0,0,0.0,0.0,0.0,0.0
512906,Chapada de Areia,2020-07-15,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
512907,Chapada de Areia,2020-07-16,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512908,Chapada de Areia,2020-07-17,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512909,Chapada de Areia,2020-07-18,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512910,Chapada de Areia,2020-07-19,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
512911,Chapada de Areia,2020-07-20,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
512912,Chapada de Areia,2020-07-21,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
512913,Chapada de Areia,2020-07-22,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512914,Chapada de Areia,2020-07-23,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512915,Chapada de Areia,2020-07-24,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
512916,Chapada de Areia,2020-07-25,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
512917,Chapada de Areia,2020-07-26,7.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
512918,Chapada de Areia,2020-07-27,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
512919,Chapada de Areia,2020-07-28,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
512920,Chapada de Areia,2020-07-29,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
512921,Chapada de Areia,2020-07-30,11.0,4,0,0,1.0,0.0,7.0,0.0
512922,Chapada de Areia,2020-07-31,11.0,0,0,0,1.0,0.0,7.0,0.0
512923,Chapada de Areia,2020-08-01,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
512924,Chapada de Areia,2020-08-02,12.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
512925,Chapada de Areia,2020-08-03,12.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
512926,Chapada de Areia,2020-08-04,12.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
512927,Chapada de Areia,2020-08-05,12.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
