index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
493620,Charqueada,2020-03-27,0.0,0,0,0,44.142857142857146,1.5714285714285714,309.0,11.0
493621,Charqueada,2020-03-28,0.0,0,0,0,33.285714285714285,0.5714285714285714,233.0,4.0
493622,Charqueada,2020-03-29,0.0,0,0,0,33.285714285714285,0.42857142857142855,233.0,3.0
493623,Charqueada,2020-03-30,0.0,0,0,0,30.0,0.2857142857142857,210.0,2.0
493624,Charqueada,2020-03-31,0.0,0,0,0,24.285714285714285,0.2857142857142857,170.0,2.0
493625,Charqueada,2020-04-01,0.0,0,0,0,10.142857142857142,0.14285714285714285,71.0,1.0
493626,Charqueada,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
493627,Charqueada,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
493628,Charqueada,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
493629,Charqueada,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
493630,Charqueada,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
493631,Charqueada,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
493632,Charqueada,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
493633,Charqueada,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
493634,Charqueada,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
493635,Charqueada,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
493636,Charqueada,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
493637,Charqueada,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
493638,Charqueada,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
493639,Charqueada,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
493640,Charqueada,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
493641,Charqueada,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
493642,Charqueada,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
493643,Charqueada,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
493644,Charqueada,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
493645,Charqueada,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
493646,Charqueada,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
493647,Charqueada,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
493648,Charqueada,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
493649,Charqueada,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
493650,Charqueada,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
493651,Charqueada,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
493652,Charqueada,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
493653,Charqueada,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
493654,Charqueada,2020-04-30,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
493655,Charqueada,2020-05-01,4.0,3,1,1,0.5714285714285714,0.14285714285714285,4.0,1.0
493656,Charqueada,2020-05-02,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
493657,Charqueada,2020-05-03,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
493658,Charqueada,2020-05-04,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
493659,Charqueada,2020-05-05,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
493660,Charqueada,2020-05-06,4.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
493661,Charqueada,2020-05-07,7.0,3,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
493662,Charqueada,2020-05-08,10.0,3,1,0,0.8571428571428571,0.0,6.0,0.0
493663,Charqueada,2020-05-09,10.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
493664,Charqueada,2020-05-10,10.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
493665,Charqueada,2020-05-11,10.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
493666,Charqueada,2020-05-12,10.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
493667,Charqueada,2020-05-13,15.0,5,1,0,1.5714285714285714,0.0,11.0,0.0
493668,Charqueada,2020-05-14,17.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
493669,Charqueada,2020-05-15,18.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
493670,Charqueada,2020-05-16,18.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
493671,Charqueada,2020-05-17,18.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
493672,Charqueada,2020-05-18,22.0,4,1,0,1.7142857142857142,0.0,12.0,0.0
493673,Charqueada,2020-05-19,29.0,7,2,1,2.7142857142857144,0.14285714285714285,19.0,1.0
493674,Charqueada,2020-05-20,30.0,1,3,1,2.142857142857143,0.2857142857142857,15.0,2.0
493675,Charqueada,2020-05-21,33.0,3,3,0,2.2857142857142856,0.2857142857142857,16.0,2.0
493676,Charqueada,2020-05-22,33.0,0,3,0,2.142857142857143,0.2857142857142857,15.0,2.0
493677,Charqueada,2020-05-23,46.0,13,3,0,4.0,0.2857142857142857,28.0,2.0
493678,Charqueada,2020-05-24,46.0,0,3,0,4.0,0.2857142857142857,28.0,2.0
493679,Charqueada,2020-05-25,46.0,0,3,0,3.4285714285714284,0.2857142857142857,24.0,2.0
493680,Charqueada,2020-05-26,46.0,0,3,0,2.4285714285714284,0.14285714285714285,17.0,1.0
493681,Charqueada,2020-05-27,52.0,6,3,0,3.142857142857143,0.0,22.0,0.0
493682,Charqueada,2020-05-28,53.0,1,3,0,2.857142857142857,0.0,20.0,0.0
