index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
518336,Chã Preta,2020-03-27,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
518337,Chã Preta,2020-03-28,0.0,0,0,0,1.1428571428571428,0.14285714285714285,8.0,1.0
518338,Chã Preta,2020-03-29,0.0,0,0,0,1.0,0.14285714285714285,7.0,1.0
518339,Chã Preta,2020-03-30,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
518340,Chã Preta,2020-03-31,0.0,0,0,0,2.0,0.0,14.0,0.0
518341,Chã Preta,2020-04-01,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
518342,Chã Preta,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
518343,Chã Preta,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
518344,Chã Preta,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
518345,Chã Preta,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
518346,Chã Preta,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
518347,Chã Preta,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
518348,Chã Preta,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
518349,Chã Preta,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
518350,Chã Preta,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
518351,Chã Preta,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
518352,Chã Preta,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
518353,Chã Preta,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
518354,Chã Preta,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
518355,Chã Preta,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
518356,Chã Preta,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
518357,Chã Preta,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
518358,Chã Preta,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
518359,Chã Preta,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
