index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
521920,Cipó,2020-03-27,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
521921,Cipó,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
521922,Cipó,2020-03-29,0.0,0,0,0,1.0,0.0,7.0,0.0
521923,Cipó,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
521924,Cipó,2020-03-31,0.0,0,0,0,1.0,0.0,7.0,0.0
521925,Cipó,2020-04-01,0.0,0,0,0,1.0,0.0,7.0,0.0
521926,Cipó,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
521927,Cipó,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
521928,Cipó,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
521929,Cipó,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
521930,Cipó,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
521931,Cipó,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
521932,Cipó,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
521933,Cipó,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
521934,Cipó,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
521935,Cipó,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
521936,Cipó,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
521937,Cipó,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
521938,Cipó,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
521939,Cipó,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
521940,Cipó,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
521941,Cipó,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
521942,Cipó,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
521943,Cipó,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
521944,Cipó,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
521945,Cipó,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
521946,Cipó,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
521947,Cipó,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
521948,Cipó,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
521949,Cipó,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
521950,Cipó,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
521951,Cipó,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
521952,Cipó,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
521953,Cipó,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
521954,Cipó,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
521955,Cipó,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
521956,Cipó,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
521957,Cipó,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
521958,Cipó,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
521959,Cipó,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
521960,Cipó,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
521961,Cipó,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
521962,Cipó,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
521963,Cipó,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
521964,Cipó,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
521965,Cipó,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
521966,Cipó,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
521967,Cipó,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
521968,Cipó,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
521969,Cipó,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
521970,Cipó,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
521971,Cipó,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
521972,Cipó,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
521973,Cipó,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
521974,Cipó,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
521975,Cipó,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
521976,Cipó,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
521977,Cipó,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
521978,Cipó,2020-05-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
521979,Cipó,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521980,Cipó,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521981,Cipó,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521982,Cipó,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521983,Cipó,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521984,Cipó,2020-05-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521985,Cipó,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
521986,Cipó,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
521987,Cipó,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
521988,Cipó,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
521989,Cipó,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
521990,Cipó,2020-06-05,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
521991,Cipó,2020-06-06,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521992,Cipó,2020-06-07,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521993,Cipó,2020-06-08,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521994,Cipó,2020-06-09,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521995,Cipó,2020-06-10,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
521996,Cipó,2020-06-11,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
521997,Cipó,2020-06-12,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521998,Cipó,2020-06-13,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
521999,Cipó,2020-06-14,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
522000,Cipó,2020-06-15,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
522001,Cipó,2020-06-16,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
522002,Cipó,2020-06-17,3.0,-1,0,0,0.0,0.0,0.0,0.0
522003,Cipó,2020-06-18,3.0,0,0,0,0.0,0.0,0.0,0.0
522004,Cipó,2020-06-19,3.0,0,0,0,0.0,0.0,0.0,0.0
522005,Cipó,2020-06-20,3.0,0,0,0,0.0,0.0,0.0,0.0
522006,Cipó,2020-06-21,3.0,0,0,0,0.0,0.0,0.0,0.0
522007,Cipó,2020-06-22,3.0,0,0,0,0.0,0.0,0.0,0.0
522008,Cipó,2020-06-23,3.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
522009,Cipó,2020-06-24,3.0,0,0,0,0.0,0.0,0.0,0.0
522010,Cipó,2020-06-25,3.0,0,0,0,0.0,0.0,0.0,0.0
522011,Cipó,2020-06-26,3.0,0,0,0,0.0,0.0,0.0,0.0
522012,Cipó,2020-06-27,17.0,14,0,0,2.0,0.0,14.0,0.0
522013,Cipó,2020-06-28,18.0,1,0,0,2.142857142857143,0.0,15.0,0.0
522014,Cipó,2020-06-29,18.0,0,0,0,2.142857142857143,0.0,15.0,0.0
522015,Cipó,2020-06-30,19.0,1,0,0,2.2857142857142856,0.0,16.0,0.0
522016,Cipó,2020-07-01,27.0,8,0,0,3.4285714285714284,0.0,24.0,0.0
522017,Cipó,2020-07-02,27.0,0,0,0,3.4285714285714284,0.0,24.0,0.0
522018,Cipó,2020-07-03,29.0,2,0,0,3.7142857142857144,0.0,26.0,0.0
522019,Cipó,2020-07-04,31.0,2,0,0,2.0,0.0,14.0,0.0
522020,Cipó,2020-07-05,33.0,2,0,0,2.142857142857143,0.0,15.0,0.0
522021,Cipó,2020-07-06,33.0,0,0,0,2.142857142857143,0.0,15.0,0.0
