index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
509354,Comendador Levy Gasparian,2020-03-27,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
509355,Comendador Levy Gasparian,2020-03-28,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
509356,Comendador Levy Gasparian,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
509357,Comendador Levy Gasparian,2020-03-30,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
509358,Comendador Levy Gasparian,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
509359,Comendador Levy Gasparian,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
509360,Comendador Levy Gasparian,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
509361,Comendador Levy Gasparian,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
509362,Comendador Levy Gasparian,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
509363,Comendador Levy Gasparian,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
509364,Comendador Levy Gasparian,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
509365,Comendador Levy Gasparian,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
509366,Comendador Levy Gasparian,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
509367,Comendador Levy Gasparian,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
509368,Comendador Levy Gasparian,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
509369,Comendador Levy Gasparian,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
509370,Comendador Levy Gasparian,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
509371,Comendador Levy Gasparian,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
509372,Comendador Levy Gasparian,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
509373,Comendador Levy Gasparian,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
509374,Comendador Levy Gasparian,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
509375,Comendador Levy Gasparian,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
509376,Comendador Levy Gasparian,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
509377,Comendador Levy Gasparian,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
509378,Comendador Levy Gasparian,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
509379,Comendador Levy Gasparian,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
509380,Comendador Levy Gasparian,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
509381,Comendador Levy Gasparian,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
509382,Comendador Levy Gasparian,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
509383,Comendador Levy Gasparian,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
509384,Comendador Levy Gasparian,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
509385,Comendador Levy Gasparian,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
509386,Comendador Levy Gasparian,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
509387,Comendador Levy Gasparian,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
509388,Comendador Levy Gasparian,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
509389,Comendador Levy Gasparian,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
509390,Comendador Levy Gasparian,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
509391,Comendador Levy Gasparian,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
509392,Comendador Levy Gasparian,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
509393,Comendador Levy Gasparian,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
509394,Comendador Levy Gasparian,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
