index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
508247,Conceição da Barra de Minas,2020-03-27,0.0,0,0,0,5.428571428571429,0.42857142857142855,38.0,3.0
508248,Conceição da Barra de Minas,2020-03-28,0.0,0,0,0,4.428571428571429,0.42857142857142855,31.0,3.0
508249,Conceição da Barra de Minas,2020-03-29,0.0,0,0,0,3.4285714285714284,0.42857142857142855,24.0,3.0
508250,Conceição da Barra de Minas,2020-03-30,0.0,0,0,0,2.142857142857143,0.42857142857142855,15.0,3.0
508251,Conceição da Barra de Minas,2020-03-31,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
508252,Conceição da Barra de Minas,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
508253,Conceição da Barra de Minas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
508254,Conceição da Barra de Minas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
508255,Conceição da Barra de Minas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
508256,Conceição da Barra de Minas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
508257,Conceição da Barra de Minas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
508258,Conceição da Barra de Minas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
508259,Conceição da Barra de Minas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
508260,Conceição da Barra de Minas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
508261,Conceição da Barra de Minas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
508262,Conceição da Barra de Minas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
508263,Conceição da Barra de Minas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
508264,Conceição da Barra de Minas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
508265,Conceição da Barra de Minas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
508266,Conceição da Barra de Minas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
508267,Conceição da Barra de Minas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
508268,Conceição da Barra de Minas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
508269,Conceição da Barra de Minas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
508270,Conceição da Barra de Minas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
508271,Conceição da Barra de Minas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
508272,Conceição da Barra de Minas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
508273,Conceição da Barra de Minas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
508274,Conceição da Barra de Minas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
508275,Conceição da Barra de Minas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
508276,Conceição da Barra de Minas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
508277,Conceição da Barra de Minas,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
508278,Conceição da Barra de Minas,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
508279,Conceição da Barra de Minas,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
508280,Conceição da Barra de Minas,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
508281,Conceição da Barra de Minas,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
508282,Conceição da Barra de Minas,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
508283,Conceição da Barra de Minas,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
508284,Conceição da Barra de Minas,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
508285,Conceição da Barra de Minas,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
508286,Conceição da Barra de Minas,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
508287,Conceição da Barra de Minas,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
508288,Conceição da Barra de Minas,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
508289,Conceição da Barra de Minas,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
508290,Conceição da Barra de Minas,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
508291,Conceição da Barra de Minas,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
508292,Conceição da Barra de Minas,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
508293,Conceição da Barra de Minas,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
508294,Conceição da Barra de Minas,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
508295,Conceição da Barra de Minas,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
508296,Conceição da Barra de Minas,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
508297,Conceição da Barra de Minas,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
508298,Conceição da Barra de Minas,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
508299,Conceição da Barra de Minas,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
508300,Conceição da Barra de Minas,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
508301,Conceição da Barra de Minas,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
508302,Conceição da Barra de Minas,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
508303,Conceição da Barra de Minas,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
508304,Conceição da Barra de Minas,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
508305,Conceição da Barra de Minas,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
508306,Conceição da Barra de Minas,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
508307,Conceição da Barra de Minas,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
508308,Conceição da Barra de Minas,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
508309,Conceição da Barra de Minas,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
508310,Conceição da Barra de Minas,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
508311,Conceição da Barra de Minas,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
508312,Conceição da Barra de Minas,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
508313,Conceição da Barra de Minas,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
508314,Conceição da Barra de Minas,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
508315,Conceição da Barra de Minas,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
508316,Conceição da Barra de Minas,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
508317,Conceição da Barra de Minas,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
508318,Conceição da Barra de Minas,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
508319,Conceição da Barra de Minas,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
508320,Conceição da Barra de Minas,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
508321,Conceição da Barra de Minas,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
508322,Conceição da Barra de Minas,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
508323,Conceição da Barra de Minas,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
508324,Conceição da Barra de Minas,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
508325,Conceição da Barra de Minas,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
508326,Conceição da Barra de Minas,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
508327,Conceição da Barra de Minas,2020-06-15,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
508328,Conceição da Barra de Minas,2020-06-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508329,Conceição da Barra de Minas,2020-06-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508330,Conceição da Barra de Minas,2020-06-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508331,Conceição da Barra de Minas,2020-06-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508332,Conceição da Barra de Minas,2020-06-20,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508333,Conceição da Barra de Minas,2020-06-21,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508334,Conceição da Barra de Minas,2020-06-22,1.0,0,0,0,0.0,0.0,0.0,0.0
508335,Conceição da Barra de Minas,2020-06-23,1.0,0,0,0,0.0,0.0,0.0,0.0
508336,Conceição da Barra de Minas,2020-06-24,1.0,0,0,0,0.0,0.0,0.0,0.0
508337,Conceição da Barra de Minas,2020-06-25,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
508338,Conceição da Barra de Minas,2020-06-26,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508339,Conceição da Barra de Minas,2020-06-27,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508340,Conceição da Barra de Minas,2020-06-28,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508341,Conceição da Barra de Minas,2020-06-29,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508342,Conceição da Barra de Minas,2020-06-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508343,Conceição da Barra de Minas,2020-07-01,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508344,Conceição da Barra de Minas,2020-07-02,2.0,0,0,0,0.0,0.0,0.0,0.0
508345,Conceição da Barra de Minas,2020-07-03,2.0,0,0,0,0.0,0.0,0.0,0.0
508346,Conceição da Barra de Minas,2020-07-04,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
508347,Conceição da Barra de Minas,2020-07-05,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
508348,Conceição da Barra de Minas,2020-07-06,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
508349,Conceição da Barra de Minas,2020-07-07,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
508350,Conceição da Barra de Minas,2020-07-08,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
508351,Conceição da Barra de Minas,2020-07-09,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
508352,Conceição da Barra de Minas,2020-07-10,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
508353,Conceição da Barra de Minas,2020-07-11,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508354,Conceição da Barra de Minas,2020-07-12,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508355,Conceição da Barra de Minas,2020-07-13,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508356,Conceição da Barra de Minas,2020-07-14,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508357,Conceição da Barra de Minas,2020-07-15,5.0,0,0,0,0.0,0.0,0.0,0.0
508358,Conceição da Barra de Minas,2020-07-16,5.0,0,0,0,0.0,0.0,0.0,0.0
508359,Conceição da Barra de Minas,2020-07-17,6.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
508360,Conceição da Barra de Minas,2020-07-18,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508361,Conceição da Barra de Minas,2020-07-19,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508362,Conceição da Barra de Minas,2020-07-20,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508363,Conceição da Barra de Minas,2020-07-21,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508364,Conceição da Barra de Minas,2020-07-22,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508365,Conceição da Barra de Minas,2020-07-23,7.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
508366,Conceição da Barra de Minas,2020-07-24,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508367,Conceição da Barra de Minas,2020-07-25,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508368,Conceição da Barra de Minas,2020-07-26,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508369,Conceição da Barra de Minas,2020-07-27,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508370,Conceição da Barra de Minas,2020-07-28,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508371,Conceição da Barra de Minas,2020-07-29,8.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
508372,Conceição da Barra de Minas,2020-07-30,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508373,Conceição da Barra de Minas,2020-07-31,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508374,Conceição da Barra de Minas,2020-08-01,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
508375,Conceição da Barra de Minas,2020-08-02,13.0,5,0,0,0.8571428571428571,0.0,6.0,0.0
508376,Conceição da Barra de Minas,2020-08-03,13.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
508377,Conceição da Barra de Minas,2020-08-04,13.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
508378,Conceição da Barra de Minas,2020-08-05,13.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
508379,Conceição da Barra de Minas,2020-08-06,13.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
508380,Conceição da Barra de Minas,2020-08-07,13.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
508381,Conceição da Barra de Minas,2020-08-08,13.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
508382,Conceição da Barra de Minas,2020-08-09,13.0,0,0,0,0.0,0.0,0.0,0.0
508383,Conceição da Barra de Minas,2020-08-10,13.0,0,0,0,0.0,0.0,0.0,0.0
508384,Conceição da Barra de Minas,2020-08-11,13.0,0,0,0,0.0,0.0,0.0,0.0
508385,Conceição da Barra de Minas,2020-08-12,13.0,0,0,0,0.0,0.0,0.0,0.0
508386,Conceição da Barra de Minas,2020-08-13,13.0,0,0,0,0.0,0.0,0.0,0.0
508387,Conceição da Barra de Minas,2020-08-14,13.0,0,0,0,0.0,0.0,0.0,0.0
508388,Conceição da Barra de Minas,2020-08-15,13.0,0,0,0,0.0,0.0,0.0,0.0
508389,Conceição da Barra de Minas,2020-08-16,13.0,0,0,0,0.0,0.0,0.0,0.0
508390,Conceição da Barra de Minas,2020-08-17,13.0,0,0,0,0.0,0.0,0.0,0.0
508391,Conceição da Barra de Minas,2020-08-18,13.0,0,0,0,0.0,0.0,0.0,0.0
