municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Concórdia do Pará,2020-03-27,0,0,0,0,45.857142857142854,0.7142857142857143,321.0,5.0
Concórdia do Pará,2020-03-28,0,0,0,0,36.285714285714285,0.42857142857142855,254.0,3.0
Concórdia do Pará,2020-03-29,0,0,0,0,33.42857142857143,0.2857142857142857,234.0,2.0
Concórdia do Pará,2020-03-30,0,0,0,0,28.428571428571427,0.2857142857142857,199.0,2.0
Concórdia do Pará,2020-03-31,0,0,0,0,17.0,0.0,119.0,0.0
Concórdia do Pará,2020-04-01,0,0,0,0,10.857142857142858,0.0,76.0,0.0
Concórdia do Pará,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
Concórdia do Pará,2020-04-23,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
Concórdia do Pará,2020-04-24,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
