index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
580360,Coxilha,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
580361,Coxilha,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
580362,Coxilha,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
580363,Coxilha,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
580364,Coxilha,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
580365,Coxilha,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
580366,Coxilha,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
580367,Coxilha,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
580368,Coxilha,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
580369,Coxilha,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
580370,Coxilha,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
580371,Coxilha,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
580372,Coxilha,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
580373,Coxilha,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
580374,Coxilha,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
580375,Coxilha,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
580376,Coxilha,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
580377,Coxilha,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
580378,Coxilha,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
580379,Coxilha,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
580380,Coxilha,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
580381,Coxilha,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
580382,Coxilha,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
580383,Coxilha,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
580384,Coxilha,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
580385,Coxilha,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
580386,Coxilha,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
580387,Coxilha,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
580388,Coxilha,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
580389,Coxilha,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
