index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
591772,Cromínia,2020-03-27,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
591773,Cromínia,2020-03-28,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
591774,Cromínia,2020-03-29,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
591775,Cromínia,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591776,Cromínia,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591777,Cromínia,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591778,Cromínia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
591779,Cromínia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
591780,Cromínia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
591781,Cromínia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
591782,Cromínia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
591783,Cromínia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
591784,Cromínia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
591785,Cromínia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
591786,Cromínia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
591787,Cromínia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
591788,Cromínia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
591789,Cromínia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
591790,Cromínia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
591791,Cromínia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
591792,Cromínia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
591793,Cromínia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
591794,Cromínia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
591795,Cromínia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
591796,Cromínia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
591797,Cromínia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
591798,Cromínia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
591799,Cromínia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
591800,Cromínia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
591801,Cromínia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
591802,Cromínia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
591803,Cromínia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
591804,Cromínia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
591805,Cromínia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
591806,Cromínia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
591807,Cromínia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
591808,Cromínia,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
591809,Cromínia,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
591810,Cromínia,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
591811,Cromínia,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
591812,Cromínia,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
591813,Cromínia,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
591814,Cromínia,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
591815,Cromínia,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
591816,Cromínia,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
591817,Cromínia,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
591818,Cromínia,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
591819,Cromínia,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
591820,Cromínia,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
591821,Cromínia,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
591822,Cromínia,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
591823,Cromínia,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
591824,Cromínia,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
591825,Cromínia,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
591826,Cromínia,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
591827,Cromínia,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
591828,Cromínia,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
591829,Cromínia,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
591830,Cromínia,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
591831,Cromínia,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
591832,Cromínia,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
591833,Cromínia,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
591834,Cromínia,2020-05-28,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
591835,Cromínia,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591836,Cromínia,2020-05-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591837,Cromínia,2020-05-31,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591838,Cromínia,2020-06-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591839,Cromínia,2020-06-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591840,Cromínia,2020-06-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591841,Cromínia,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
591842,Cromínia,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
591843,Cromínia,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
591844,Cromínia,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
591845,Cromínia,2020-06-08,1.0,0,0,0,0.0,0.0,0.0,0.0
591846,Cromínia,2020-06-09,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
591847,Cromínia,2020-06-10,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591848,Cromínia,2020-06-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591849,Cromínia,2020-06-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591850,Cromínia,2020-06-13,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591851,Cromínia,2020-06-14,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591852,Cromínia,2020-06-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591853,Cromínia,2020-06-16,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
591854,Cromínia,2020-06-17,2.0,-1,0,0,0.0,0.0,0.0,0.0
591855,Cromínia,2020-06-18,2.0,0,0,0,0.0,0.0,0.0,0.0
591856,Cromínia,2020-06-19,2.0,0,0,0,0.0,0.0,0.0,0.0
591857,Cromínia,2020-06-20,2.0,0,0,0,0.0,0.0,0.0,0.0
591858,Cromínia,2020-06-21,2.0,0,0,0,0.0,0.0,0.0,0.0
591859,Cromínia,2020-06-22,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
591860,Cromínia,2020-06-23,3.0,0,0,0,0.0,0.0,0.0,0.0
591861,Cromínia,2020-06-24,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591862,Cromínia,2020-06-25,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591863,Cromínia,2020-06-26,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591864,Cromínia,2020-06-27,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591865,Cromínia,2020-06-28,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591866,Cromínia,2020-06-29,3.0,0,0,0,0.0,0.0,0.0,0.0
591867,Cromínia,2020-06-30,3.0,0,0,0,0.0,0.0,0.0,0.0
591868,Cromínia,2020-07-01,3.0,0,0,0,0.0,0.0,0.0,0.0
591869,Cromínia,2020-07-02,3.0,0,0,0,0.0,0.0,0.0,0.0
591870,Cromínia,2020-07-03,3.0,0,0,0,0.0,0.0,0.0,0.0
591871,Cromínia,2020-07-04,3.0,0,0,0,0.0,0.0,0.0,0.0
591872,Cromínia,2020-07-05,3.0,0,0,0,0.0,0.0,0.0,0.0
591873,Cromínia,2020-07-06,3.0,0,0,0,0.0,0.0,0.0,0.0
591874,Cromínia,2020-07-07,3.0,0,0,0,0.0,0.0,0.0,0.0
591875,Cromínia,2020-07-08,3.0,0,0,0,0.0,0.0,0.0,0.0
591876,Cromínia,2020-07-09,3.0,0,0,0,0.0,0.0,0.0,0.0
591877,Cromínia,2020-07-10,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
591878,Cromínia,2020-07-11,8.0,4,0,0,0.7142857142857143,0.0,5.0,0.0
591879,Cromínia,2020-07-12,8.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
591880,Cromínia,2020-07-13,8.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
591881,Cromínia,2020-07-14,9.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
591882,Cromínia,2020-07-15,9.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
591883,Cromínia,2020-07-16,9.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
591884,Cromínia,2020-07-17,9.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
591885,Cromínia,2020-07-18,9.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
591886,Cromínia,2020-07-19,9.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
