index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
583940,Cruzeiro do Iguaçu,2020-03-27,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
583941,Cruzeiro do Iguaçu,2020-03-28,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
583942,Cruzeiro do Iguaçu,2020-03-29,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
583943,Cruzeiro do Iguaçu,2020-03-30,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
583944,Cruzeiro do Iguaçu,2020-03-31,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
583945,Cruzeiro do Iguaçu,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
583946,Cruzeiro do Iguaçu,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
583947,Cruzeiro do Iguaçu,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
583948,Cruzeiro do Iguaçu,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
583949,Cruzeiro do Iguaçu,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
583950,Cruzeiro do Iguaçu,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
583951,Cruzeiro do Iguaçu,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
583952,Cruzeiro do Iguaçu,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
583953,Cruzeiro do Iguaçu,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
583954,Cruzeiro do Iguaçu,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
583955,Cruzeiro do Iguaçu,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
583956,Cruzeiro do Iguaçu,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
583957,Cruzeiro do Iguaçu,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
583958,Cruzeiro do Iguaçu,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
583959,Cruzeiro do Iguaçu,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
583960,Cruzeiro do Iguaçu,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
583961,Cruzeiro do Iguaçu,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
583962,Cruzeiro do Iguaçu,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
583963,Cruzeiro do Iguaçu,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
583964,Cruzeiro do Iguaçu,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
583965,Cruzeiro do Iguaçu,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
583966,Cruzeiro do Iguaçu,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
583967,Cruzeiro do Iguaçu,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
583968,Cruzeiro do Iguaçu,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
583969,Cruzeiro do Iguaçu,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
583970,Cruzeiro do Iguaçu,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
583971,Cruzeiro do Iguaçu,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
583972,Cruzeiro do Iguaçu,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
583973,Cruzeiro do Iguaçu,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
583974,Cruzeiro do Iguaçu,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
583975,Cruzeiro do Iguaçu,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
583976,Cruzeiro do Iguaçu,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
583977,Cruzeiro do Iguaçu,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
583978,Cruzeiro do Iguaçu,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
583979,Cruzeiro do Iguaçu,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
583980,Cruzeiro do Iguaçu,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
583981,Cruzeiro do Iguaçu,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
583982,Cruzeiro do Iguaçu,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
583983,Cruzeiro do Iguaçu,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
583984,Cruzeiro do Iguaçu,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
583985,Cruzeiro do Iguaçu,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
583986,Cruzeiro do Iguaçu,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
583987,Cruzeiro do Iguaçu,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
583988,Cruzeiro do Iguaçu,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
583989,Cruzeiro do Iguaçu,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
583990,Cruzeiro do Iguaçu,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
583991,Cruzeiro do Iguaçu,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
583992,Cruzeiro do Iguaçu,2020-05-18,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
583993,Cruzeiro do Iguaçu,2020-05-19,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
583994,Cruzeiro do Iguaçu,2020-05-20,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
583995,Cruzeiro do Iguaçu,2020-05-21,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
583996,Cruzeiro do Iguaçu,2020-05-22,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
583997,Cruzeiro do Iguaçu,2020-05-23,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
583998,Cruzeiro do Iguaçu,2020-05-24,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
583999,Cruzeiro do Iguaçu,2020-05-25,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584000,Cruzeiro do Iguaçu,2020-05-26,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584001,Cruzeiro do Iguaçu,2020-05-27,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584002,Cruzeiro do Iguaçu,2020-05-28,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584003,Cruzeiro do Iguaçu,2020-05-29,6.0,3,0,0,0.42857142857142855,0.0,3.0,0.0
584004,Cruzeiro do Iguaçu,2020-05-30,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584005,Cruzeiro do Iguaçu,2020-05-31,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584006,Cruzeiro do Iguaçu,2020-06-01,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584007,Cruzeiro do Iguaçu,2020-06-02,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584008,Cruzeiro do Iguaçu,2020-06-03,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584009,Cruzeiro do Iguaçu,2020-06-04,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
584010,Cruzeiro do Iguaçu,2020-06-05,6.0,0,0,0,0.0,0.0,0.0,0.0
584011,Cruzeiro do Iguaçu,2020-06-06,6.0,0,0,0,0.0,0.0,0.0,0.0
584012,Cruzeiro do Iguaçu,2020-06-07,6.0,0,0,0,0.0,0.0,0.0,0.0
584013,Cruzeiro do Iguaçu,2020-06-08,6.0,0,0,0,0.0,0.0,0.0,0.0
584014,Cruzeiro do Iguaçu,2020-06-09,6.0,0,0,0,0.0,0.0,0.0,0.0
584015,Cruzeiro do Iguaçu,2020-06-10,6.0,0,0,0,0.0,0.0,0.0,0.0
584016,Cruzeiro do Iguaçu,2020-06-11,6.0,0,0,0,0.0,0.0,0.0,0.0
584017,Cruzeiro do Iguaçu,2020-06-12,6.0,0,0,0,0.0,0.0,0.0,0.0
584018,Cruzeiro do Iguaçu,2020-06-13,6.0,0,0,0,0.0,0.0,0.0,0.0
584019,Cruzeiro do Iguaçu,2020-06-14,6.0,0,0,0,0.0,0.0,0.0,0.0
584020,Cruzeiro do Iguaçu,2020-06-15,6.0,0,0,0,0.0,0.0,0.0,0.0
584021,Cruzeiro do Iguaçu,2020-06-16,6.0,0,0,0,0.0,0.0,0.0,0.0
584022,Cruzeiro do Iguaçu,2020-06-17,6.0,0,0,0,0.0,0.0,0.0,0.0
584023,Cruzeiro do Iguaçu,2020-06-18,6.0,0,0,0,0.0,0.0,0.0,0.0
584024,Cruzeiro do Iguaçu,2020-06-19,6.0,0,0,0,0.0,0.0,0.0,0.0
584025,Cruzeiro do Iguaçu,2020-06-20,6.0,0,0,0,0.0,0.0,0.0,0.0
584026,Cruzeiro do Iguaçu,2020-06-21,6.0,0,0,0,0.0,0.0,0.0,0.0
584027,Cruzeiro do Iguaçu,2020-06-22,6.0,0,0,0,0.0,0.0,0.0,0.0
584028,Cruzeiro do Iguaçu,2020-06-23,6.0,0,0,0,0.0,0.0,0.0,0.0
584029,Cruzeiro do Iguaçu,2020-06-24,7.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
584030,Cruzeiro do Iguaçu,2020-06-25,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584031,Cruzeiro do Iguaçu,2020-06-26,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584032,Cruzeiro do Iguaçu,2020-06-27,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584033,Cruzeiro do Iguaçu,2020-06-28,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
584034,Cruzeiro do Iguaçu,2020-06-29,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
