index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
638550,Damianópolis,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
638551,Damianópolis,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
638552,Damianópolis,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
638553,Damianópolis,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
638554,Damianópolis,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
638555,Damianópolis,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
638556,Damianópolis,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
638557,Damianópolis,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
638558,Damianópolis,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
638559,Damianópolis,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
638560,Damianópolis,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
638561,Damianópolis,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
638562,Damianópolis,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
638563,Damianópolis,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
638564,Damianópolis,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
638565,Damianópolis,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
638566,Damianópolis,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
638567,Damianópolis,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
638568,Damianópolis,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
638569,Damianópolis,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
638570,Damianópolis,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
638571,Damianópolis,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
638572,Damianópolis,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
638573,Damianópolis,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
638574,Damianópolis,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
638575,Damianópolis,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
638576,Damianópolis,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
638577,Damianópolis,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
638578,Damianópolis,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
638579,Damianópolis,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
638580,Damianópolis,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
638581,Damianópolis,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
638582,Damianópolis,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
638583,Damianópolis,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
638584,Damianópolis,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
638585,Damianópolis,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
638586,Damianópolis,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
638587,Damianópolis,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
638588,Damianópolis,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
638589,Damianópolis,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
638590,Damianópolis,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
638591,Damianópolis,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
638592,Damianópolis,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
638593,Damianópolis,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
638594,Damianópolis,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
638595,Damianópolis,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
638596,Damianópolis,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
638597,Damianópolis,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
638598,Damianópolis,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
638599,Damianópolis,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
638600,Damianópolis,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
638601,Damianópolis,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
638602,Damianópolis,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
638603,Damianópolis,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
638604,Damianópolis,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
638605,Damianópolis,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
638606,Damianópolis,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
638607,Damianópolis,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
638608,Damianópolis,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
638609,Damianópolis,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
638610,Damianópolis,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
638611,Damianópolis,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
638612,Damianópolis,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
638613,Damianópolis,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
638614,Damianópolis,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
638615,Damianópolis,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
638616,Damianópolis,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
638617,Damianópolis,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
638618,Damianópolis,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
638619,Damianópolis,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
638620,Damianópolis,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
638621,Damianópolis,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
638622,Damianópolis,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
638623,Damianópolis,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
638624,Damianópolis,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
638625,Damianópolis,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
638626,Damianópolis,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
638627,Damianópolis,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
638628,Damianópolis,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
638629,Damianópolis,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
638630,Damianópolis,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
638631,Damianópolis,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
638632,Damianópolis,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
638633,Damianópolis,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
638634,Damianópolis,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
638635,Damianópolis,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
638636,Damianópolis,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
638637,Damianópolis,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
638638,Damianópolis,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
638639,Damianópolis,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
638640,Damianópolis,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
638641,Damianópolis,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
638642,Damianópolis,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
638643,Damianópolis,2020-06-28,0.0,0,0,0,0.0,0.0,0.0,0.0
638644,Damianópolis,2020-06-29,0.0,0,0,0,0.0,0.0,0.0,0.0
638645,Damianópolis,2020-06-30,0.0,0,0,0,0.0,0.0,0.0,0.0
638646,Damianópolis,2020-07-01,0.0,0,0,0,0.0,0.0,0.0,0.0
638647,Damianópolis,2020-07-02,0.0,0,0,0,0.0,0.0,0.0,0.0
638648,Damianópolis,2020-07-03,0.0,0,0,0,0.0,0.0,0.0,0.0
638649,Damianópolis,2020-07-04,0.0,0,0,0,0.0,0.0,0.0,0.0
638650,Damianópolis,2020-07-05,0.0,0,0,0,0.0,0.0,0.0,0.0
638651,Damianópolis,2020-07-06,0.0,0,0,0,0.0,0.0,0.0,0.0
638652,Damianópolis,2020-07-07,0.0,0,0,0,0.0,0.0,0.0,0.0
638653,Damianópolis,2020-07-08,0.0,0,0,0,0.0,0.0,0.0,0.0
638654,Damianópolis,2020-07-09,0.0,0,0,0,0.0,0.0,0.0,0.0
638655,Damianópolis,2020-07-10,0.0,0,0,0,0.0,0.0,0.0,0.0
638656,Damianópolis,2020-07-11,0.0,0,0,0,0.0,0.0,0.0,0.0
638657,Damianópolis,2020-07-12,0.0,0,0,0,0.0,0.0,0.0,0.0
638658,Damianópolis,2020-07-13,0.0,0,0,0,0.0,0.0,0.0,0.0
638659,Damianópolis,2020-07-14,0.0,0,0,0,0.0,0.0,0.0,0.0
638660,Damianópolis,2020-07-15,0.0,0,0,0,0.0,0.0,0.0,0.0
638661,Damianópolis,2020-07-16,0.0,0,0,0,0.0,0.0,0.0,0.0
638662,Damianópolis,2020-07-17,0.0,0,0,0,0.0,0.0,0.0,0.0
638663,Damianópolis,2020-07-18,0.0,0,0,0,0.0,0.0,0.0,0.0
638664,Damianópolis,2020-07-19,0.0,0,0,0,0.0,0.0,0.0,0.0
638665,Damianópolis,2020-07-20,0.0,0,0,0,0.0,0.0,0.0,0.0
638666,Damianópolis,2020-07-21,0.0,0,0,0,0.0,0.0,0.0,0.0
638667,Damianópolis,2020-07-22,0.0,0,0,0,0.0,0.0,0.0,0.0
