index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
639910,Desterro,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
639911,Desterro,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
639912,Desterro,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
639913,Desterro,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
639914,Desterro,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
639915,Desterro,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
639916,Desterro,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
639917,Desterro,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
639918,Desterro,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
639919,Desterro,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
639920,Desterro,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
639921,Desterro,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
639922,Desterro,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
639923,Desterro,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
639924,Desterro,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
639925,Desterro,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
639926,Desterro,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
639927,Desterro,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
639928,Desterro,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
639929,Desterro,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
639930,Desterro,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
639931,Desterro,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
639932,Desterro,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
639933,Desterro,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
639934,Desterro,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
639935,Desterro,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
639936,Desterro,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
