index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
604198,Diadema,2020-03-27,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
604199,Diadema,2020-03-28,2.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
604200,Diadema,2020-03-29,2.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
604201,Diadema,2020-03-30,2.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
604202,Diadema,2020-03-31,5.0,3,0,0,1.5714285714285714,0.0,11.0,0.0
604203,Diadema,2020-04-01,8.0,3,0,0,1.8571428571428572,0.0,13.0,0.0
604204,Diadema,2020-04-02,0.0,-8,0,0,0.0,0.0,0.0,0.0
604205,Diadema,2020-04-03,20.0,20,1,1,2.857142857142857,0.14285714285714285,20.0,1.0
604206,Diadema,2020-04-04,23.0,3,1,0,3.0,0.14285714285714285,21.0,1.0
604207,Diadema,2020-04-05,24.0,1,1,0,3.142857142857143,0.14285714285714285,22.0,1.0
604208,Diadema,2020-04-06,25.0,1,1,0,3.2857142857142856,0.14285714285714285,23.0,1.0
604209,Diadema,2020-04-07,35.0,10,1,0,4.285714285714286,0.14285714285714285,30.0,1.0
604210,Diadema,2020-04-08,46.0,11,1,0,5.428571428571429,0.14285714285714285,38.0,1.0
604211,Diadema,2020-04-09,55.0,9,1,0,7.857142857142857,0.14285714285714285,55.0,1.0
604212,Diadema,2020-04-10,59.0,4,1,0,5.571428571428571,0.0,39.0,0.0
604213,Diadema,2020-04-11,60.0,1,1,0,5.285714285714286,0.0,37.0,0.0
604214,Diadema,2020-04-12,63.0,3,1,0,5.571428571428571,0.0,39.0,0.0
604215,Diadema,2020-04-13,66.0,3,1,0,5.857142857142857,0.0,41.0,0.0
604216,Diadema,2020-04-14,71.0,5,2,1,5.142857142857143,0.14285714285714285,36.0,1.0
604217,Diadema,2020-04-15,94.0,23,2,0,6.857142857142857,0.14285714285714285,48.0,1.0
604218,Diadema,2020-04-16,100.0,6,3,1,6.428571428571429,0.2857142857142857,45.0,2.0
604219,Diadema,2020-04-17,115.0,15,3,0,8.0,0.2857142857142857,56.0,2.0
604220,Diadema,2020-04-18,118.0,3,5,2,8.285714285714286,0.5714285714285714,58.0,4.0
604221,Diadema,2020-04-19,120.0,2,5,0,8.142857142857142,0.5714285714285714,57.0,4.0
604222,Diadema,2020-04-20,126.0,6,5,0,8.571428571428571,0.5714285714285714,60.0,4.0
604223,Diadema,2020-04-21,135.0,9,5,0,9.142857142857142,0.42857142857142855,64.0,3.0
604224,Diadema,2020-04-22,138.0,3,5,0,6.285714285714286,0.42857142857142855,44.0,3.0
604225,Diadema,2020-04-23,151.0,13,5,0,7.285714285714286,0.2857142857142857,51.0,2.0
604226,Diadema,2020-04-24,151.0,0,11,6,5.142857142857143,1.1428571428571428,36.0,8.0
604227,Diadema,2020-04-25,170.0,19,11,0,7.428571428571429,0.8571428571428571,52.0,6.0
604228,Diadema,2020-04-26,178.0,8,11,0,8.285714285714286,0.8571428571428571,58.0,6.0
604229,Diadema,2020-04-27,188.0,10,13,2,8.857142857142858,1.1428571428571428,62.0,8.0
604230,Diadema,2020-04-28,239.0,51,14,1,14.857142857142858,1.2857142857142858,104.0,9.0
604231,Diadema,2020-04-29,272.0,33,18,4,19.142857142857142,1.8571428571428572,134.0,13.0
604232,Diadema,2020-04-30,290.0,18,19,1,19.857142857142858,2.0,139.0,14.0
604233,Diadema,2020-05-01,316.0,26,23,4,23.571428571428573,1.7142857142857142,165.0,12.0
604234,Diadema,2020-05-02,320.0,4,23,0,21.428571428571427,1.7142857142857142,150.0,12.0
604235,Diadema,2020-05-03,331.0,11,25,2,21.857142857142858,2.0,153.0,14.0
604236,Diadema,2020-05-04,338.0,7,26,1,21.428571428571427,1.8571428571428572,150.0,13.0
604237,Diadema,2020-05-05,360.0,22,27,1,17.285714285714285,1.8571428571428572,121.0,13.0
604238,Diadema,2020-05-06,405.0,45,28,1,19.0,1.4285714285714286,133.0,10.0
604239,Diadema,2020-05-07,416.0,11,31,3,18.0,1.7142857142857142,126.0,12.0
604240,Diadema,2020-05-08,423.0,7,31,0,15.285714285714286,1.1428571428571428,107.0,8.0
604241,Diadema,2020-05-09,441.0,18,32,1,17.285714285714285,1.2857142857142858,121.0,9.0
604242,Diadema,2020-05-10,449.0,8,33,1,16.857142857142858,1.1428571428571428,118.0,8.0
604243,Diadema,2020-05-11,449.0,0,33,0,15.857142857142858,1.0,111.0,7.0
604244,Diadema,2020-05-12,456.0,7,34,1,13.714285714285714,1.0,96.0,7.0
604245,Diadema,2020-05-13,523.0,67,40,6,16.857142857142858,1.7142857142857142,118.0,12.0
604246,Diadema,2020-05-14,567.0,44,45,5,21.571428571428573,2.0,151.0,14.0
604247,Diadema,2020-05-15,604.0,37,50,5,25.857142857142858,2.7142857142857144,181.0,19.0
604248,Diadema,2020-05-16,634.0,30,51,1,27.571428571428573,2.7142857142857144,193.0,19.0
604249,Diadema,2020-05-17,637.0,3,51,0,26.857142857142858,2.5714285714285716,188.0,18.0
604250,Diadema,2020-05-18,644.0,7,51,0,27.857142857142858,2.5714285714285716,195.0,18.0
604251,Diadema,2020-05-19,664.0,20,54,3,29.714285714285715,2.857142857142857,208.0,20.0
604252,Diadema,2020-05-20,733.0,69,58,4,30.0,2.5714285714285716,210.0,18.0
604253,Diadema,2020-05-21,786.0,53,62,4,31.285714285714285,2.4285714285714284,219.0,17.0
604254,Diadema,2020-05-22,806.0,20,61,-1,28.857142857142858,1.5714285714285714,202.0,11.0
604255,Diadema,2020-05-23,844.0,38,61,0,30.0,1.4285714285714286,210.0,10.0
604256,Diadema,2020-05-24,866.0,22,63,2,32.714285714285715,1.7142857142857142,229.0,12.0
604257,Diadema,2020-05-25,886.0,20,63,0,34.57142857142857,1.7142857142857142,242.0,12.0
604258,Diadema,2020-05-26,909.0,23,64,1,35.0,1.4285714285714286,245.0,10.0
604259,Diadema,2020-05-27,982.0,73,69,5,35.57142857142857,1.5714285714285714,249.0,11.0
604260,Diadema,2020-05-28,1079.0,97,69,0,41.857142857142854,1.0,293.0,7.0
604261,Diadema,2020-05-29,1113.0,34,72,3,43.857142857142854,1.5714285714285714,307.0,11.0
604262,Diadema,2020-05-30,1156.0,43,83,11,44.57142857142857,3.142857142857143,312.0,22.0
604263,Diadema,2020-05-31,1174.0,18,84,1,44.0,3.0,308.0,21.0
604264,Diadema,2020-06-01,1183.0,9,84,0,42.42857142857143,3.0,297.0,21.0
604265,Diadema,2020-06-02,1271.0,88,90,6,51.714285714285715,3.7142857142857144,362.0,26.0
604266,Diadema,2020-06-03,1343.0,72,89,-1,51.57142857142857,2.857142857142857,361.0,20.0
604267,Diadema,2020-06-04,1418.0,75,93,4,48.42857142857143,3.4285714285714284,339.0,24.0
604268,Diadema,2020-06-05,1486.0,68,99,6,53.285714285714285,3.857142857142857,373.0,27.0
604269,Diadema,2020-06-06,1553.0,67,101,2,56.714285714285715,2.5714285714285716,397.0,18.0
604270,Diadema,2020-06-07,1579.0,26,101,0,57.857142857142854,2.4285714285714284,405.0,17.0
604271,Diadema,2020-06-08,1596.0,17,101,0,59.0,2.4285714285714284,413.0,17.0
604272,Diadema,2020-06-09,1699.0,103,111,10,61.142857142857146,3.0,428.0,21.0
604273,Diadema,2020-06-10,1759.0,60,114,3,59.42857142857143,3.5714285714285716,416.0,25.0
604274,Diadema,2020-06-11,1840.0,81,116,2,60.285714285714285,3.2857142857142856,422.0,23.0
604275,Diadema,2020-06-12,1886.0,46,125,9,57.142857142857146,3.7142857142857144,400.0,26.0
604276,Diadema,2020-06-13,1965.0,79,127,2,58.857142857142854,3.7142857142857144,412.0,26.0
604277,Diadema,2020-06-14,2011.0,46,128,1,61.714285714285715,3.857142857142857,432.0,27.0
604278,Diadema,2020-06-15,2027.0,16,128,0,61.57142857142857,3.857142857142857,431.0,27.0
604279,Diadema,2020-06-16,2127.0,100,134,6,61.142857142857146,3.2857142857142856,428.0,23.0
604280,Diadema,2020-06-17,2135.0,8,137,3,53.714285714285715,3.2857142857142856,376.0,23.0
604281,Diadema,2020-06-18,2146.0,11,138,1,43.714285714285715,3.142857142857143,306.0,22.0
604282,Diadema,2020-06-19,2421.0,275,142,4,76.42857142857143,2.4285714285714284,535.0,17.0
604283,Diadema,2020-06-20,2481.0,60,147,5,73.71428571428571,2.857142857142857,516.0,20.0
604284,Diadema,2020-06-21,2505.0,24,147,0,70.57142857142857,2.7142857142857144,494.0,19.0
604285,Diadema,2020-06-22,2522.0,17,147,0,70.71428571428571,2.7142857142857144,495.0,19.0
604286,Diadema,2020-06-23,2621.0,99,150,3,70.57142857142857,2.2857142857142856,494.0,16.0
604287,Diadema,2020-06-24,2748.0,127,151,1,87.57142857142857,2.0,613.0,14.0
604288,Diadema,2020-06-25,2878.0,130,164,13,104.57142857142857,3.7142857142857144,732.0,26.0
604289,Diadema,2020-06-26,2972.0,94,165,1,78.71428571428571,3.2857142857142856,551.0,23.0
604290,Diadema,2020-06-27,3071.0,99,170,5,84.28571428571429,3.2857142857142856,590.0,23.0
604291,Diadema,2020-06-28,3128.0,57,170,0,89.0,3.2857142857142856,623.0,23.0
604292,Diadema,2020-06-29,3193.0,65,170,0,95.85714285714286,3.2857142857142856,671.0,23.0
604293,Diadema,2020-06-30,3256.0,63,175,5,90.71428571428571,3.5714285714285716,635.0,25.0
604294,Diadema,2020-07-01,3327.0,71,177,2,82.71428571428571,3.7142857142857144,579.0,26.0
604295,Diadema,2020-07-02,3408.0,81,187,10,75.71428571428571,3.2857142857142856,530.0,23.0
604296,Diadema,2020-07-03,3489.0,81,193,6,73.85714285714286,4.0,517.0,28.0
604297,Diadema,2020-07-04,3496.0,7,197,4,60.714285714285715,3.857142857142857,425.0,27.0
604298,Diadema,2020-07-05,3628.0,132,201,4,71.42857142857143,4.428571428571429,500.0,31.0
604299,Diadema,2020-07-06,3652.0,24,201,0,65.57142857142857,4.428571428571429,459.0,31.0
604300,Diadema,2020-07-07,3763.0,111,201,0,72.42857142857143,3.7142857142857144,507.0,26.0
604301,Diadema,2020-07-08,3803.0,40,205,4,68.0,4.0,476.0,28.0
604302,Diadema,2020-07-09,3852.0,49,206,1,63.42857142857143,2.7142857142857144,444.0,19.0
604303,Diadema,2020-07-10,3904.0,52,209,3,59.285714285714285,2.2857142857142856,415.0,16.0
604304,Diadema,2020-07-11,3953.0,49,210,1,65.28571428571429,1.8571428571428572,457.0,13.0
604305,Diadema,2020-07-12,4089.0,136,210,0,65.85714285714286,1.2857142857142858,461.0,9.0
604306,Diadema,2020-07-13,4110.0,21,210,0,65.42857142857143,1.2857142857142858,458.0,9.0
604307,Diadema,2020-07-14,4200.0,90,212,2,62.42857142857143,1.5714285714285714,437.0,11.0
604308,Diadema,2020-07-15,4252.0,52,214,2,64.14285714285714,1.2857142857142858,449.0,9.0
604309,Diadema,2020-07-16,4313.0,61,219,5,65.85714285714286,1.8571428571428572,461.0,13.0
604310,Diadema,2020-07-17,4375.0,62,224,5,67.28571428571429,2.142857142857143,471.0,15.0
604311,Diadema,2020-07-18,4410.0,35,224,0,65.28571428571429,2.0,457.0,14.0
604312,Diadema,2020-07-19,4424.0,14,224,0,47.857142857142854,2.0,335.0,14.0
604313,Diadema,2020-07-20,4443.0,19,224,0,47.57142857142857,2.0,333.0,14.0
604314,Diadema,2020-07-21,4486.0,43,230,6,40.857142857142854,2.5714285714285716,286.0,18.0
604315,Diadema,2020-07-22,4586.0,100,237,7,47.714285714285715,3.2857142857142856,334.0,23.0
604316,Diadema,2020-07-23,4686.0,100,239,2,53.285714285714285,2.857142857142857,373.0,20.0
604317,Diadema,2020-07-24,4776.0,90,243,4,57.285714285714285,2.7142857142857144,401.0,19.0
604318,Diadema,2020-07-25,5050.0,274,244,1,91.42857142857143,2.857142857142857,640.0,20.0
604319,Diadema,2020-07-26,5079.0,29,244,0,93.57142857142857,2.857142857142857,655.0,20.0
604320,Diadema,2020-07-27,5087.0,8,244,0,92.0,2.857142857142857,644.0,20.0
604321,Diadema,2020-07-28,5087.0,0,244,0,85.85714285714286,2.0,601.0,14.0
604322,Diadema,2020-07-29,5340.0,253,245,1,107.71428571428571,1.1428571428571428,754.0,8.0
604323,Diadema,2020-07-30,5439.0,99,246,1,107.57142857142857,1.0,753.0,7.0
604324,Diadema,2020-07-31,5508.0,69,246,0,104.57142857142857,0.42857142857142855,732.0,3.0
604325,Diadema,2020-08-01,5588.0,80,248,2,76.85714285714286,0.5714285714285714,538.0,4.0
604326,Diadema,2020-08-02,5609.0,21,248,0,75.71428571428571,0.5714285714285714,530.0,4.0
