index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
636804,Diamante D'Oeste,2020-03-27,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
636805,Diamante D'Oeste,2020-03-28,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
636806,Diamante D'Oeste,2020-03-29,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
636807,Diamante D'Oeste,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
636808,Diamante D'Oeste,2020-03-31,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
636809,Diamante D'Oeste,2020-04-01,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
636810,Diamante D'Oeste,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
636811,Diamante D'Oeste,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
636812,Diamante D'Oeste,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
636813,Diamante D'Oeste,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
636814,Diamante D'Oeste,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
636815,Diamante D'Oeste,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
636816,Diamante D'Oeste,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
636817,Diamante D'Oeste,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
636818,Diamante D'Oeste,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
636819,Diamante D'Oeste,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
636820,Diamante D'Oeste,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
636821,Diamante D'Oeste,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
636822,Diamante D'Oeste,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
636823,Diamante D'Oeste,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
636824,Diamante D'Oeste,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
636825,Diamante D'Oeste,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
636826,Diamante D'Oeste,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
636827,Diamante D'Oeste,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
636828,Diamante D'Oeste,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
636829,Diamante D'Oeste,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
636830,Diamante D'Oeste,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
636831,Diamante D'Oeste,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
636832,Diamante D'Oeste,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
636833,Diamante D'Oeste,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
636834,Diamante D'Oeste,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
636835,Diamante D'Oeste,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
636836,Diamante D'Oeste,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
636837,Diamante D'Oeste,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
636838,Diamante D'Oeste,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
636839,Diamante D'Oeste,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
636840,Diamante D'Oeste,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
636841,Diamante D'Oeste,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
636842,Diamante D'Oeste,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
636843,Diamante D'Oeste,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
